,team1,team2,result,date
23,Hellas Verona,Juventus,V,2020-02-08
30,Inter,Milan,V,2020-02-09
25,Parma,Lazio,P,2020-02-09
25,SPAL,Sassuolo,P,2020-02-09
23,Brescia,Udinese,N,2020-02-09
30,Napoli,Lecce,P,2020-02-09
25,Genoa,Cagliari,V,2020-02-09
25,Lecce,SPAL,V,2020-02-15
30,Atalanta,Roma,V,2020-02-15
25,Bologna,Genoa,P,2020-02-15
25,Sassuolo,Parma,P,2020-02-16
25,Sampdoria,Fiorentina,P,2020-02-16
32,Lazio,Inter,V,2020-02-16
33,Juventus,Brescia,V,2020-02-16
26,Udinese,Hellas Verona,N,2020-02-16
26,Cagliari,Napoli,P,2020-02-16
26,Milan,Torino,V,2020-02-17
25,Brescia,Napoli,P,2020-02-21
26,Bologna,Udinese,N,2020-02-22
27,SPAL,Juventus,P,2020-02-22
28,Fiorentina,Milan,N,2020-02-22
33,Roma,Lecce,V,2020-02-23
27,Genoa,Lazio,P,2020-02-23
34,Lazio,Bologna,V,2020-02-29
35,Napoli,Torino,V,2020-02-29
27,Cagliari,Roma,P,2020-03-01
27,Lecce,Atalanta,P,2020-03-01
28,Milan,Genoa,P,2020-03-08
27,Parma,SPAL,P,2020-03-08
36,Juventus,Inter,V,2020-03-08
28,Udinese,Fiorentina,N,2020-03-08
26,Sampdoria,Hellas Verona,V,2020-03-08
26,Sassuolo,Brescia,V,2020-03-09
33,Torino,Parma,N,2020-06-20
26,Hellas Verona,Cagliari,V,2020-06-20
34,Atalanta,Sassuolo,V,2020-06-21
38,Inter,Sampdoria,V,2020-06-21
28,Lecce,Milan,P,2020-06-22
30,Fiorentina,Brescia,N,2020-06-22
28,Bologna,Juventus,P,2020-06-22
27,Hellas Verona,Napoli,P,2020-06-23
34,Torino,Udinese,V,2020-06-23
29,SPAL,Cagliari,P,2020-06-23
29,Genoa,Parma,P,2020-06-23
37,Roma,Sampdoria,V,2020-06-24
35,Atalanta,Lazio,V,2020-06-24
39,Inter,Sassuolo,N,2020-06-24
40,Juventus,Lecce,V,2020-06-26
36,Lazio,Fiorentina,V,2020-06-27
30,Cagliari,Torino,V,2020-06-27
28,Brescia,Genoa,N,2020-06-27
39,Napoli,SPAL,V,2020-06-28
30,Parma,Inter,P,2020-06-28
29,Sampdoria,Bologna,P,2020-06-28
30,Udinese,Atalanta,P,2020-06-28
31,Milan,Roma,V,2020-06-28
29,Sassuolo,Hellas Verona,N,2020-06-28
36,Torino,Lazio,P,2020-06-30
31,Genoa,Juventus,P,2020-06-30
30,Bologna,Cagliari,N,2020-07-01
