,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
124,21,V,1.0,3,2.6000000000000014,1.0,0.4,0.6,7.600000000000001,0.1999999999999993,0.0,0.1999999999999999,2.0,0.0,1
125,12,V,-0.3999999999999999,9,-3.200000000000001,-2.4,0.2,0.2,-4.0,-1.8000000000000007,-0.3999999999999999,-0.2,0.0,2.0,0
126,25,P,-1.0,15,-1.3999999999999986,-1.0,-0.8,-1.0,-1.1999999999999955,2.6000000000000014,0.0,0.0,0.0,0.0,0
127,16,N,-1.0,4,-1.4000000000000004,0.4000000000000003,0.2,0.6,-7.799999999999997,-1.5999999999999996,0.3999999999999999,0.2,0.0,2.0,2
128,22,N,-1.0,11,-1.799999999999999,-1.4000000000000004,0.0,0.2,-11.0,1.1999999999999993,1.2000000000000002,-0.4,0.0,0.0,1
129,9,P,-0.4000000000000001,16,-0.7999999999999989,-1.0,-0.4,-0.6,7.600000000000001,2.200000000000001,0.2000000000000001,-0.2,2.0,0.0,1
130,3,P,-1.4,0,-6.0,-1.8000000000000005,-0.4,-0.6,-13.200000000000005,0.5999999999999996,0.3999999999999999,0.0,0.0,2.0,2
131,11,P,0.1999999999999999,27,1.4000000000000004,0.8000000000000003,-0.4,-0.4,7.0,0.1999999999999993,0.1999999999999997,0.2,0.0,2.0,0
132,19,P,-0.6000000000000001,2,3.8000000000000007,1.1999999999999993,-0.2,-0.2,0.0,-2.8000000000000007,-0.3999999999999999,0.0,1.0,1.0,1
133,14,N,0.0,25,6.199999999999999,2.8,0.4,0.4,5.399999999999999,0.8000000000000007,-0.3999999999999999,0.2,2.0,0.0,1
134,12,P,-1.2000000000000002,21,-5.199999999999999,-2.2,-0.2,-0.3999999999999999,-1.3999999999999986,0.8000000000000007,0.2000000000000001,-0.4,0.0,2.0,2
135,20,P,0.5999999999999999,17,0.4000000000000003,0.5999999999999996,0.0,0.0,-11.800000000000004,-0.1999999999999993,-1.7999999999999998,0.0,0.0,1.0,2
136,15,V,1.7999999999999998,28,2.8000000000000007,2.8,0.4,0.6,6.600000000000001,-3.2,0.0,-0.4,2.0,0.0,1
137,13,V,1.8000000000000005,22,8.8,3.4000000000000004,0.0,-0.2,11.200000000000005,0.0,-0.3999999999999999,0.0,2.0,0.0,1
138,4,V,1.6,24,-5.199999999999999,-0.4000000000000003,0.0,0.0,0.6000000000000014,-0.3999999999999986,-0.1999999999999997,0.4,0.0,1.0,1
139,13,N,-0.1999999999999997,21,3.8000000000000007,1.5999999999999996,-0.3999999999999999,-0.6000000000000001,2.3999999999999986,2.400000000000002,0.1999999999999997,-0.4,0.0,0.0,1
140,0,V,0.0,12,6.800000000000001,2.2,-0.2,0.0,7.800000000000004,-0.8000000000000007,0.7999999999999998,0.4,2.0,0.0,1
141,15,V,1.2,14,-4.199999999999999,-2.0,0.4,0.4,-3.200000000000003,-3.2,0.0,-0.2,0.0,2.0,0
142,28,N,-0.1999999999999999,19,-6.199999999999999,-3.6,0.0,0.0,-4.399999999999999,2.6000000000000014,0.6000000000000001,0.2,0.0,2.0,2
143,22,P,0.0,3,1.200000000000001,-0.7999999999999998,0.2,0.4,5.600000000000001,2.2,0.6000000000000001,-0.4,2.0,0.0,1
144,27,V,0.0,9,-4.199999999999999,-2.0,0.4,0.4,-6.600000000000001,1.8000000000000007,0.3999999999999999,0.4,0.0,0.0,2
145,2,P,0.8,17,-4.4,-0.4000000000000003,0.2,0.2,-2.5999999999999943,1.3999999999999986,-0.3999999999999999,0.0,0.0,1.0,0
146,16,N,1.0,11,2.4000000000000004,3.0000000000000004,0.2,0.4,-12.199999999999996,0.5999999999999996,0.7999999999999998,0.0,0.0,2.0,1
147,25,N,-1.4,4,-0.7999999999999989,-1.2000000000000002,-0.2,-0.2,3.3999999999999986,-0.1999999999999993,0.5999999999999996,-0.4,1.0,0.0,1
