,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season
5,Lecce,2019-09-29,Giornata n. 6,Casa,P,0.0,Roma,13.0,6.0,0,0,312.0,388.0,4.0,40.0,9.0,2,0,19_20
5,Genoa,2019-09-29,Giornata n. 6,Ospiti,P,0.0,Lazio,13.0,6.0,0,0,407.0,490.0,7.0,46.0,11.0,2,0,19_20
5,Parma,2019-09-30,Giornata n. 6,Casa,V,3.0,Torino,19.0,4.0,0,1,334.0,422.0,7.0,51.0,24.0,2,0,19_20
5,Torino,2019-09-30,Giornata n. 6,Ospiti,P,2.0,Parma,7.0,4.0,1,1,316.0,407.0,3.0,49.0,17.0,3,1,19_20
6,SPAL,2019-10-05,Giornata n. 7,Casa,V,1.0,Parma,16.0,7.0,0,0,288.0,381.0,5.0,47.0,11.0,5,1,19_20
6,Hellas Verona,2019-10-05,Giornata n. 7,Casa,V,2.0,Sampdoria,9.0,4.0,0,0,265.0,399.0,9.0,49.0,19.0,1,0,19_20
6,Milan,2019-10-05,Giornata n. 7,Ospiti,V,2.0,Genoa,8.0,5.0,1,1,384.0,458.0,0.0,49.0,14.0,4,2,19_20
6,Parma,2019-10-05,Giornata n. 7,Ospiti,P,0.0,SPAL,8.0,1.0,0,0,316.0,424.0,8.0,53.0,15.0,2,0,19_20
6,Genoa,2019-10-05,Giornata n. 7,Casa,P,1.0,Milan,13.0,5.0,0,1,379.0,477.0,7.0,51.0,26.0,4,2,19_20
6,Sampdoria,2019-10-05,Giornata n. 7,Ospiti,P,0.0,Hellas Verona,14.0,2.0,0,0,297.0,408.0,4.0,51.0,16.0,3,0,19_20
6,Fiorentina,2019-10-06,Giornata n. 7,Casa,V,1.0,Udinese,17.0,4.0,0,0,386.0,471.0,12.0,50.0,10.0,1,0,19_20
6,Roma,2019-10-06,Giornata n. 7,Casa,N,1.0,Cagliari,21.0,6.0,0,0,528.0,627.0,7.0,66.0,20.0,1,0,19_20
6,Udinese,2019-10-06,Giornata n. 7,Ospiti,P,0.0,Fiorentina,8.0,2.0,0,0,363.0,462.0,3.0,50.0,14.0,2,0,19_20
6,Torino,2019-10-06,Giornata n. 7,Casa,N,0.0,Napoli,12.0,3.0,0,0,279.0,377.0,4.0,40.0,12.0,1,0,19_20
6,Atalanta,2019-10-06,Giornata n. 7,Casa,V,3.0,Lecce,30.0,15.0,0,0,526.0,613.0,9.0,57.0,15.0,2,0,19_20
6,Juventus,2019-10-06,Giornata n. 7,Ospiti,V,2.0,Inter,18.0,6.0,0,0,433.0,516.0,2.0,50.0,12.0,3,0,19_20
6,Cagliari,2019-10-06,Giornata n. 7,Ospiti,N,1.0,Roma,7.0,1.0,1,1,223.0,319.0,1.0,34.0,11.0,4,0,19_20
6,Lazio,2019-10-06,Giornata n. 7,Ospiti,N,2.0,Bologna,10.0,4.0,0,1,325.0,421.0,4.0,47.0,17.0,4,1,19_20
6,Inter,2019-10-06,Giornata n. 7,Casa,P,1.0,Juventus,9.0,2.0,1,1,427.0,526.0,7.0,50.0,26.0,2,0,19_20
6,Bologna,2019-10-06,Giornata n. 7,Casa,N,2.0,Lazio,17.0,8.0,0,0,371.0,470.0,5.0,53.0,17.0,5,1,19_20
6,Lecce,2019-10-06,Giornata n. 7,Ospiti,P,1.0,Atalanta,7.0,2.0,0,0,358.0,458.0,5.0,43.0,16.0,3,0,19_20
6,Napoli,2019-10-06,Giornata n. 7,Ospiti,N,0.0,Torino,16.0,3.0,0,0,462.0,560.0,5.0,60.0,12.0,2,0,19_20
7,Juventus,2019-10-19,Giornata n. 8,Casa,V,2.0,Bologna,23.0,10.0,0,0,575.0,659.0,8.0,65.0,15.0,2,0,19_20
7,Lazio,2019-10-19,Giornata n. 8,Casa,N,3.0,Atalanta,15.0,3.0,2,2,416.0,530.0,3.0,51.0,19.0,5,0,19_20
7,Atalanta,2019-10-19,Giornata n. 8,Ospiti,N,3.0,Lazio,22.0,9.0,0,0,416.0,510.0,1.0,49.0,14.0,2,0,19_20
7,Hellas Verona,2019-10-19,Giornata n. 8,Ospiti,P,0.0,Napoli,20.0,5.0,0,0,314.0,419.0,8.0,44.0,17.0,3,0,19_20
7,Bologna,2019-10-19,Giornata n. 8,Ospiti,P,1.0,Juventus,9.0,2.0,0,0,282.0,356.0,5.0,35.0,19.0,3,0,19_20
7,Napoli,2019-10-19,Giornata n. 8,Casa,V,2.0,Hellas Verona,21.0,7.0,0,0,413.0,525.0,6.0,56.0,15.0,3,0,19_20
7,Inter,2019-10-20,Giornata n. 8,Ospiti,V,4.0,Sassuolo,12.0,5.0,2,2,349.0,423.0,7.0,47.0,20.0,3,0,19_20
7,Lecce,2019-10-20,Giornata n. 8,Ospiti,N,2.0,Milan,12.0,5.0,0,1,266.0,369.0,2.0,36.0,13.0,2,0,19_20
7,Roma,2019-10-20,Giornata n. 8,Ospiti,N,0.0,Sampdoria,9.0,1.0,0,0,465.0,578.0,9.0,64.0,14.0,4,1,19_20
7,Milan,2019-10-20,Giornata n. 8,Casa,N,2.0,Lecce,22.0,6.0,0,0,566.0,664.0,8.0,64.0,14.0,1,0,19_20
7,Torino,2019-10-20,Giornata n. 8,Ospiti,P,0.0,Udinese,11.0,3.0,0,0,435.0,530.0,4.0,61.0,22.0,3,0,19_20
7,Genoa,2019-10-20,Giornata n. 8,Ospiti,P,1.0,Parma,18.0,5.0,0,0,474.0,585.0,7.0,63.0,13.0,2,0,19_20
6,Sassuolo,2019-10-20,Giornata n. 8,Casa,P,3.0,Inter,12.0,4.0,0,0,417.0,484.0,5.0,53.0,17.0,4,0,19_20
7,Sampdoria,2019-10-20,Giornata n. 8,Casa,N,0.0,Roma,12.0,4.0,0,0,214.0,322.0,7.0,36.0,15.0,3,0,19_20
