,team1,date,matchday,stadium,result,goals,team2
12,Udinese,2021-11-07,Giornata n. 12,Casa,V,3,Sassuolo
15,Milan,2021-11-07,Giornata n. 12,Casa,N,1,Inter
12,Sampdoria,2021-11-07,Giornata n. 12,Casa,P,1,Bologna
12,Venezia,2021-11-07,Giornata n. 12,Casa,V,3,Roma
15,Lazio,2021-11-07,Giornata n. 12,Casa,V,3,Salernitana
15,Napoli,2021-11-07,Giornata n. 12,Casa,N,1,Hellas Verona
13,Fiorentina,2021-11-20,Giornata n. 13,Casa,V,4,Milan
16,Atalanta,2021-11-20,Giornata n. 13,Casa,V,5,Spezia
16,Lazio,2021-11-20,Giornata n. 13,Casa,P,0,Juventus
12,Sassuolo,2021-11-21,Giornata n. 13,Casa,N,2,Cagliari
16,Inter,2021-11-21,Giornata n. 13,Casa,V,3,Napoli
13,Genoa,2021-11-21,Giornata n. 13,Casa,P,0,Roma
13,Bologna,2021-11-21,Giornata n. 13,Casa,P,0,Venezia
13,Salernitana,2021-11-21,Giornata n. 13,Casa,P,0,Sampdoria
13,Torino,2021-11-22,Giornata n. 13,Casa,V,2,Udinese
13,Hellas Verona,2021-11-22,Giornata n. 13,Casa,V,2,Empoli
14,Cagliari,2021-11-26,Giornata n. 14,Casa,N,1,Salernitana
14,Sampdoria,2021-11-27,Giornata n. 14,Casa,V,3,Hellas Verona
14,Venezia,2021-11-27,Giornata n. 14,Casa,P,0,Inter
14,Empoli,2021-11-27,Giornata n. 14,Casa,V,2,Fiorentina
18,Juventus,2021-11-27,Giornata n. 14,Casa,P,0,Atalanta
14,Udinese,2021-11-28,Giornata n. 14,Casa,N,0,Genoa
14,Spezia,2021-11-28,Giornata n. 14,Casa,P,0,Bologna
18,Milan,2021-11-28,Giornata n. 14,Casa,P,1,Sassuolo
18,Napoli,2021-11-28,Giornata n. 14,Casa,V,4,Lazio
20,Roma,2021-11-28,Giornata n. 14,Casa,V,1,Torino
19,Atalanta,2021-11-30,Giornata n. 15,Casa,V,4,Venezia
15,Fiorentina,2021-11-30,Giornata n. 15,Casa,V,3,Sampdoria
15,Hellas Verona,2021-11-30,Giornata n. 15,Casa,N,0,Cagliari
15,Salernitana,2021-11-30,Giornata n. 15,Casa,P,0,Juventus
14,Sassuolo,2021-12-01,Giornata n. 15,Casa,N,2,Napoli
15,Bologna,2021-12-01,Giornata n. 15,Casa,V,1,Roma
15,Genoa,2021-12-01,Giornata n. 15,Casa,P,0,Milan
19,Inter,2021-12-01,Giornata n. 15,Casa,V,2,Spezia
15,Torino,2021-12-02,Giornata n. 15,Casa,N,2,Empoli
19,Lazio,2021-12-02,Giornata n. 15,Casa,N,4,Udinese
20,Milan,2021-12-04,Giornata n. 16,Casa,V,2,Salernitana
22,Roma,2021-12-04,Giornata n. 16,Casa,P,0,Inter
20,Napoli,2021-12-04,Giornata n. 16,Casa,P,2,Atalanta
16,Venezia,2021-12-05,Giornata n. 16,Casa,P,3,Hellas Verona
16,Spezia,2021-12-05,Giornata n. 16,Casa,N,2,Sassuolo
16,Sampdoria,2021-12-05,Giornata n. 16,Casa,P,1,Lazio
16,Bologna,2021-12-05,Giornata n. 16,Casa,P,2,Fiorentina
20,Juventus,2021-12-05,Giornata n. 16,Casa,V,2,Genoa
16,Cagliari,2021-12-06,Giornata n. 16,Casa,N,1,Torino
16,Empoli,2021-12-06,Giornata n. 16,Casa,V,3,Udinese
17,Genoa,2021-12-10,Giornata n. 17,Casa,P,1,Sampdoria
17,Udinese,2021-12-11,Giornata n. 17,Casa,N,1,Milan
17,Fiorentina,2021-12-11,Giornata n. 17,Casa,V,4,Salernitana
17,Venezia,2021-12-11,Giornata n. 17,Casa,N,1,Juventus
22,Napoli,2021-12-12,Giornata n. 17,Casa,P,0,Empoli
17,Hellas Verona,2021-12-12,Giornata n. 17,Casa,P,1,Atalanta
16,Sassuolo,2021-12-12,Giornata n. 17,Casa,V,2,Lazio
22,Inter,2021-12-12,Giornata n. 17,Casa,V,4,Cagliari
17,Torino,2021-12-12,Giornata n. 17,Casa,V,2,Bologna
24,Roma,2021-12-13,Giornata n. 17,Casa,V,2,Spezia
23,Lazio,2021-12-17,Giornata n. 18,Casa,V,3,Genoa
19,Salernitana,2021-12-17,Giornata n. 18,Casa,P,0,Inter
19,Cagliari,2021-12-18,Giornata n. 18,Casa,P,0,Udinese
23,Atalanta,2021-12-18,Giornata n. 18,Casa,P,1,Roma
18,Bologna,2021-12-18,Giornata n. 18,Casa,P,0,Juventus
23,Milan,2021-12-19,Giornata n. 18,Casa,P,0,Napoli
19,Fiorentina,2021-12-19,Giornata n. 18,Casa,N,2,Sassuolo
19,Spezia,2021-12-19,Giornata n. 18,Casa,N,1,Empoli
19,Torino,2021-12-19,Giornata n. 18,Casa,V,1,Hellas Verona
19,Sampdoria,2021-12-19,Giornata n. 18,Casa,N,1,Venezia
24,Juventus,2021-12-21,Giornata n. 19,Casa,V,2,Cagliari
20,Genoa,2021-12-21,Giornata n. 19,Casa,N,0,Atalanta
20,Venezia,2021-12-22,Giornata n. 19,Casa,P,1,Lazio
26,Roma,2021-12-22,Giornata n. 19,Casa,N,1,Sampdoria
24,Napoli,2021-12-22,Giornata n. 19,Casa,P,0,Spezia
18,Sassuolo,2021-12-22,Giornata n. 19,Casa,P,0,Bologna
24,Inter,2021-12-22,Giornata n. 19,Casa,V,1,Torino
20,Empoli,2021-12-22,Giornata n. 19,Casa,P,2,Milan
20,Hellas Verona,2021-12-22,Giornata n. 19,Casa,N,1,Fiorentina
25,Lazio,2022-01-06,Giornata n. 20,Casa,N,3,Empoli
21,Sampdoria,2022-01-06,Giornata n. 20,Casa,P,1,Cagliari
25,Milan,2022-01-06,Giornata n. 20,Casa,V,3,Roma
19,Sassuolo,2022-01-06,Giornata n. 20,Casa,N,1,Genoa
25,Juventus,2022-01-06,Giornata n. 20,Casa,N,1,Napoli
21,Spezia,2022-01-06,Giornata n. 20,Casa,P,1,Hellas Verona
28,Roma,2022-01-09,Giornata n. 21,Casa,P,3,Juventus
26,Napoli,2022-01-09,Giornata n. 21,Casa,V,1,Sampdoria
20,Udinese,2022-01-09,Giornata n. 21,Casa,P,2,Atalanta
21,Venezia,2022-01-09,Giornata n. 21,Casa,P,0,Milan
22,Hellas Verona,2022-01-09,Giornata n. 21,Casa,P,1,Salernitana
25,Inter,2022-01-09,Giornata n. 21,Casa,V,2,Lazio
22,Empoli,2022-01-09,Giornata n. 21,Casa,P,1,Sassuolo
22,Genoa,2022-01-09,Giornata n. 21,Casa,P,0,Spezia
21,Torino,2022-01-10,Giornata n. 21,Casa,V,4,Fiorentina
22,Cagliari,2022-01-11,Giornata n. 21,Casa,V,2,Bologna
23,Sampdoria,2022-01-15,Giornata n. 22,Casa,P,1,Torino
28,Juventus,2022-01-15,Giornata n. 22,Casa,V,2,Udinese
21,Salernitana,2022-01-15,Giornata n. 22,Casa,P,0,Lazio
27,Atalanta,2022-01-16,Giornata n. 22,Casa,N,0,Inter
21,Sassuolo,2022-01-16,Giornata n. 22,Casa,P,2,Hellas Verona
29,Roma,2022-01-16,Giornata n. 22,Casa,V,1,Cagliari
23,Venezia,2022-01-16,Giornata n. 22,Casa,N,1,Empoli
21,Bologna,2022-01-17,Giornata n. 22,Casa,P,0,Napoli
23,Fiorentina,2022-01-17,Giornata n. 22,Casa,V,6,Genoa
28,Milan,2022-01-17,Giornata n. 22,Casa,P,1,Spezia
24,Hellas Verona,2022-01-21,Giornata n. 23,Casa,V,2,Bologna
29,Inter,2022-01-22,Giornata n. 23,Casa,V,2,Venezia
29,Lazio,2022-01-22,Giornata n. 23,Casa,N,0,Atalanta
25,Genoa,2022-01-22,Giornata n. 23,Casa,N,0,Udinese
29,Napoli,2022-01-23,Giornata n. 23,Casa,V,4,Salernitana
23,Torino,2022-01-23,Giornata n. 23,Casa,N,1,Sassuolo
24,Spezia,2022-01-23,Giornata n. 23,Casa,V,1,Sampdoria
25,Empoli,2022-01-23,Giornata n. 23,Casa,P,2,Roma
29,Milan,2022-01-23,Giornata n. 23,Casa,N,0,Juventus
25,Cagliari,2022-01-23,Giornata n. 23,Casa,N,1,Fiorentina
32,Roma,2022-02-05,Giornata n. 24,Casa,N,0,Genoa
30,Inter,2022-02-05,Giornata n. 24,Casa,P,1,Milan
25,Fiorentina,2022-02-05,Giornata n. 24,Casa,P,0,Lazio
29,Atalanta,2022-02-06,Giornata n. 24,Casa,P,1,Cagliari
26,Sampdoria,2022-02-06,Giornata n. 24,Casa,V,4,Sassuolo
23,Bologna,2022-02-06,Giornata n. 24,Casa,N,0,Empoli
25,Venezia,2022-02-06,Giornata n. 24,Casa,P,0,Napoli
24,Udinese,2022-02-06,Giornata n. 24,Casa,V,2,Torino
31,Juventus,2022-02-06,Giornata n. 24,Casa,V,2,Hellas Verona
23,Salernitana,2022-02-07,Giornata n. 24,Casa,N,2,Spezia
25,Torino,2022-02-12,Giornata n. 25,Casa,P,1,Venezia
32,Lazio,2022-02-12,Giornata n. 25,Casa,V,3,Bologna
31,Napoli,2022-02-12,Giornata n. 25,Casa,N,1,Inter
26,Sassuolo,2022-02-13,Giornata n. 25,Casa,N,2,Roma
31,Atalanta,2022-02-13,Giornata n. 25,Casa,N,1,Juventus
26,Hellas Verona,2022-02-13,Giornata n. 25,Casa,V,4,Udinese
32,Milan,2022-02-13,Giornata n. 25,Casa,V,1,Sampdoria
27,Genoa,2022-02-13,Giornata n. 25,Casa,N,1,Salernitana
27,Empoli,2022-02-13,Giornata n. 25,Casa,N,1,Cagliari
26,Spezia,2022-02-14,Giornata n. 25,Casa,P,1,Fiorentina
34,Juventus,2022-02-18,Giornata n. 26,Casa,N,1,Torino
28,Sampdoria,2022-02-19,Giornata n. 26,Casa,V,2,Empoli
25,Salernitana,2022-02-19,Giornata n. 26,Casa,N,2,Milan
35,Roma,2022-02-19,Giornata n. 26,Casa,N,2,Hellas Verona
28,Fiorentina,2022-02-20,Giornata n. 26,Casa,V,1,Atalanta
34,Inter,2022-02-20,Giornata n. 26,Casa,P,0,Sassuolo
26,Udinese,2022-02-20,Giornata n. 26,Casa,N,1,Lazio
27,Venezia,2022-02-20,Giornata n. 26,Casa,N,1,Genoa
25,Bologna,2022-02-21,Giornata n. 26,Casa,V,2,Spezia
28,Cagliari,2022-02-21,Giornata n. 26,Casa,N,1,Napoli
34,Milan,2022-02-25,Giornata n. 27,Casa,N,1,Udinese
29,Genoa,2022-02-25,Giornata n. 27,Casa,N,0,Inter
26,Salernitana,2022-02-26,Giornata n. 27,Casa,N,1,Bologna
29,Empoli,2022-02-26,Giornata n. 27,Casa,P,2,Juventus
28,Sassuolo,2022-02-26,Giornata n. 27,Casa,V,2,Fiorentina
36,Lazio,2022-02-27,Giornata n. 27,Casa,P,1,Napoli
28,Hellas Verona,2022-02-27,Giornata n. 27,Casa,V,3,Venezia
28,Spezia,2022-02-27,Giornata n. 27,Casa,P,0,Roma
27,Torino,2022-02-27,Giornata n. 27,Casa,P,1,Cagliari
35,Atalanta,2022-02-28,Giornata n. 27,Casa,V,4,Sampdoria
37,Inter,2022-03-04,Giornata n. 28,Casa,V,5,Salernitana
30,Cagliari,2022-03-05,Giornata n. 28,Casa,P,0,Lazio
37,Roma,2022-03-05,Giornata n. 28,Casa,V,1,Atalanta
28,Udinese,2022-03-05,Giornata n. 28,Casa,V,2,Sampdoria
27,Bologna,2022-03-06,Giornata n. 28,Casa,N,0,Torino
30,Genoa,2022-03-06,Giornata n. 28,Casa,N,0,Empoli
38,Juventus,2022-03-06,Giornata n. 28,Casa,V,1,Spezia
