,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
8,Lazio,2019-10-27,Giornata n. 9,Ospiti,V,2,Fiorentina,11.0,6.0,0,1,53.0,14.0,3,0
8,Torino,2019-10-27,Giornata n. 9,Casa,N,1,Cagliari,11.0,4.0,0,0,50.0,17.0,2,0
8,Cagliari,2019-10-27,Giornata n. 9,Ospiti,N,1,Torino,10.0,3.0,0,0,50.0,12.0,3,0
8,Bologna,2019-10-27,Giornata n. 9,Casa,V,2,Sampdoria,13.0,5.0,0,0,55.0,14.0,1,0
8,SPAL,2019-10-27,Giornata n. 9,Casa,N,1,Napoli,10.0,2.0,0,0,32.0,20.0,4,0
8,Fiorentina,2019-10-27,Giornata n. 9,Casa,P,1,Lazio,11.0,3.0,0,0,47.0,16.0,5,1
8,Sampdoria,2019-10-27,Giornata n. 9,Ospiti,P,1,Bologna,12.0,2.0,0,0,45.0,19.0,3,0
8,Atalanta,2019-10-27,Giornata n. 9,Casa,V,7,Udinese,22.0,11.0,2,2,63.0,13.0,2,0
8,Udinese,2019-10-27,Giornata n. 9,Ospiti,P,1,Atalanta,8.0,4.0,0,0,37.0,7.0,3,1
9,Parma,2019-10-29,Giornata n. 10,Casa,P,0,Hellas Verona,20.0,5.0,0,0,53.0,14.0,1,0
9,Hellas Verona,2019-10-29,Giornata n. 10,Ospiti,V,1,Parma,8.0,2.0,0,0,47.0,17.0,5,0
8,Brescia,2019-10-29,Giornata n. 10,Casa,P,1,Inter,15.0,6.0,0,0,43.0,15.0,4,0
9,Inter,2019-10-29,Giornata n. 10,Ospiti,V,2.0,Brescia,13.0,2.0,0,0,57.0,18.0,3,0
8,Sassuolo,2019-10-30,Giornata n. 10,Casa,P,1,Fiorentina,7.0,4.0,0,0,54.0,17.0,3,0
9,Bologna,2019-10-30,Giornata n. 10,Ospiti,P,2,Cagliari,9.0,2.0,1,1,51.0,23.0,1,0
9,Genoa,2019-10-30,Giornata n. 10,Ospiti,P,1,Juventus,8.0,3.0,0,0,46.0,12.0,3,2
9,Napoli,2019-10-30,Giornata n. 10,Casa,N,2,Atalanta,19.0,9.0,0,0,51.0,15.0,3,0
9,Lazio,2019-10-30,Giornata n. 10,Casa,V,4,Torino,19.0,7.0,1,1,54.0,13.0,2,0
9,Udinese,2019-10-30,Giornata n. 10,Casa,P,0,Roma,13.0,4.0,0,0,55.0,17.0,4,0
9,Lecce,2019-10-30,Giornata n. 10,Ospiti,N,1,Sampdoria,13.0,4.0,0,0,48.0,15.0,4,1
9,Cagliari,2019-10-30,Giornata n. 10,Casa,V,3,Bologna,15.0,5.0,0,0,49.0,16.0,2,0
9,Atalanta,2019-10-30,Giornata n. 10,Ospiti,N,2,Napoli,15.0,4.0,0,0,49.0,16.0,3,0
9,Torino,2019-10-30,Giornata n. 10,Ospiti,P,0,Lazio,10.0,2.0,0,0,46.0,13.0,2,1
9,Sampdoria,2019-10-30,Giornata n. 10,Casa,N,1,Lecce,24.0,6.0,0,0,52.0,20.0,4,0
9,Fiorentina,2019-10-30,Giornata n. 10,Ospiti,V,2,Sassuolo,14.0,7.0,0,0,46.0,21.0,4,0
9,Roma,2019-10-30,Giornata n. 10,Ospiti,V,4.0,Udinese,12.0,5.0,1,1,45.0,18.0,2,1
9,Juventus,2019-10-30,Giornata n. 10,Casa,V,2,Genoa,26.0,10.0,1,1,54.0,23.0,5,1
9,Milan,2019-10-31,Giornata n. 10,Casa,V,1,SPAL,16.0,5.0,0,0,56.0,17.0,4,0
9,SPAL,2019-10-31,Giornata n. 10,Ospiti,P,0,Milan,10.0,2.0,0,0,44.0,24.0,4,0
10,Inter,2019-11-02,Giornata n. 11,Ospiti,V,2.0,Bologna,14.0,7.0,1,1,53.0,26.0,4,0
10,Roma,2019-11-02,Giornata n. 11,Casa,V,2.0,Napoli,15.0,4.0,1,2,45.0,22.0,5,1
10,Napoli,2019-11-02,Giornata n. 11,Ospiti,P,1,Roma,16.0,3.0,0,0,55.0,16.0,3,0
10,Bologna,2019-11-02,Giornata n. 11,Casa,P,1,Inter,11.0,3.0,0,0,47.0,18.0,3,0
10,Juventus,2019-11-02,Giornata n. 11,Ospiti,V,1,Torino,20.0,10.0,0,0,60.0,16.0,2,0
10,Torino,2019-11-02,Giornata n. 11,Casa,P,0,Juventus,9.0,4.0,0,0,40.0,24.0,4,0
10,Cagliari,2019-11-03,Giornata n. 11,Ospiti,V,2,Atalanta,13.0,3.0,0,0,43.0,17.0,3,0
9,Brescia,2019-11-03,Giornata n. 11,Ospiti,P,1,Hellas Verona,16.0,4.0,0,0,48.0,16.0,4,1
10,Udinese,2019-11-03,Giornata n. 11,Ospiti,V,3,Genoa,18.0,5.0,0,0,37.0,18.0,2,0
10,Lecce,2019-11-03,Giornata n. 11,Casa,N,2,Sassuolo,9.0,4.0,0,0,39.0,17.0,2,0
10,Milan,2019-11-03,Giornata n. 11,Casa,P,1,Lazio,12.0,3.0,0,0,47.0,15.0,3,0
9,Sassuolo,2019-11-03,Giornata n. 11,Ospiti,N,2,Lecce,14.0,3.0,0,0,61.0,17.0,3,0
10,Parma,2019-11-03,Giornata n. 11,Ospiti,N,1,Fiorentina,8.0,3.0,0,0,38.0,21.0,2,0
10,Hellas Verona,2019-11-03,Giornata n. 11,Casa,V,2,Brescia,12.0,2.0,0,0,52.0,21.0,1,0
10,Genoa,2019-11-03,Giornata n. 11,Casa,P,1,Udinese,16.0,2.0,0,0,63.0,12.0,0,0
