,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
9,Cagliari,2018-10-28,Giornata n. 10,Casa,V,2.0,Chievo,16.0,3.0,0,0,49.0,18.0,1,0,2018-2019
9,Napoli,2018-10-28,Giornata n. 10,Casa,N,1.0,Roma,26.0,5.0,0,0,63.0,8.0,0,0,2018-2019
9,Roma,2018-10-28,Giornata n. 10,Ospiti,N,1.0,Napoli,9.0,3.0,0,0,37.0,8.0,5,0,2018-2019
9,Sampdoria,2018-10-28,Giornata n. 10,Ospiti,P,2.0,Milan,9.0,2.0,0,0,54.0,11.0,2,0,2018-2019
9,Sassuolo,2018-10-28,Giornata n. 10,Casa,N,2.0,Bologna,13.0,5.0,1,1,74.0,22.0,2,0,2018-2019
9,Frosinone,2018-10-28,Giornata n. 10,Ospiti,V,3.0,SPAL,8.0,4.0,0,0,37.0,13.0,6,0,2018-2019
8,Genoa,2018-10-28,Giornata n. 10,Casa,N,2.0,Udinese,12.0,4.0,1,1,41.0,17.0,5,1,2018-2019
9,Chievo,2018-10-28,Giornata n. 10,Ospiti,P,1.0,Cagliari,11.0,3.0,0,0,51.0,20.0,6,0,2018-2019
8,Milan,2018-10-28,Giornata n. 10,Casa,V,3.0,Sampdoria,14.0,6.0,0,0,46.0,16.0,3,0,2018-2019
9,Udinese,2018-10-28,Giornata n. 10,Ospiti,N,2.0,Genoa,15.0,5.0,0,0,59.0,19.0,4,0,2018-2019
9,SPAL,2018-10-28,Giornata n. 10,Casa,P,0.0,Frosinone,14.0,2.0,0,0,63.0,18.0,3,0,2018-2019
9,Bologna,2018-10-28,Giornata n. 10,Ospiti,N,2.0,Sassuolo,14.0,5.0,0,0,26.0,19.0,3,0,2018-2019
9,Lazio,2018-10-29,Giornata n. 10,Casa,P,0.0,Inter,20.0,4.0,0,0,40.0,15.0,3,0,2018-2019
