,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
25,Hellas Verona,2021-03-07,Giornata n. 26,Casa,P,0,Milan,11,0,0,0,387.0,516.0,8.0,53.0,14,2,0
25,Sampdoria,2021-03-07,Giornata n. 26,Casa,N,2,Cagliari,12,5,0,0,423.0,523.0,3.0,52.0,18,4,0
25,Genoa,2021-03-07,Giornata n. 26,Ospiti,P,0,Roma,6,2,0,0,416.0,505.0,1.0,45.0,18,4,0
25,Fiorentina,2021-03-07,Giornata n. 26,Casa,N,3,Parma,5,2,0,0,291.0,389.0,3.0,44.0,20,0,0
24,Napoli,2021-03-07,Giornata n. 26,Casa,V,3,Bologna,14,7,0,0,345.0,441.0,6.0,43.0,14,2,0
23,Torino,2021-03-07,Giornata n. 26,Ospiti,P,2,Crotone,18,4,0,0,362.0,456.0,8.0,57.0,26,3,1
25,Cagliari,2021-03-07,Giornata n. 26,Ospiti,N,2,Sampdoria,9,4,0,0,395.0,489.0,5.0,48.0,15,3,0
25,Parma,2021-03-07,Giornata n. 26,Ospiti,N,3,Fiorentina,7,3,1,1,416.0,499.0,3.0,56.0,18,3,0
25,Roma,2021-03-07,Giornata n. 26,Casa,V,1,Genoa,17,2,0,0,519.0,607.0,7.0,55.0,17,1,0
25,Bologna,2021-03-07,Giornata n. 26,Ospiti,P,1,Napoli,16,4,0,0,463.0,583.0,3.0,57.0,13,0,0
25,Crotone,2021-03-07,Giornata n. 26,Casa,V,4,Torino,17,6,1,1,264.0,344.0,8.0,43.0,21,4,0
25,Atalanta,2021-03-08,Giornata n. 26,Ospiti,P,0,Inter,13,2,0,0,550.0,635.0,7.0,55.0,18,1,0
25,Inter,2021-03-08,Giornata n. 26,Casa,V,1,Atalanta,5,1,0,0,423.0,526.0,7.0,45.0,17,0,0
26,Atalanta,2021-03-12,Giornata n. 27,Casa,V,3,Spezia,14,7,0,0,439.0,536.0,3.0,47.0,19,2,0
25,Lazio,2021-03-12,Giornata n. 27,Casa,V,3,Crotone,26,6,0,0,560.0,652.0,5.0,63.0,9,0,0
26,Crotone,2021-03-12,Giornata n. 27,Ospiti,P,2,Lazio,4,2,1,1,281.0,376.0,1.0,37.0,11,3,0
26,Spezia,2021-03-12,Giornata n. 27,Ospiti,P,1,Atalanta,7,3,0,0,483.0,594.0,5.0,53.0,6,0,0
26,Hellas Verona,2021-03-13,Giornata n. 27,Ospiti,P,2,Sassuolo,13,4,0,0,464.0,556.0,5.0,59.0,20,2,0
26,Fiorentina,2021-03-13,Giornata n. 27,Ospiti,V,4,Benevento,11,5,0,0,298.0,389.0,3.0,41.0,20,1,0
25,Sassuolo,2021-03-13,Giornata n. 27,Casa,V,3,Hellas Verona,16,6,0,0,310.0,385.0,6.0,41.0,16,3,0
26,Udinese,2021-03-13,Giornata n. 27,Ospiti,N,1,Genoa,8,2,1,1,361.0,449.0,3.0,44.0,12,1,0
26,Genoa,2021-03-13,Giornata n. 27,Casa,N,1,Udinese,11,2,0,0,489.0,583.0,6.0,56.0,20,3,0
26,Benevento,2021-03-13,Giornata n. 27,Casa,P,1,Fiorentina,17,4,0,0,473.0,564.0,8.0,59.0,17,3,0
26,Roma,2021-03-14,Giornata n. 27,Ospiti,P,0,Parma,21,5,0,0,452.0,535.0,12.0,58.0,17,3,0
25,Juventus,2021-03-14,Giornata n. 27,Ospiti,V,3,Cagliari,9,5,1,1,456.0,528.0,5.0,49.0,17,2,0
26,Cagliari,2021-03-14,Giornata n. 27,Casa,P,1,Juventus,12,4,0,0,464.0,555.0,8.0,51.0,15,0,0
26,Inter,2021-03-14,Giornata n. 27,Ospiti,V,2,Torino,12,2,1,1,643.0,732.0,8.0,68.0,12,1,0
26,Bologna,2021-03-14,Giornata n. 27,Casa,V,3,Sampdoria,10,6,0,0,331.0,439.0,2.0,44.0,17,2,0
24,Torino,2021-03-14,Giornata n. 27,Casa,P,1,Inter,7,3,0,0,255.0,343.0,1.0,32.0,14,0,0
26,Sampdoria,2021-03-14,Giornata n. 27,Ospiti,P,1,Bologna,18,5,0,0,442.0,562.0,6.0,56.0,12,2,0
26,Parma,2021-03-14,Giornata n. 27,Casa,V,2,Roma,6,3,1,1,312.0,383.0,0.0,42.0,21,3,0
26,Milan,2021-03-14,Giornata n. 27,Casa,P,0,Napoli,13,5,0,0,485.0,573.0,5.0,56.0,15,1,1
25,Napoli,2021-03-14,Giornata n. 27,Ospiti,V,1,Milan,15,4,0,0,389.0,456.0,4.0,44.0,11,2,0
26,Sassuolo,2021-03-17,Giornata n. 24,Ospiti,P,2,Torino,14,3,0,0,414.0,486.0,3.0,49.0,21,2,0
25,Torino,2021-03-17,Giornata n. 24,Casa,V,3,Sassuolo,22,12,0,0,401.0,513.0,6.0,51.0,12,1,0
27,Genoa,2021-03-19,Giornata n. 28,Ospiti,V,2,Parma,10,2,0,0,357.0,458.0,3.0,44.0,9,2,0
27,Parma,2021-03-19,Giornata n. 28,Casa,P,1,Genoa,13,8,0,0,505.0,586.0,1.0,56.0,25,5,0
27,Bologna,2021-03-20,Giornata n. 28,Ospiti,V,3,Crotone,21,9,0,0,336.0,430.0,3.0,51.0,18,7,0
27,Crotone,2021-03-20,Giornata n. 28,Casa,P,2,Bologna,16,3,1,1,302.0,417.0,10.0,49.0,12,4,0
27,Cagliari,2021-03-20,Giornata n. 28,Ospiti,P,1,Spezia,14,7,0,0,319.0,435.0,4.0,47.0,19,2,0
27,Spezia,2021-03-20,Giornata n. 28,Casa,V,2,Cagliari,12,5,0,0,393.0,499.0,4.0,53.0,13,1,0
27,Roma,2021-03-21,Giornata n. 28,Casa,P,0,Napoli,8,3,0,0,499.0,581.0,6.0,53.0,18,5,0
27,Milan,2021-03-21,Giornata n. 28,Ospiti,V,3,Fiorentina,13,3,0,0,448.0,530.0,8.0,58.0,11,3,0
27,Atalanta,2021-03-21,Giornata n. 28,Ospiti,V,2,Hellas Verona,16,5,1,1,285.0,406.0,7.0,47.0,20,2,0
26,Lazio,2021-03-21,Giornata n. 28,Ospiti,V,1,Udinese,16,6,0,0,395.0,486.0,11.0,49.0,15,3,0
27,Benevento,2021-03-21,Giornata n. 28,Ospiti,V,1,Juventus,7,1,0,0,160.0,251.0,1.0,27.0,16,4,0
27,Sampdoria,2021-03-21,Giornata n. 28,Casa,V,1,Torino,6,2,0,0,222.0,329.0,1.0,37.0,16,0,0
27,Fiorentina,2021-03-21,Giornata n. 28,Casa,P,2,Milan,7,2,0,0,287.0,377.0,8.0,42.0,7,1,0
27,Udinese,2021-03-21,Giornata n. 28,Casa,P,0,Lazio,12,3,0,0,412.0,502.0,6.0,51.0,11,1,0
27,Hellas Verona,2021-03-21,Giornata n. 28,Casa,P,0,Atalanta,3,1,0,0,320.0,454.0,4.0,53.0,23,3,0
26,Napoli,2021-03-21,Giornata n. 28,Ospiti,V,2,Roma,11,5,0,0,449.0,525.0,4.0,47.0,15,3,0
26,Torino,2021-03-21,Giornata n. 28,Ospiti,P,0,Sampdoria,11,0,0,0,448.0,567.0,7.0,63.0,20,1,0
26,Juventus,2021-03-21,Giornata n. 28,Casa,P,0,Benevento,21,7,0,0,573.0,675.0,9.0,73.0,15,2,0
28,Cagliari,2021-04-03,Giornata n. 29,Casa,P,0,Hellas Verona,24,5,0,0,300.0,425.0,6.0,49.0,18,1,0
28,Hellas Verona,2021-04-03,Giornata n. 29,Ospiti,V,2,Cagliari,10,5,0,0,322.0,441.0,5.0,51.0,18,3,0
28,Udinese,2021-04-03,Giornata n. 29,Ospiti,P,2,Atalanta,9,3,0,0,361.0,458.0,1.0,42.0,9,2,0
28,Genoa,2021-04-03,Giornata n. 29,Casa,N,1,Fiorentina,8,1,0,0,473.0,560.0,4.0,56.0,18,2,0
27,Napoli,2021-04-03,Giornata n. 29,Casa,V,4,Crotone,26,9,0,0,613.0,690.0,4.0,64.0,6,0,0
28,Benevento,2021-04-03,Giornata n. 29,Casa,N,2,Parma,6,4,0,0,171.0,265.0,3.0,29.0,22,2,0
28,Spezia,2021-04-03,Giornata n. 29,Ospiti,P,1,Lazio,7,2,0,0,388.0,490.0,4.0,50.0,20,3,0
27,Juventus,2021-04-03,Giornata n. 29,Ospiti,N,2,Torino,21,8,0,0,573.0,660.0,6.0,71.0,20,2,0
28,Sampdoria,2021-04-03,Giornata n. 29,Ospiti,N,1,Milan,6,4,0,0,270.0,374.0,5.0,37.0,15,5,1
27,Torino,2021-04-03,Giornata n. 29,Casa,N,2,Juventus,10,6,0,0,195.0,274.0,5.0,29.0,17,3,0
28,Crotone,2021-04-03,Giornata n. 29,Ospiti,P,3,Napoli,8,4,0,0,311.0,391.0,6.0,36.0,17,4,0
28,Milan,2021-04-03,Giornata n. 29,Casa,N,1,Sampdoria,14,2,0,0,536.0,647.0,5.0,63.0,17,2,0
28,Roma,2021-04-03,Giornata n. 29,Ospiti,N,2,Sassuolo,10,7,1,1,299.0,363.0,4.0,31.0,17,3,0
28,Fiorentina,2021-04-03,Giornata n. 29,Ospiti,N,1,Genoa,10,3,0,0,359.0,443.0,2.0,44.0,10,1,1
27,Lazio,2021-04-03,Giornata n. 29,Casa,V,2,Spezia,10,4,1,1,405.0,499.0,3.0,50.0,17,3,2
27,Inter,2021-04-03,Giornata n. 29,Ospiti,V,1,Bologna,14,3,0,0,375.0,469.0,4.0,45.0,17,4,0
28,Atalanta,2021-04-03,Giornata n. 29,Casa,V,3,Udinese,24,10,0,0,530.0,621.0,4.0,58.0,16,0,0
28,Bologna,2021-04-03,Giornata n. 29,Casa,P,0,Inter,12,2,0,0,490.0,584.0,4.0,55.0,19,4,0
28,Parma,2021-04-03,Giornata n. 29,Ospiti,N,2,Benevento,18,6,0,0,558.0,654.0,3.0,71.0,22,1,0
27,Sassuolo,2021-04-03,Giornata n. 29,Casa,N,2,Roma,13,6,0,0,753.0,811.0,3.0,69.0,15,4,0
28,Juventus,2021-04-07,Giornata n. 3,Casa,V,2,Napoli,12,3,0,0,482.0,553.0,2.0,47.0,19,1,0
28,Inter,2021-04-07,Giornata n. 28,Casa,V,2,Sassuolo,7,3,0,0,336.0,386.0,1.0,30.0,11,2,0
28,Napoli,2021-04-07,Giornata n. 3,Ospiti,P,1,Juventus,13,3,1,1,538.0,614.0,6.0,53.0,15,2,0
28,Sassuolo,2021-04-07,Giornata n. 28,Ospiti,P,1,Inter,15,3,0,0,823.0,886.0,8.0,70.0,13,3,0
29,Udinese,2021-04-10,Giornata n. 30,Casa,P,0,Torino,16,4,0,0,523.0,609.0,5.0,64.0,20,0,0
29,Crotone,2021-04-10,Giornata n. 30,Ospiti,P,2,Spezia,9,5,0,0,321.0,417.0,4.0,40.0,17,1,0
29,Parma,2021-04-10,Giornata n. 30,Casa,P,1,Milan,16,5,0,0,527.0,610.0,7.0,58.0,18,4,0
29,Spezia,2021-04-10,Giornata n. 30,Casa,V,3,Crotone,8,4,0,0,518.0,630.0,3.0,60.0,12,1,0
28,Torino,2021-04-10,Giornata n. 30,Ospiti,V,1,Udinese,9,0,1,1,253.0,336.0,4.0,36.0,22,3,0
29,Milan,2021-04-10,Giornata n. 30,Ospiti,V,3,Parma,10,5,0,0,362.0,433.0,3.0,42.0,11,4,1
29,Genoa,2021-04-11,Giornata n. 30,Ospiti,P,1,Juventus,11,3,0,0,444.0,517.0,6.0,43.0,14,3,0
29,Fiorentina,2021-04-11,Giornata n. 30,Casa,P,2,Atalanta,10,2,0,0,326.0,417.0,0.0,40.0,15,3,0
29,Napoli,2021-04-11,Giornata n. 30,Ospiti,V,2,Sampdoria,21,8,0,0,415.0,522.0,7.0,56.0,11,3,0
29,Juventus,2021-04-11,Giornata n. 30,Casa,V,3,Genoa,25,12,0,0,624.0,687.0,8.0,57.0,19,3,0
29,Sampdoria,2021-04-11,Giornata n. 30,Casa,P,0,Napoli,12,4,0,0,287.0,403.0,8.0,44.0,15,0,0
29,Hellas Verona,2021-04-11,Giornata n. 30,Casa,P,0,Lazio,5,0,0,0,336.0,456.0,5.0,44.0,20,0,0
29,Inter,2021-04-11,Giornata n. 30,Casa,V,1,Cagliari,15,7,0,0,575.0,640.0,5.0,52.0,11,1,0
29,Bologna,2021-04-11,Giornata n. 30,Ospiti,P,0,Roma,12,4,0,0,501.0,591.0,6.0,56.0,16,1,0
28,Lazio,2021-04-11,Giornata n. 30,Ospiti,V,1,Hellas Verona,12,1,0,0,457.0,569.0,4.0,56.0,14,2,0
29,Cagliari,2021-04-11,Giornata n. 30,Ospiti,P,0,Inter,7,1,0,0,492.0,581.0,0.0,48.0,12,1,0
29,Atalanta,2021-04-11,Giornata n. 30,Ospiti,V,3,Fiorentina,14,7,1,1,516.0,615.0,6.0,60.0,15,1,0
29,Roma,2021-04-11,Giornata n. 30,Casa,V,1,Bologna,14,6,0,0,368.0,459.0,4.0,44.0,17,3,0
29,Benevento,2021-04-12,Giornata n. 30,Casa,P,0,Sassuolo,9,3,0,0,223.0,332.0,3.0,32.0,16,3,0
29,Sassuolo,2021-04-12,Giornata n. 30,Ospiti,V,1,Benevento,15,5,0,0,623.0,712.0,8.0,68.0,18,2,0
30,Udinese,2021-04-17,Giornata n. 31,Ospiti,V,2,Crotone,11,5,0,0,366.0,445.0,7.0,46.0,20,2,1
30,Parma,2021-04-17,Giornata n. 31,Ospiti,P,3,Cagliari,11,5,0,0,241.0,335.0,4.0,36.0,14,2,0
30,Fiorentina,2021-04-17,Giornata n. 31,Ospiti,P,1,Sassuolo,7,5,0,0,204.0,291.0,4.0,29.0,17,5,0
30,Sassuolo,2021-04-17,Giornata n. 31,Casa,V,3,Fiorentina,9,3,2,2,640.0,721.0,3.0,71.0,8,3,0
30,Hellas Verona,2021-04-17,Giornata n. 31,Ospiti,P,1,Sampdoria,19,4,0,0,330.0,439.0,7.0,51.0,15,3,0
30,Crotone,2021-04-17,Giornata n. 31,Casa,P,1,Udinese,6,2,1,1,438.0,524.0,5.0,54.0,16,0,0
30,Cagliari,2021-04-17,Giornata n. 31,Casa,V,4,Parma,20,5,0,0,489.0,587.0,0.0,64.0,15,4,0
30,Sampdoria,2021-04-17,Giornata n. 31,Casa,V,3,Hellas Verona,11,4,1,1,302.0,415.0,5.0,49.0,18,3,0
30,Milan,2021-04-18,Giornata n. 31,Casa,V,2,Genoa,17,4,0,0,466.0,558.0,5.0,54.0,9,0,0
30,Spezia,2021-04-18,Giornata n. 31,Ospiti,P,1,Bologna,9,4,0,0,469.0,568.0,8.0,59.0,13,1,0
30,Bologna,2021-04-18,Giornata n. 31,Casa,V,4,Spezia,9,4,1,1,296.0,394.0,4.0,41.0,17,1,0
30,Napoli,2021-04-18,Giornata n. 31,Casa,N,1,Inter,12,1,0,0,564.0,622.0,3.0,56.0,12,5,0
29,Torino,2021-04-18,Giornata n. 31,Casa,V,3,Roma,25,11,0,0,338.0,434.0,11.0,49.0,19,2,0
