,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
5,Fiorentina,2021-09-26,Giornata n. 6,Ospiti,V,1,Udinese,7.0,1.0,1,1,518.0,599.0,1.0,54.0,14.0,3,0
5,Cagliari,2021-09-26,Giornata n. 6,Ospiti,P,0,Napoli,6.0,0.0,0,0,297.0,375.0,4.0,33.0,13.0,1,0
5,Sampdoria,2021-09-26,Giornata n. 6,Ospiti,P,2,Juventus,6.0,3.0,0,0,391.0,487.0,2.0,50.0,18.0,3,0
5,Salernitana,2021-09-26,Giornata n. 6,Ospiti,P,0,Sassuolo,12.0,4.0,0,0,277.0,371.0,8.0,43.0,18.0,3,0
5,Lazio,2021-09-26,Giornata n. 6,Casa,V,3,Roma,10.0,4.0,0,0,406.0,475.0,1.0,50.0,16.0,2,0
5,Udinese,2021-09-26,Giornata n. 6,Casa,P,0,Fiorentina,12.0,5.0,0,0,423.0,506.0,4.0,46.0,17.0,2,0
5,Juventus,2021-09-26,Giornata n. 6,Casa,V,3,Sampdoria,15.0,5.0,1,1,387.0,478.0,4.0,50.0,24.0,4,0
5,Napoli,2021-09-26,Giornata n. 6,Casa,V,2,Cagliari,16.0,6.0,1,1,696.0,766.0,6.0,67.0,11.0,2,0
5,Roma,2021-09-26,Giornata n. 6,Ospiti,P,2,Lazio,19.0,6.0,1,1,409.0,481.0,9.0,50.0,14.0,4,0
5,Sassuolo,2021-09-26,Giornata n. 6,Casa,V,1,Salernitana,17.0,6.0,0,0,409.0,491.0,4.0,57.0,17.0,3,0
5,Empoli,2021-09-26,Giornata n. 6,Casa,V,4,Bologna,14.0,6.0,1,1,219.0,299.0,2.0,37.0,16.0,2,0
5,Torino,2021-09-27,Giornata n. 6,Ospiti,N,1,Venezia,8.0,3.0,0,0,417.0,521.0,1.0,56.0,20.0,4,1
5,Venezia,2021-09-27,Giornata n. 6,Casa,N,1,Torino,6.0,0.0,1,1,300.0,404.0,4.0,44.0,9.0,1,0
6,Venezia,2021-10-01,Giornata n. 7,Ospiti,N,1,Cagliari,12.0,4.0,0,0,455.0,548.0,4.0,58.0,20.0,5,0
6,Cagliari,2021-10-01,Giornata n. 7,Casa,N,1,Venezia,9.0,3.0,0,0,310.0,401.0,2.0,42.0,16.0,2,0
6,Sassuolo,2021-10-02,Giornata n. 7,Casa,P,1,Inter,11.0,7.0,1,1,432.0,524.0,6.0,55.0,11.0,4,0
6,Genoa,2021-10-02,Giornata n. 7,Ospiti,P,0,Salernitana,18.0,3.0,0,0,336.0,427.0,8.0,50.0,19.0,2,0
6,Torino,2021-10-02,Giornata n. 7,Casa,P,0,Juventus,13.0,2.0,0,0,347.0,452.0,4.0,48.0,23.0,3,0
6,Inter,2021-10-02,Giornata n. 7,Ospiti,V,2,Sassuolo,16.0,2.0,1,1,348.0,436.0,8.0,45.0,21.0,2,0
6,Juventus,2021-10-02,Giornata n. 7,Ospiti,V,1,Torino,10.0,3.0,0,0,386.0,488.0,6.0,52.0,16.0,1,0
6,Salernitana,2021-10-02,Giornata n. 7,Casa,V,1,Genoa,10.0,4.0,0,0,308.0,419.0,9.0,50.0,20.0,2,0
6,Empoli,2021-10-03,Giornata n. 7,Ospiti,P,0,Roma,12.0,3.0,0,0,304.0,368.0,5.0,36.0,17.0,3,0
6,Atalanta,2021-10-03,Giornata n. 7,Casa,P,2,Milan,16.0,4.0,1,1,406.0,499.0,9.0,56.0,13.0,1,0
6,Sampdoria,2021-10-03,Giornata n. 7,Casa,N,3,Udinese,11.0,2.0,1,1,365.0,450.0,6.0,54.0,14.0,4,0
6,Spezia,2021-10-03,Giornata n. 7,Ospiti,P,0,Hellas Verona,12.0,4.0,0,0,444.0,525.0,5.0,55.0,12.0,1,1
6,Milan,2021-10-03,Giornata n. 7,Ospiti,V,3,Atalanta,13.0,7.0,0,0,311.0,397.0,5.0,44.0,16.0,4,0
6,Hellas Verona,2021-10-03,Giornata n. 7,Casa,V,4,Spezia,6.0,4.0,0,0,345.0,428.0,1.0,45.0,17.0,1,0
6,Roma,2021-10-03,Giornata n. 7,Casa,V,2,Empoli,18.0,5.0,0,0,580.0,644.0,5.0,64.0,13.0,2,0
6,Lazio,2021-10-03,Giornata n. 7,Ospiti,P,0,Bologna,8.0,4.0,0,0,570.0,665.0,3.0,59.0,18.0,5,1
6,Bologna,2021-10-03,Giornata n. 7,Casa,V,3,Lazio,10.0,3.0,0,0,378.0,462.0,3.0,41.0,7.0,2,0
6,Fiorentina,2021-10-03,Giornata n. 7,Casa,P,1,Napoli,10.0,3.0,0,0,424.0,511.0,8.0,55.0,18.0,3,0
6,Napoli,2021-10-03,Giornata n. 7,Ospiti,V,2,Fiorentina,11.0,4.0,0,1,344.0,418.0,2.0,45.0,13.0,3,0
6,Udinese,2021-10-03,Giornata n. 7,Ospiti,N,3,Sampdoria,18.0,7.0,0,0,294.0,382.0,8.0,46.0,19.0,5,0
7,Spezia,2021-10-16,Giornata n. 8,Casa,V,2,Salernitana,18.0,5.0,0,0,384.0,505.0,10.0,59.0,16.0,2,0
7,Salernitana,2021-10-16,Giornata n. 8,Ospiti,P,1,Spezia,15.0,4.0,0,0,244.0,352.0,2.0,41.0,17.0,3,0
7,Inter,2021-10-16,Giornata n. 8,Ospiti,P,1,Lazio,11.0,3.0,1,1,470.0,554.0,3.0,48.0,12.0,6,0
7,Milan,2021-10-16,Giornata n. 8,Casa,V,3,Hellas Verona,16.0,3.0,1,1,338.0,451.0,5.0,53.0,11.0,1,0
7,Lazio,2021-10-16,Giornata n. 8,Casa,V,3,Inter,18.0,7.0,1,1,533.0,595.0,7.0,52.0,13.0,3,1
7,Hellas Verona,2021-10-16,Giornata n. 8,Ospiti,P,2,Milan,9.0,4.0,1,1,285.0,395.0,4.0,47.0,21.0,4,0
