,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
116,Sampdoria,2021-11-07,P,-1,Bologna,-4.0,-2.0,0,0,-93.0,-61.0,1.0,-6.0,2.0,3,0
117,Udinese,2021-11-07,V,1,Sassuolo,3.0,-2.0,0,0,-228.0,-238.0,-4.0,-24.0,-1.0,0,1
118,Milan,2021-11-07,N,0,Inter,4.0,4.0,-1,-2,23.0,10.0,-4.0,2.0,6.0,1,0
119,Venezia,2021-11-07,V,1,Roma,-16.0,-2.0,1,1,-161.0,-187.0,-7.0,-22.0,-6.0,0,0
120,Lazio,2021-11-20,P,-2,Juventus,-1.0,-2.0,-2,-2,149.0,157.0,1.0,14.0,-4.0,2,0
121,Fiorentina,2021-11-20,V,1,Milan,-7.0,-1.0,0,0,-91.0,-93.0,-1.0,-10.0,-6.0,0,0
122,Atalanta,2021-11-20,V,3,Spezia,7.0,3.0,1,1,32.0,10.0,-6.0,0.0,-2.0,-1,0
123,Inter,2021-11-21,V,1,Napoli,7.0,3.0,1,1,-103.0,-109.0,3.0,-12.0,-1.0,1,0
124,Salernitana,2021-11-21,P,-2,Sampdoria,5.0,-3.0,0,0,72.0,84.0,10.0,10.0,-10.0,-3,0
125,Bologna,2021-11-21,P,-1,Venezia,16.0,0.0,0,0,321.0,358.0,17.0,34.0,-5.0,-3,0
126,Sassuolo,2021-11-21,N,0,Cagliari,9.0,0.0,0,0,172.0,153.0,1.0,16.0,2.0,-1,0
127,Genoa,2021-11-21,P,-2,Roma,-17.0,-2.0,0,0,-173.0,-184.0,-5.0,-18.0,-3.0,1,0
128,Hellas Verona,2021-11-22,V,1,Empoli,13.0,1.0,0,0,125.0,114.0,-2.0,12.0,-6.0,-2,0
129,Torino,2021-11-22,V,1,Udinese,-4.0,-4.0,0,0,16.0,18.0,-3.0,2.0,-1.0,-2,0
130,Cagliari,2021-11-26,N,0,Salernitana,11.0,1.0,0,0,128.0,131.0,1.0,14.0,6.0,2,0
131,Juventus,2021-11-27,P,-1,Atalanta,8.0,1.0,0,0,184.0,181.0,2.0,18.0,-7.0,-1,0
132,Venezia,2021-11-27,P,-2,Inter,-20.0,-9.0,-1,-1,-128.0,-127.0,-6.0,-12.0,5.0,2,0
133,Sampdoria,2021-11-27,V,2,Hellas Verona,0.0,2.0,0,0,-159.0,-130.0,-1.0,-16.0,-1.0,3,0
134,Empoli,2021-11-27,V,1,Fiorentina,1.0,-2.0,0,0,2.0,10.0,3.0,2.0,7.0,0,0
135,Udinese,2021-11-28,N,0,Genoa,7.0,1.0,0,0,-123.0,-138.0,7.0,-14.0,8.0,-1,0
136,Roma,2021-11-28,V,1,Torino,-8.0,-1.0,0,0,-313.0,-342.0,-7.0,-36.0,-3.0,1,0
137,Spezia,2021-11-28,P,-1,Bologna,-2.0,2.0,-1,-1,-133.0,-142.0,-3.0,-14.0,5.0,2,0
138,Napoli,2021-11-28,V,4,Lazio,12.0,6.0,0,0,313.0,308.0,-2.0,24.0,-3.0,-2,0
