,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a
91,Spezia,2021-10-26,N,-0.33333333333333326,Genoa,0.8888888888888875,0.5555555555555554,-0.3333333333333333,-0.3333333333333333,62.666666666666686,64.88888888888886,1.5555555555555554,7.0,-3.2222222222222214,-1.222222222222222,0.2222222222222222,0.0,8.0
92,Venezia,2021-10-26,P,-0.11111111111111105,Salernitana,-1.8888888888888893,-0.5555555555555554,0.0,0.0,69.0,49.22222222222223,-2.0,1.0,0.33333333333333215,1.0,-0.1111111111111111,0.0,0.0
93,Udinese,2021-10-27,N,-1.1111111111111112,Hellas Verona,2.1111111111111107,0.33333333333333304,-0.2222222222222222,-0.2222222222222222,4.666666666666686,-12.777777777777771,0.7777777777777781,-5.666666666666671,-2.0,-0.33333333333333304,0.0,5.0,1.0
94,Cagliari,2021-10-27,P,-0.5555555555555554,Roma,-6.555555555555554,-1.8888888888888893,0.1111111111111111,0.0,-112.77777777777783,-100.77777777777777,-2.5555555555555554,-10.111111111111107,0.5555555555555554,-0.5555555555555558,-0.1111111111111111,1.0,5.0
95,Empoli,2021-10-27,P,-1.111111111111111,Inter,0.0,-1.1111111111111107,0.1111111111111111,0.0,-61.44444444444446,-51.0,-0.1111111111111116,-2.444444444444443,-1.666666666666666,-0.22222222222222188,0.0,0.0,8.0
96,Lazio,2021-10-27,V,0.6666666666666667,Fiorentina,0.7777777777777768,1.2222222222222223,-0.1111111111111111,0.0,38.00000000000006,42.22222222222217,-0.5555555555555554,-0.6666666666666643,-1.4444444444444446,-0.6666666666666665,-0.1111111111111111,5.0,1.0
97,Sampdoria,2021-10-27,P,-0.22222222222222232,Atalanta,-2.5555555555555554,-0.6666666666666665,-0.1111111111111111,-0.2222222222222222,-97.88888888888886,-94.88888888888886,-0.7777777777777777,-7.555555555555557,0.44444444444444287,0.11111111111111116,0.0,4.0,3.0
98,Juventus,2021-10-27,P,0.11111111111111116,Sassuolo,-0.7777777777777786,-0.8888888888888893,0.1111111111111111,0.1111111111111111,-63.22222222222223,-64.55555555555554,-0.22222222222222232,-7.222222222222221,2.7777777777777786,-0.11111111111111116,0.0,6.0,0.0
99,Napoli,2021-10-28,V,0.4444444444444444,Bologna,0.7777777777777768,0.8888888888888893,0.1111111111111111,0.33333333333333337,115.0,105.22222222222223,-0.7777777777777777,6.0,-2.333333333333332,-1.5555555555555558,-0.3333333333333333,5.0,2.0
100,Hellas Verona,2021-10-30,V,0.8000000000000003,Juventus,-4.100000000000001,-0.39999999999999947,0.2,0.2,-50.80000000000001,-36.0,-1.0,-0.19999999999999574,-1.0,0.6000000000000001,0.1,1.0,5.0
101,Torino,2021-10-30,V,-0.19999999999999996,Sampdoria,2.0999999999999996,0.40000000000000036,-0.1,-0.1,24.19999999999999,21.69999999999999,-1.0999999999999996,4.0,5.899999999999999,0.10000000000000009,0.1,2.0,3.0
102,Atalanta,2021-10-30,N,-0.19999999999999996,Lazio,2.9000000000000004,-0.9000000000000004,-0.09999999999999998,-0.10000000000000003,-70.69999999999999,-57.80000000000007,1.7000000000000002,0.0,1.5,0.30000000000000027,-0.2,4.0,1.0
103,Sassuolo,2021-10-31,P,0.0,Empoli,-0.5999999999999996,1.1999999999999997,-0.19999999999999998,-0.19999999999999998,115.39999999999998,106.09999999999997,-0.39999999999999947,9.600000000000001,0.0,0.19999999999999973,-0.1,7.0,1.0
104,Salernitana,2021-10-31,P,-1.2000000000000002,Napoli,-3.0,-1.9,-0.30000000000000004,-0.6,-244.29999999999995,-214.2,0.09999999999999964,-15.699999999999996,4.400000000000002,0.8,0.0,0.0,8.0
105,Genoa,2021-10-31,N,0.7,Venezia,2.5999999999999996,0.6000000000000001,0.30000000000000004,0.30000000000000004,-12.0,-4.0,0.7999999999999998,1.1000000000000014,-0.3999999999999986,-0.3999999999999999,-0.1,8.0,0.0
106,Inter,2021-10-31,V,1.4000000000000001,Udinese,2.8999999999999986,1.2999999999999998,0.1,0.19999999999999998,96.60000000000002,98.30000000000001,0.7999999999999998,10.0,0.40000000000000036,0.5,-0.1,5.0,1.0
