,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,prediction,rank
117,3.0,0.0,-0.7999999999999999,1.0,-5.800000000000001,-3.2,0.2,0.2,3.200000000000003,4.4,0.8000000000000003,0.4,2.0,-1.0
118,14.0,1.0,0.1999999999999999,16.0,3.799999999999999,1.2000000000000002,0.0,-0.2,3.200000000000003,1.4000000000000004,0.3999999999999999,0.0,1.0,-1.0
119,11.0,2.0,-0.4000000000000001,9.0,-0.8000000000000007,1.0,-0.2,-0.2,-3.199999999999996,-4.0,0.9999999999999998,0.0,0.0,-2.0
120,8.0,1.0,0.5999999999999999,6.0,5.4,1.3999999999999997,0.0,0.0,12.800000000000004,1.0,-1.0,0.2,1.0,4.0
121,19.0,1.0,-1.0,14.0,1.5999999999999996,0.0,0.0,0.2,-4.800000000000004,1.4000000000000004,0.3999999999999999,0.2,2.0,-4.0
122,9.0,1.0,0.8,15.0,7.799999999999999,1.4,0.0,-0.2,8.399999999999999,1.5999999999999996,-2.2,-0.2,1.0,3.0
123,1.0,0.0,0.5999999999999999,5.0,-2.200000000000001,-0.7999999999999998,-0.4,-0.4,-9.6,0.6000000000000014,0.6000000000000001,0.0,0.0,-4.0
124,7.0,0.0,0.0,16.0,0.4000000000000003,0.2000000000000001,0.2,0.0,-12.0,5.600000000000001,1.1999999999999995,0.2,0.0,-3.0
125,4.0,1.0,-1.4,0.0,-7.0,-2.4000000000000004,0.0,0.2,-11.799999999999995,-0.8000000000000007,0.6000000000000001,0.0,2.0,-4.0
126,13.0,1.0,0.0,17.0,-2.0,-0.7999999999999998,-0.2,-0.2,-18.2,-5.399999999999999,-0.6000000000000001,0.0,1.0,-4.0
127,12.0,0.0,1.6,3.0,9.599999999999998,4.6000000000000005,-0.2,-0.2,10.799999999999995,-8.4,-1.6,-0.4,1.0,3.0
128,10.0,0.0,0.4000000000000001,11.0,1.8000000000000007,0.7999999999999998,0.2,0.0,-1.2000000000000028,2.2,-0.2000000000000001,-0.2,1.0,-1.0
129,2.0,0.0,-0.6000000000000001,18.0,-5.199999999999999,-2.0000000000000004,-0.2,-0.2,-7.399999999999999,-3.6,0.1999999999999997,0.0,1.0,-4.0
130,15.0,0.0,-1.0,4.0,-4.6,-3.2,0.2,0.0,3.5999999999999943,-1.0,0.7999999999999998,0.2,2.0,0.0
131,5.0,2.0,-1.2,9.0,-1.6000000000000014,0.2000000000000001,0.2,0.2,-5.399999999999999,0.6000000000000014,0.2000000000000001,0.0,2.0,-2.0
132,16.0,1.0,-0.3999999999999999,1.0,-2.0,-1.4,0.0,0.2,12.799999999999995,-2.6,-0.7999999999999998,0.0,1.0,0.0
133,3.0,0.0,-0.8,10.0,-9.8,-3.8,0.2,0.2,-4.0,3.6000000000000014,1.1999999999999995,0.4,2.0,-1.0
134,11.0,1.0,0.5999999999999999,13.0,3.4000000000000004,2.2,0.0,0.2,14.4,0.8000000000000007,0.0,0.0,0.0,4.0
135,17.0,0.0,0.3999999999999999,19.0,-3.8000000000000007,-1.5999999999999996,0.4,0.2,12.6,3.0,0.2000000000000001,-0.2,0.0,2.0
136,14.0,0.0,-1.4,8.0,-0.1999999999999993,-1.0,-0.2,-0.2,-3.800000000000004,0.4000000000000003,0.0,-0.2,2.0,1.0
137,18.0,1.0,0.6000000000000001,7.0,4.199999999999999,1.1999999999999995,-0.2,-0.2,15.0,2.3999999999999986,-1.6,-0.2,1.0,1.0
138,6.0,0.0,0.1999999999999999,2.0,-1.4000000000000004,0.6000000000000001,0.2,0.2,-7.599999999999994,-3.0,1.2000000000000002,0.0,0.0,-4.0
139,0.0,2.0,1.0,12.0,-0.1999999999999993,1.0,-0.2,-0.2,-2.200000000000003,3.6,0.1999999999999999,0.2,0.0,0.0
140,9.0,1.0,-0.3999999999999999,8.0,-2.9999999999999982,-2.2,0.2,0.2,-5.799999999999997,3.0,-0.4000000000000001,-0.2,0.0,1.0
141,2.0,0.0,-0.4000000000000001,14.0,-4.600000000000001,-2.0,-0.2,-0.2,-1.1999999999999955,2.2,1.2000000000000002,0.2,1.0,-3.0
142,10.0,0.0,-0.4000000000000001,16.0,9.6,1.6,0.0,-0.2,-1.5999999999999943,0.0,0.1999999999999999,0.0,0.0,4.0
143,12.0,1.0,1.0,6.0,8.6,2.6000000000000005,0.0,0.0,17.4,-4.0,-2.2,0.0,1.0,4.0
144,4.0,1.0,0.6000000000000001,1.0,1.5999999999999996,0.7999999999999998,0.0,0.2,2.799999999999997,-1.8000000000000007,-0.3999999999999999,0.0,1.0,-1.0
145,13.0,0.0,0.1999999999999999,3.0,2.200000000000001,1.0,-0.2,-0.2,-8.799999999999997,-3.6000000000000014,-1.4,0.0,1.0,-4.0
146,19.0,2.0,-1.6,0.0,-5.799999999999999,-2.3999999999999995,0.0,0.2,-12.799999999999995,2.799999999999999,0.8,0.0,2.0,1.0
147,7.0,0.0,-0.1999999999999999,15.0,-0.200000000000001,0.2000000000000001,0.2,0.2,-16.0,5.200000000000001,0.0,0.0,0.0,1.0
148,17.0,0.0,0.6,5.0,-2.2,-2.2,0.2,0.2,14.200000000000005,-0.5999999999999979,0.2000000000000001,0.0,0.0,-1.0
149,11.0,0.0,-0.4000000000000001,18.0,-2.6,-0.4000000000000003,-0.2,0.0,-4.799999999999997,-6.600000000000001,0.4000000000000001,0.2,1.0,1.0
150,18.0,2.0,-0.8000000000000003,9.0,1.3999999999999986,0.7999999999999998,0.2,0.2,2.0,3.6,0.3999999999999999,0.0,2.0,-3.0
151,8.0,1.0,1.6,19.0,4.6,2.8000000000000003,0.2,0.0,17.599999999999994,0.4000000000000003,0.0,0.0,1.0,2.0
152,15.0,0.0,0.3999999999999999,3.0,2.0,1.6,-0.2,-0.2,12.200000000000005,-5.199999999999999,0.0,-0.2,0.0,-3.0
153,5.0,1.0,-1.0,4.0,4.0,0.3999999999999994,0.2,0.0,3.6000000000000014,4.799999999999999,0.5999999999999996,0.2,0.0,2.0
154,16.0,1.0,0.6000000000000001,13.0,-4.0,0.0,0.0,0.2,11.6,-2.6,-0.5999999999999996,0.0,1.0,4.0
155,14.0,1.0,1.0,7.0,9.4,3.0,-0.2,-0.2,19.8,-1.8000000000000007,-1.4,-0.4,1.0,3.0
156,2.0,2.0,-1.4,12.0,-7.6,-4.199999999999999,0.0,0.0,-5.399999999999999,6.800000000000001,2.2,0.6,2.0,-4.0
157,6.0,2.0,-1.0,17.0,-4.200000000000001,0.2000000000000001,-0.2,-0.2,-18.6,-2.3999999999999986,-0.7999999999999998,-0.2,0.0,-4.0
158,0.0,1.0,0.5999999999999999,10.0,-2.8000000000000007,-1.2000000000000002,-0.2,-0.2,6.0,-1.5999999999999996,0.0,0.2,0.0,-2.0
