,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
449,juventus,2019-10-19,V,0.20000000000000018,bologna,2.8000000000000007,1.0,0.0,-0.2,3.4000000000000057,-3.1999999999999993,-2.0,-0.4,2019-2020,6.0,0.0
450,lazio,2019-10-19,N,-0.8,atalanta,-5.400000000000002,-0.7999999999999998,0.0,0.2,-3.3999999999999986,-2.200000000000001,0.3999999999999999,0.2,2019-2020,2.0,2.0
451,napoli,2019-10-19,V,0.8,hellas verona,11.799999999999999,3.2,0.2,0.0,15.800000000000004,-7.399999999999999,-0.20000000000000018,-0.2,2019-2020,6.0,0.0
452,udinese,2019-10-20,V,-0.8,torino,-0.1999999999999993,0.3999999999999999,-0.4,-0.4,-5.400000000000006,3.400000000000002,1.0,0.0,2019-2020,0.0,3.0
453,cagliari,2019-10-20,V,1.0,spal,-4.199999999999999,-1.4,0.2,0.2,-6.399999999999999,3.4000000000000004,-0.3999999999999999,-0.2,2019-2020,5.0,0.0
454,parma,2019-10-20,V,0.4,genoa,0.5999999999999996,0.0,-0.2,0.0,-3.5999999999999943,1.8000000000000007,-1.0,-0.4,2019-2020,2.0,4.0
455,sampdoria,2019-10-20,N,-1.0,roma,-3.3999999999999986,-1.7999999999999998,0.0,-0.2,-14.0,-1.8000000000000007,0.0,0.0,2019-2020,2.0,3.0
456,sassuolo,2019-10-20,P,0.3999999999999999,inter,-1.6000000000000014,0.1999999999999993,-0.2,-0.2,3.200000000000003,-2.0,-0.40000000000000013,-0.2,2019-2020,4.0,1.0
457,milan,2019-10-20,N,-0.3999999999999999,lecce,1.0,-0.20000000000000018,0.0,0.0,15.399999999999999,1.0,0.0,1.0,2019-2020,6.0,0.0
458,brescia,2019-10-21,N,-0.40000000000000013,fiorentina,-3.799999999999999,-1.6,-0.2,-0.4,-8.399999999999999,0.5999999999999996,-1.0,0.2,2019-2020,0.0,6.0
459,hellas verona,2019-10-25,P,-1.0,sassuolo,-1.1999999999999993,-1.0,0.0,0.2,-6.799999999999997,3.4000000000000004,-0.3999999999999999,0.2,2019-2020,1.0,5.0
460,lecce,2019-10-26,N,-0.6000000000000001,juventus,-10.6,-3.2,0.39999999999999997,0.6000000000000001,-21.800000000000004,-0.5999999999999996,0.3999999999999999,0.0,2019-2020,0.0,6.0
461,inter,2019-10-26,N,0.40000000000000013,parma,1.200000000000001,1.4,0.6,0.19999999999999996,10.200000000000003,0.6000000000000014,0.19999999999999973,0.2,2019-2020,5.0,1.0
462,genoa,2019-10-26,V,-0.6,brescia,1.5999999999999996,0.6000000000000001,0.0,0.2,12.0,3.0,1.1999999999999997,0.2,2019-2020,6.0,0.0
463,atalanta,2019-10-27,V,2.4,udinese,8.600000000000001,4.6,0.0,0.0,7.799999999999997,-4.999999999999998,-1.5999999999999999,0.0,2019-2020,3.0,2.0
464,spal,2019-10-27,N,-1.2000000000000002,napoli,-8.6,-1.7999999999999998,-0.2,-0.2,-12.200000000000003,3.0,0.7999999999999998,0.0,2019-2020,0.0,6.0
465,fiorentina,2019-10-27,P,-0.6000000000000001,lazio,-0.8000000000000007,-1.2000000000000002,-0.2,-0.19999999999999996,-1.5999999999999943,2.1999999999999993,0.6000000000000001,-0.2,2019-2020,1.0,3.0
466,torino,2019-10-27,N,-0.8,cagliari,-1.8000000000000007,0.0,0.0,0.0,12.0,1.1999999999999993,0.0,0.2,2019-2020,4.0,0.0
