,data,ora,competizione,girone,giorno,stadio,risultato,rf,rs,avversario,xg,xga,poss.,spettatori,capitano,formazione,arbitro,report partita,note,reti,tiri,tiri.1,% tip,g/tiri,g/tip,dist.,pun.,rigori,rig t,npxg,npxg/sh,g-xg,np:g-xg,team
17,17-12-2021,20:45,Serie A,Giornata n. 18,Ven,Ospiti,V,5,0,Salernitana,3.1,0.7,65.0,18.0,Samir Handanovič,3-5-2,Maurizio Mariani,Report partita,,5,23.0,8.0,348.0,22.0,63.0,124.0,0.0,0,0,3.1,14.0,1.9,1.9,Inter
18,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,V,1,0,Torino,1.3,0.6,54.0,41.413,Samir Handanovič,3-5-2,Marco Guida,Report partita,,1,15.0,3.0,200.0,7.0,33.0,186.0,1.0,0,0,1.3,9.0,-0.3,-0.3,Inter
19,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Casa,V,2,1,Lazio,1.6,1.5,60.0,29.471,Samir Handanovič,3-5-2,Luca Pairetto,Report partita,,2,17.0,5.0,294.0,12.0,40.0,166.0,1.0,0,0,1.6,11.0,0.4,0.4,Inter
20,16-01-2022,20:45,Serie A,Giornata n. 22,Dom,Ospiti,N,0,0,Atalanta,1.5,1.6,63.0,5.0,Samir Handanovič,3-5-2,Davide Massa,Report partita,,0,11.0,3.0,273.0,0.0,0.0,133.0,0.0,0,0,1.5,13.0,-1.5,-1.5,Inter
21,22-01-2022,18:00,Serie A,Giornata n. 23,Sab,Casa,V,2,1,Venezia,2.9,0.3,71.0,5.0,Samir Handanovič,3-5-2,Matteo Marchetti,Report partita,,2,24.0,12.0,500.0,8.0,17.0,151.0,2.0,0,0,2.9,12.0,-0.9,-0.9,Inter
22,05-02-2022,18:00,Serie A,Giornata n. 24,Sab,Casa,P,1,2,Milan,0.8,1.2,46.0,37.918,Samir Handanovič,3-5-2,Marco Guida,Report partita,,1,12.0,5.0,417.0,8.0,20.0,159.0,0.0,0,0,0.8,7.0,0.2,0.2,Inter
23,12-02-2022,18:00,Serie A,Giornata n. 25,Sab,Ospiti,N,1,1,Napoli,0.5,1.7,51.0,27.0,Samir Handanovič,3-5-2,Daniele Doveri,Report partita,,1,8.0,2.0,250.0,13.0,50.0,133.0,0.0,0,0,0.5,6.0,0.5,0.5,Inter
24,20-02-2022,18:00,Serie A,Giornata n. 26,Dom,Casa,P,0,2,Sassuolo,3.0,1.6,58.0,28.324,Samir Handanovič,3-5-2,Francesco Fourneau,Report partita,,0,29.0,7.0,241.0,0.0,0.0,139.0,0.0,0,0,3.0,10.0,-3.0,-3.0,Inter
25,25-02-2022,21:00,Serie A,Giornata n. 27,Ven,Ospiti,N,0,0,Genoa,1.5,0.8,71.0,14.314,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,,0,21.0,4.0,190.0,0.0,0.0,144.0,1.0,0,0,1.5,7.0,-1.5,-1.5,Inter
26,04-03-2022,20:45,Serie A,Giornata n. 28,Ven,Casa,V,5,0,Salernitana,3.9,0.8,60.0,46.287,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,,5,23.0,12.0,522.0,22.0,42.0,128.0,0.0,0,0,3.9,17.0,1.1,1.1,Inter
27,13-03-2022,20:45,Serie A,Giornata n. 29,Dom,Ospiti,N,1,1,Torino,2.3,1.7,56.0,15.363,Samir Handanovič,3-5-2,Marco Guida,Report partita,,1,14.0,6.0,429.0,7.0,17.0,142.0,0.0,0,0,2.3,16.0,-1.3,-1.3,Inter
28,19-03-2022,18:00,Serie A,Giornata n. 30,Sab,Casa,N,1,1,Fiorentina,1.0,1.0,50.0,54.988,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,,1,13.0,5.0,385.0,8.0,20.0,152.0,0.0,0,0,1.0,8.0,0.0,0.0,Inter
29,03-04-2022,20:45,Serie A,Giornata n. 31,Dom,Ospiti,V,1,0,Juventus,1.2,1.7,46.0,40.093,Samir Handanovič,3-5-2,Massimiliano Irrati,Report partita,,1,5.0,1.0,200.0,0.0,0.0,181.0,0.0,1,1,0.4,8.0,-0.2,-0.4,Inter
30,09-04-2022,18:00,Serie A,Giornata n. 32,Sab,Casa,V,2,0,Hellas Verona,2.5,0.8,48.0,61.325,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,,2,18.0,6.0,333.0,11.0,33.0,146.0,1.0,0,0,2.5,14.0,-0.5,-0.5,Inter
31,15-04-2022,19:00,Serie A,Giornata n. 33,Ven,Ospiti,V,3,1,Spezia,2.5,0.9,66.0,11.382,Samir Handanovič,3-5-2,Fabio Maresca,Report partita,,3,23.0,7.0,304.0,13.0,43.0,150.0,0.0,0,0,2.5,11.0,0.5,0.5,Inter
32,23-04-2022,18:00,Serie A,Giornata n. 34,Sab,Casa,V,3,1,Roma,1.3,0.9,45.0,74.947,Samir Handanovič,3-5-2,Simone Sozza,Report partita,,3,11.0,8.0,727.0,27.0,38.0,140.0,2.0,0,0,1.3,12.0,1.7,1.7,Inter
33,27-04-2022,20:15,Serie A,Giornata n. 20,Mer,Ospiti,P,1,2,Bologna,2.1,1.2,59.0,26.034,Marcelo Brozović,3-5-2,Daniele Doveri,Report partita,,1,26.0,6.0,231.0,4.0,17.0,156.0,0.0,0,0,2.1,8.0,-1.1,-1.1,Inter
34,01-05-2022,18:00,Serie A,Giornata n. 35,Dom,Ospiti,V,2,1,Udinese,1.9,1.1,52.0,20.91,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,,2,11.0,4.0,364.0,18.0,50.0,127.0,0.0,0,1,1.4,12.0,0.1,0.6,Inter
