,h_team,Data,Stadio,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards
26,Fiorentina,06-03-2022,Casa,N,1,Hellas Verona,1,8.0,2.0,0,0,313.0,416.0,4.0,50.0,15.0,0,0
27,Fiorentina,13-03-2022,Casa,V,1,Bologna,0,14.0,5.0,0,0,423.0,529.0,9.0,61.0,10.0,1,0
29,Fiorentina,03-04-2022,Casa,V,1,Empoli,0,24.0,11.0,0,0,506.0,574.0,4.0,61.0,10.0,1,0
31,Fiorentina,16-04-2022,Casa,V,1,Venezia,0,22.0,5.0,0,0,540.0,616.0,5.0,69.0,16.0,4,0
33,Fiorentina,27-04-2022,Casa,P,0,Udinese,4,18.0,7.0,0,0,485.0,592.0,14.0,72.0,12.0,3,0
35,Fiorentina,09-05-2022,Casa,V,2,Roma,0,11.0,6.0,1,1,480.0,561.0,5.0,53.0,17.0,3,0
37,Fiorentina,21-05-2022,Casa,V,2,Juventus,0,12.0,2.0,1,1,626.0,721.0,6.0,66.0,13.0,3,0
1,Genoa,29-08-2021,Casa,P,1,Napoli,2,6.0,3.0,0,0,310.0,400.0,4.0,39.0,20.0,2,0
3,Genoa,18-09-2021,Casa,P,1,Fiorentina,2,8.0,2.0,1,1,288.0,369.0,1.0,37.0,14.0,4,0
5,Genoa,25-09-2021,Casa,N,3,Hellas Verona,3,10.0,3.0,1,1,351.0,464.0,3.0,49.0,15.0,3,0
7,Genoa,17-10-2021,Casa,N,2,Sassuolo,2,19.0,4.0,0,0,283.0,383.0,6.0,43.0,12.0,3,0
10,Genoa,31-10-2021,Casa,N,0,Venezia,0,19.0,4.0,0,0,404.0,537.0,12.0,62.0,16.0,1,0
12,Genoa,21-11-2021,Casa,P,0,Roma,2,1.0,1.0,0,0,342.0,425.0,2.0,41.0,12.0,3,0
14,Genoa,01-12-2021,Casa,P,0,Milan,3,11.0,3.0,0,0,365.0,442.0,2.0,42.0,15.0,2,0
16,Genoa,10-12-2021,Casa,P,1,Sampdoria,3,12.0,2.0,0,0,360.0,493.0,8.0,54.0,15.0,2,0
18,Genoa,21-12-2021,Casa,N,0,Atalanta,0,1.0,0.0,0,0,205.0,347.0,3.0,33.0,16.0,2,0
20,Genoa,09-01-2022,Casa,P,0,Spezia,1,15.0,2.0,0,0,422.0,539.0,7.0,54.0,17.0,3,0
22,Genoa,22-01-2022,Casa,N,0,Udinese,0,10.0,2.0,0,0,220.0,380.0,10.0,52.0,26.0,4,1
24,Genoa,13-02-2022,Casa,N,1,Salernitana,1,16.0,5.0,0,0,268.0,388.0,5.0,49.0,22.0,3,0
26,Genoa,25-02-2022,Casa,N,0,Inter,0,7.0,1.0,0,0,157.0,266.0,0.0,29.0,12.0,1,0
27,Genoa,06-03-2022,Casa,N,0,Empoli,0,19.0,6.0,0,0,336.0,458.0,7.0,52.0,15.0,4,0
29,Genoa,18-03-2022,Casa,V,1,Torino,0,7.0,2.0,0,0,134.0,239.0,2.0,26.0,13.0,3,1
31,Genoa,10-04-2022,Casa,P,1,Lazio,4,15.0,4.0,0,0,349.0,442.0,3.0,44.0,9.0,0,0
33,Genoa,24-04-2022,Casa,V,1,Cagliari,0,13.0,2.0,0,0,242.0,414.0,2.0,53.0,22.0,3,0
35,Genoa,06-05-2022,Casa,V,2,Juventus,1,17.0,5.0,1,1,366.0,470.0,9.0,47.0,13.0,2,0
37,Genoa,21-05-2022,Casa,P,0,Bologna,1,18.0,5.0,0,0,324.0,435.0,9.0,50.0,20.0,3,0
0,Hellas Verona,21-08-2021,Casa,P,2,Sassuolo,3,14.0,3.0,1,1,282.0,361.0,7.0,40.0,10.0,3,1
1,Hellas Verona,27-08-2021,Casa,P,1,Inter,3,8.0,1.0,0,0,280.0,367.0,6.0,43.0,13.0,2,0
3,Hellas Verona,19-09-2021,Casa,V,3,Roma,2,10.0,6.0,0,0,367.0,468.0,3.0,53.0,18.0,4,0
6,Hellas Verona,03-10-2021,Casa,V,4,Spezia,0,6.0,4.0,0,0,345.0,428.0,1.0,45.0,17.0,1,0
8,Hellas Verona,24-10-2021,Casa,V,4,Lazio,1,16.0,7.0,0,0,416.0,525.0,3.0,49.0,15.0,2,0
10,Hellas Verona,30-10-2021,Casa,V,2,Juventus,1,12.0,5.0,0,0,385.0,487.0,4.0,45.0,25.0,4,0
12,Hellas Verona,22-11-2021,Casa,V,2,Empoli,1,22.0,4.0,0,0,403.0,515.0,1.0,56.0,8.0,1,0
14,Hellas Verona,30-11-2021,Casa,N,0,Cagliari,0,15.0,6.0,0,0,524.0,639.0,11.0,68.0,17.0,3,0
16,Hellas Verona,12-12-2021,Casa,P,1,Atalanta,2,19.0,3.0,0,0,345.0,513.0,6.0,53.0,14.0,2,0
18,Hellas Verona,22-12-2021,Casa,N,1,Fiorentina,1,7.0,2.0,0,0,256.0,380.0,3.0,40.0,16.0,2,0
20,Hellas Verona,09-01-2022,Casa,P,1,Salernitana,2,24.0,7.0,0,0,498.0,608.0,17.0,70.0,13.0,1,1
22,Hellas Verona,21-01-2022,Casa,V,2,Bologna,1,14.0,6.0,0,0,360.0,490.0,7.0,57.0,21.0,2,0
24,Hellas Verona,13-02-2022,Casa,V,4,Udinese,0,6.0,5.0,0,0,271.0,388.0,2.0,44.0,17.0,3,0
26,Hellas Verona,27-02-2022,Casa,V,3,Venezia,1,19.0,11.0,0,0,393.0,525.0,5.0,57.0,13.0,0,0
28,Hellas Verona,13-03-2022,Casa,P,1,Napoli,2,8.0,1.0,0,0,365.0,469.0,3.0,49.0,19.0,6,2
30,Hellas Verona,04-04-2022,Casa,V,1,Genoa,0,7.0,4.0,0,0,261.0,395.0,2.0,46.0,17.0,4,0
33,Hellas Verona,23-04-2022,Casa,N,1,Sampdoria,1,12.0,1.0,0,0,408.0,524.0,4.0,57.0,15.0,1,0
35,Hellas Verona,08-05-2022,Casa,P,1,Milan,3,10.0,3.0,0,0,314.0,403.0,5.0,47.0,17.0,2,0
36,Hellas Verona,14-05-2022,Casa,P,0,Torino,1,10.0,5.0,0,0,279.0,378.0,4.0,46.0,19.0,3,0
0,Inter,21-08-2021,Casa,V,4,Genoa,0,17.0,8.0,0,0,563.0,630.0,8.0,59.0,18.0,1,0
3,Inter,18-09-2021,Casa,V,6,Bologna,1,19.0,11.0,0,0,412.0,464.0,5.0,46.0,11.0,0,0
5,Inter,25-09-2021,Casa,N,2,Atalanta,2,17.0,6.0,0,1,337.0,430.0,4.0,50.0,16.0,3,0
8,Inter,24-10-2021,Casa,N,1,Juventus,1,10.0,2.0,0,0,407.0,515.0,5.0,49.0,17.0,2,0
10,Inter,31-10-2021,Casa,V,2,Udinese,0,15.0,5.0,0,0,592.0,668.0,6.0,66.0,11.0,0,0
12,Inter,21-11-2021,Casa,V,3,Napoli,2,16.0,6.0,1,1,328.0,408.0,4.0,44.0,18.0,4,0
14,Inter,01-12-2021,Casa,V,2,Spezia,0,30.0,10.0,1,1,618.0,697.0,11.0,63.0,19.0,1,0
16,Inter,12-12-2021,Casa,V,4,Cagliari,0,23.0,14.0,0,1,731.0,814.0,9.0,75.0,9.0,1,0
18,Inter,22-12-2021,Casa,V,1,Torino,0,15.0,3.0,0,0,413.0,526.0,7.0,54.0,12.0,1,0
19,Inter,09-01-2022,Casa,V,2,Lazio,1,17.0,5.0,0,0,602.0,681.0,4.0,60.0,11.0,1,0
21,Inter,22-01-2022,Casa,V,2,Venezia,1,24.0,12.0,0,0,639.0,752.0,6.0,71.0,14.0,3,0
22,Inter,05-02-2022,Casa,P,1,Milan,2,12.0,5.0,0,0,318.0,396.0,6.0,46.0,22.0,2,0
24,Inter,20-02-2022,Casa,P,0,Sassuolo,2,29.0,7.0,0,0,537.0,628.0,8.0,58.0,12.0,1,0
26,Inter,04-03-2022,Casa,V,5,Salernitana,0,23.0,12.0,0,0,503.0,575.0,10.0,60.0,12.0,2,0
28,Inter,19-03-2022,Casa,N,1,Fiorentina,1,13.0,5.0,0,0,433.0,525.0,5.0,50.0,15.0,1,0
30,Inter,09-04-2022,Casa,V,2,Hellas Verona,0,18.0,6.0,0,0,335.0,455.0,10.0,48.0,14.0,2,0
32,Inter,23-04-2022,Casa,V,3,Roma,1,11.0,8.0,0,0,408.0,491.0,4.0,45.0,11.0,2,0
35,Inter,06-05-2022,Casa,V,4,Empoli,2,37.0,10.0,0,0,558.0,638.0,14.0,64.0,10.0,1,0
37,Inter,22-05-2022,Casa,V,3,Sampdoria,0,28.0,11.0,0,0,615.0,679.0,8.0,58.0,6.0,1,0
1,Juventus,28-08-2021,Casa,P,0,Empoli,1,19.0,5.0,0,0,377.0,461.0,8.0,54.0,15.0,2,0
3,Juventus,19-09-2021,Casa,N,1,Milan,1,9.0,4.0,0,0,343.0,413.0,4.0,44.0,15.0,1,0
5,Juventus,26-09-2021,Casa,V,3,Sampdoria,2,15.0,5.0,1,1,387.0,478.0,4.0,50.0,24.0,4,0
7,Juventus,17-10-2021,Casa,V,1,Roma,0,7.0,3.0,0,0,426.0,505.0,0.0,47.0,20.0,3,0
9,Juventus,27-10-2021,Casa,P,1,Sassuolo,2,14.0,2.0,0,0,471.0,558.0,4.0,57.0,23.0,1,0
11,Juventus,06-11-2021,Casa,V,1,Fiorentina,0,13.0,3.0,0,0,344.0,428.0,5.0,50.0,17.0,2,0
13,Juventus,27-11-2021,Casa,P,0,Atalanta,1,15.0,2.0,0,0,491.0,586.0,6.0,59.0,16.0,4,0
15,Juventus,05-12-2021,Casa,V,2,Genoa,0,27.0,12.0,0,0,705.0,785.0,4.0,70.0,15.0,3,0
18,Juventus,21-12-2021,Casa,V,2,Cagliari,0,15.0,4.0,0,0,528.0,623.0,7.0,63.0,18.0,0,0
19,Juventus,06-01-2022,Casa,N,1,Napoli,1,22.0,5.0,0,0,420.0,493.0,4.0,44.0,8.0,2,0
21,Juventus,15-01-2022,Casa,V,2,Udinese,0,14.0,4.0,0,0,621.0,710.0,7.0,66.0,14.0,1,0
23,Juventus,06-02-2022,Casa,V,2,Hellas Verona,0,11.0,8.0,0,0,362.0,461.0,6.0,46.0,12.0,1,0
25,Juventus,18-02-2022,Casa,N,1,Torino,1,12.0,3.0,0,0,318.0,412.0,7.0,46.0,17.0,1,0
27,Juventus,06-03-2022,Casa,V,1,Spezia,0,10.0,3.0,0,0,534.0,616.0,4.0,56.0,15.0,3,0
29,Juventus,20-03-2022,Casa,V,2,Salernitana,0,12.0,7.0,0,0,477.0,557.0,5.0,56.0,11.0,3,0
30,Juventus,03-04-2022,Casa,P,0,Inter,1,22.0,5.0,0,0,449.0,543.0,8.0,54.0,10.0,4,1
32,Juventus,16-04-2022,Casa,N,1,Bologna,1,24.0,4.0,0,0,373.0,443.0,4.0,51.0,11.0,1,0
34,Juventus,01-05-2022,Casa,V,2,Venezia,1,18.0,4.0,0,0,381.0,455.0,8.0,50.0,18.0,3,0
36,Juventus,16-05-2022,Casa,N,2,Lazio,2,4.0,2.0,0,0,315.0,369.0,0.0,37.0,20.0,3,0
1,Lazio,28-08-2021,Casa,V,6,Spezia,1,17.0,9.0,0,1,654.0,717.0,4.0,61.0,13.0,0,0
3,Lazio,19-09-2021,Casa,N,2,Cagliari,2,28.0,10.0,0,0,646.0,748.0,10.0,72.0,5.0,1,0
5,Lazio,26-09-2021,Casa,V,3,Roma,2,10.0,4.0,0,0,406.0,475.0,1.0,50.0,16.0,2,0
7,Lazio,16-10-2021,Casa,V,3,Inter,1,18.0,7.0,1,1,533.0,595.0,7.0,52.0,13.0,3,1
9,Lazio,27-10-2021,Casa,V,1,Fiorentina,0,5.0,2.0,0,0,472.0,555.0,3.0,49.0,17.0,3,0
11,Lazio,07-11-2021,Casa,V,3,Salernitana,0,17.0,5.0,0,0,640.0,712.0,5.0,60.0,8.0,1,0
12,Lazio,20-11-2021,Casa,P,0,Juventus,2,8.0,1.0,0,0,580.0,662.0,3.0,57.0,12.0,3,0
14,Lazio,02-12-2021,Casa,N,4,Udinese,4,13.0,5.0,0,0,517.0,607.0,5.0,62.0,11.0,3,1
17,Lazio,17-12-2021,Casa,V,3,Genoa,1,11.0,5.0,0,0,586.0,677.0,5.0,55.0,9.0,0,0
19,Lazio,06-01-2022,Casa,N,3,Empoli,3,22.0,8.0,0,1,503.0,586.0,9.0,62.0,14.0,4,0
22,Lazio,22-01-2022,Casa,N,0,Atalanta,0,9.0,1.0,0,0,639.0,741.0,4.0,61.0,10.0,0,0
24,Lazio,12-02-2022,Casa,V,3,Bologna,0,11.0,5.0,1,1,549.0,634.0,5.0,57.0,13.0,2,0
26,Lazio,27-02-2022,Casa,P,1,Napoli,2,13.0,8.0,0,0,497.0,568.0,1.0,45.0,14.0,3,0
28,Lazio,14-03-2022,Casa,V,1,Venezia,0,9.0,0.0,1,1,670.0,760.0,8.0,66.0,10.0,1,0
30,Lazio,02-04-2022,Casa,V,2,Sassuolo,1,14.0,5.0,0,0,570.0,638.0,4.0,54.0,11.0,1,0
32,Lazio,16-04-2022,Casa,N,1,Torino,1,10.0,4.0,0,0,414.0,512.0,9.0,48.0,10.0,1,0
33,Lazio,24-04-2022,Casa,P,1,Milan,2,7.0,2.0,0,0,345.0,437.0,2.0,47.0,14.0,3,0
35,Lazio,07-05-2022,Casa,V,2,Sampdoria,0,16.0,10.0,0,0,678.0,759.0,6.0,60.0,10.0,1,0
37,Lazio,21-05-2022,Casa,N,3,Hellas Verona,3,19.0,7.0,0,0,354.0,443.0,6.0,53.0,9.0,2,0
1,Milan,29-08-2021,Casa,V,4,Cagliari,1,17.0,4.0,1,1,495.0,562.0,8.0,57.0,15.0,1,0
2,Milan,12-09-2021,Casa,V,2,Lazio,0,20.0,3.0,0,1,416.0,503.0,5.0,47.0,12.0,1,0
4,Milan,22-09-2021,Casa,V,2,Venezia,0,14.0,4.0,0,0,587.0,677.0,4.0,67.0,15.0,0,0
7,Milan,16-10-2021,Casa,V,3,Hellas Verona,2,16.0,3.0,1,1,338.0,451.0,5.0,53.0,11.0,1,0
9,Milan,26-10-2021,Casa,V,1,Torino,0,10.0,2.0,0,0,316.0,412.0,2.0,44.0,15.0,3,0
11,Milan,07-11-2021,Casa,N,1,Inter,1,16.0,4.0,0,0,356.0,436.0,4.0,51.0,17.0,1,0
13,Milan,28-11-2021,Casa,P,1,Sassuolo,3,15.0,2.0,0,0,357.0,452.0,7.0,50.0,15.0,4,1
15,Milan,04-12-2021,Casa,V,2,Salernitana,0,22.0,7.0,0,0,668.0,749.0,9.0,70.0,11.0,1,0
17,Milan,19-12-2021,Casa,P,0,Napoli,1,12.0,2.0,0,0,400.0,518.0,5.0,48.0,16.0,0,0
19,Milan,06-01-2022,Casa,V,3,Roma,1,17.0,3.0,1,2,347.0,441.0,3.0,55.0,6.0,2,0
21,Milan,17-01-2022,Casa,P,1,Spezia,2,24.0,8.0,0,1,448.0,540.0,10.0,60.0,13.0,2,0
22,Milan,23-01-2022,Casa,N,0,Juventus,0,14.0,4.0,0,0,392.0,497.0,4.0,47.0,18.0,2,0
24,Milan,13-02-2022,Casa,V,1,Sampdoria,0,15.0,7.0,0,0,418.0,510.0,4.0,50.0,14.0,3,0
26,Milan,25-02-2022,Casa,N,1,Udinese,1,9.0,3.0,0,0,445.0,535.0,5.0,62.0,14.0,2,0
28,Milan,12-03-2022,Casa,V,1,Empoli,0,15.0,5.0,0,0,451.0,543.0,5.0,52.0,7.0,1,0
