,a_team,Data,Stadio,Risultato,a_goals,h_team,h_goals,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_completed_passings,a_total_passings,a_corners,a_percentage_possession,a_fouls,a_yellow_cards,a_red_cards
37,Hellas Verona,21-05-2022,Ospiti,N,3,Lazio,3,11.0,7.0,0,0,287.0,387.0,4.0,47.0,20.0,6,0
1,Inter,27-08-2021,Ospiti,V,3,Hellas Verona,1,16.0,8.0,0,0,388.0,492.0,4.0,57.0,11.0,2,0
2,Inter,12-09-2021,Ospiti,N,2,Sampdoria,2,8.0,3.0,0,0,318.0,418.0,4.0,48.0,14.0,4,0
4,Inter,21-09-2021,Ospiti,V,3,Fiorentina,1,17.0,5.0,0,0,400.0,472.0,8.0,47.0,17.0,3,0
6,Inter,02-10-2021,Ospiti,V,2,Sassuolo,1,16.0,2.0,1,1,348.0,436.0,8.0,45.0,21.0,2,0
7,Inter,16-10-2021,Ospiti,P,1,Lazio,3,11.0,3.0,1,1,470.0,554.0,3.0,48.0,12.0,6,0
9,Inter,27-10-2021,Ospiti,V,2,Empoli,0,21.0,9.0,0,0,607.0,684.0,6.0,69.0,16.0,3,0
11,Inter,07-11-2021,Ospiti,N,1,Milan,1,12.0,0.0,1,2,333.0,426.0,8.0,49.0,11.0,0,0
13,Inter,27-11-2021,Ospiti,V,2,Venezia,0,26.0,10.0,1,1,540.0,619.0,9.0,56.0,8.0,0,0
15,Inter,04-12-2021,Ospiti,V,3,Roma,0,10.0,4.0,0,0,736.0,803.0,3.0,66.0,7.0,1,0
17,Inter,17-12-2021,Ospiti,V,5,Salernitana,0,23.0,8.0,0,0,590.0,666.0,10.0,65.0,12.0,2,0
20,Inter,16-01-2022,Ospiti,N,0,Atalanta,0,11.0,3.0,0,0,597.0,699.0,4.0,63.0,12.0,2,0
23,Inter,12-02-2022,Ospiti,N,1,Napoli,1,8.0,2.0,0,0,485.0,564.0,2.0,51.0,14.0,1,0
25,Inter,25-02-2022,Ospiti,N,0,Genoa,0,21.0,4.0,0,0,529.0,652.0,14.0,71.0,10.0,1,0
27,Inter,13-03-2022,Ospiti,N,1,Torino,1,14.0,6.0,0,0,403.0,529.0,4.0,56.0,21.0,5,0
29,Inter,03-04-2022,Ospiti,V,1,Juventus,0,5.0,1.0,1,1,376.0,461.0,1.0,46.0,20.0,4,0
31,Inter,15-04-2022,Ospiti,V,3,Spezia,1,23.0,7.0,0,0,541.0,644.0,7.0,66.0,12.0,0,0
33,Inter,27-04-2022,Ospiti,P,1,Bologna,2,26.0,6.0,0,0,534.0,629.0,7.0,59.0,11.0,3,0
34,Inter,01-05-2022,Ospiti,V,2,Udinese,1,11.0,4.0,0,1,434.0,509.0,11.0,52.0,11.0,1,0
36,Inter,15-05-2022,Ospiti,V,3,Cagliari,1,17.0,7.0,0,0,527.0,601.0,5.0,62.0,15.0,2,0
0,Juventus,22-08-2021,Ospiti,N,2,Udinese,2,10.0,3.0,0,0,480.0,551.0,3.0,56.0,16.0,3,0
2,Juventus,11-09-2021,Ospiti,P,1,Napoli,2,8.0,4.0,0,0,264.0,330.0,1.0,33.0,16.0,1,0
4,Juventus,22-09-2021,Ospiti,V,3,Spezia,2,26.0,9.0,0,0,458.0,548.0,15.0,59.0,10.0,1,0
6,Juventus,02-10-2021,Ospiti,V,1,Torino,0,10.0,3.0,0,0,386.0,488.0,6.0,52.0,16.0,1,0
8,Juventus,24-10-2021,Ospiti,N,1,Inter,1,15.0,3.0,1,1,443.0,533.0,2.0,51.0,19.0,2,0
10,Juventus,30-10-2021,Ospiti,P,1,Hellas Verona,2,15.0,4.0,0,0,477.0,590.0,1.0,55.0,7.0,3,0
12,Juventus,20-11-2021,Ospiti,V,2,Lazio,0,9.0,3.0,2,2,431.0,505.0,2.0,43.0,16.0,1,0
14,Juventus,30-11-2021,Ospiti,V,2,Salernitana,0,17.0,7.0,0,1,775.0,850.0,4.0,73.0,11.0,1,0
16,Juventus,11-12-2021,Ospiti,N,1,Venezia,1,20.0,6.0,0,0,501.0,611.0,11.0,60.0,13.0,2,0
17,Juventus,18-12-2021,Ospiti,V,2,Bologna,0,11.0,7.0,0,0,346.0,435.0,3.0,43.0,20.0,1,0
20,Juventus,09-01-2022,Ospiti,V,4,Roma,3,14.0,5.0,0,0,349.0,417.0,1.0,47.0,12.0,4,1
22,Juventus,23-01-2022,Ospiti,N,0,Milan,0,8.0,0.0,0,0,478.0,559.0,1.0,53.0,22.0,2,0
24,Juventus,13-02-2022,Ospiti,N,1,Atalanta,1,15.0,6.0,0,0,396.0,504.0,8.0,48.0,12.0,3,0
26,Juventus,26-02-2022,Ospiti,V,3,Empoli,2,12.0,5.0,0,0,372.0,463.0,3.0,47.0,8.0,0,0
28,Juventus,12-03-2022,Ospiti,V,3,Sampdoria,1,5.0,2.0,1,1,525.0,594.0,0.0,51.0,17.0,2,0
31,Juventus,09-04-2022,Ospiti,V,2,Cagliari,1,20.0,7.0,0,0,436.0,533.0,4.0,59.0,10.0,0,0
33,Juventus,25-04-2022,Ospiti,V,2,Sassuolo,1,10.0,5.0,0,0,336.0,416.0,4.0,38.0,10.0,2,0
35,Juventus,06-05-2022,Ospiti,P,1,Genoa,2,13.0,4.0,0,0,442.0,540.0,2.0,53.0,15.0,3,0
37,Juventus,21-05-2022,Ospiti,P,0,Fiorentina,2,1.0,0.0,0,0,304.0,374.0,2.0,34.0,14.0,3,0
0,Lazio,21-08-2021,Ospiti,V,3,Empoli,1,7.0,3.0,1,1,517.0,589.0,3.0,54.0,10.0,1,0
2,Lazio,12-09-2021,Ospiti,P,0,Milan,2,8.0,5.0,0,0,488.0,570.0,1.0,53.0,19.0,4,0
4,Lazio,23-09-2021,Ospiti,N,1,Torino,1,5.0,1.0,1,1,378.0,499.0,5.0,55.0,9.0,3,0
6,Lazio,03-10-2021,Ospiti,P,0,Bologna,3,8.0,4.0,0,0,570.0,665.0,3.0,59.0,18.0,5,1
8,Lazio,24-10-2021,Ospiti,P,1,Hellas Verona,4,9.0,4.0,0,0,428.0,543.0,4.0,51.0,17.0,2,0
10,Lazio,30-10-2021,Ospiti,N,2,Atalanta,2,8.0,5.0,0,0,395.0,489.0,2.0,44.0,15.0,3,0
13,Lazio,28-11-2021,Ospiti,P,0,Napoli,4,6.0,2.0,0,0,446.0,514.0,3.0,38.0,15.0,4,0
15,Lazio,05-12-2021,Ospiti,V,3,Sampdoria,1,6.0,5.0,0,0,503.0,600.0,0.0,52.0,10.0,3,1
16,Lazio,12-12-2021,Ospiti,P,1,Sassuolo,2,6.0,2.0,0,0,388.0,474.0,0.0,41.0,12.0,2,0
18,Lazio,22-12-2021,Ospiti,V,3,Venezia,1,7.0,4.0,0,0,510.0,587.0,4.0,53.0,12.0,3,0
20,Lazio,09-01-2022,Ospiti,P,1,Inter,2,5.0,2.0,0,0,373.0,456.0,3.0,40.0,17.0,4,0
21,Lazio,15-01-2022,Ospiti,V,3,Salernitana,0,15.0,8.0,0,0,841.0,917.0,7.0,73.0,16.0,3,0
23,Lazio,05-02-2022,Ospiti,V,3,Fiorentina,0,12.0,7.0,0,0,445.0,520.0,3.0,50.0,16.0,5,0
25,Lazio,20-02-2022,Ospiti,N,1,Udinese,1,10.0,2.0,0,0,503.0,588.0,12.0,59.0,9.0,2,0
27,Lazio,05-03-2022,Ospiti,V,3,Cagliari,0,14.0,4.0,1,1,477.0,587.0,6.0,55.0,13.0,2,1
29,Lazio,20-03-2022,Ospiti,P,0,Roma,3,9.0,3.0,0,0,577.0,669.0,3.0,66.0,14.0,3,0
31,Lazio,10-04-2022,Ospiti,V,4,Genoa,1,17.0,11.0,0,0,467.0,573.0,6.0,56.0,9.0,1,0
34,Lazio,30-04-2022,Ospiti,V,4,Spezia,3,21.0,8.0,1,1,580.0,677.0,5.0,70.0,10.0,1,0
36,Lazio,16-05-2022,Ospiti,N,2,Juventus,2,18.0,7.0,0,0,555.0,627.0,9.0,63.0,17.0,3,0
0,Milan,23-08-2021,Ospiti,V,1,Sampdoria,0,11.0,4.0,0,0,349.0,442.0,3.0,51.0,15.0,1,0
3,Milan,19-09-2021,Ospiti,N,1,Juventus,1,13.0,3.0,0,0,459.0,528.0,4.0,56.0,16.0,1,0
5,Milan,25-09-2021,Ospiti,V,2,Spezia,1,18.0,5.0,0,0,461.0,557.0,4.0,64.0,12.0,2,0
6,Milan,03-10-2021,Ospiti,V,3,Atalanta,2,13.0,7.0,0,0,311.0,397.0,5.0,44.0,16.0,4,0
8,Milan,23-10-2021,Ospiti,V,4,Bologna,2,15.0,7.0,0,0,561.0,636.0,1.0,62.0,17.0,3,0
10,Milan,31-10-2021,Ospiti,V,2,Roma,1,7.0,2.0,1,1,357.0,431.0,2.0,50.0,14.0,7,1
12,Milan,20-11-2021,Ospiti,P,3,Fiorentina,4,16.0,6.0,0,0,452.0,542.0,6.0,55.0,13.0,1,0
14,Milan,01-12-2021,Ospiti,V,3,Genoa,0,18.0,5.0,0,0,518.0,604.0,6.0,58.0,16.0,1,0
16,Milan,11-12-2021,Ospiti,N,1,Udinese,1,12.0,1.0,0,0,572.0,687.0,5.0,66.0,11.0,2,0
