;h_team;Risultato;a_team;h_total_shots;h_shots_on_target;h_corners;h_percentage_possession;h_fouls;h_yellow_cards;h_red_cards;a_total_shots;a_shots_on_target;a_corners;a_yellow_cards;a_red_cards;a_fouls
0;Milan;V;Venezia;14.0;4.0;4.0;67.0;15.0;0;0;8.0;2.0;4.0;2;0;14.0
0;Spezia;P;Juventus;10.0;4.0;5.0;41.0;15.0;2;0;26.0;9.0;15.0;1;0;10.0
0;Torino;N;Lazio;16.0;5.0;6.0;45.0;21.0;3;0;5.0;1.0;5.0;3;0;9.0
0;Sampdoria;P;Napoli;13.0;5.0;5.0;48.0;11.0;2;0;17.0;9.0;5.0;1;0;8.0
0;Roma;V;Udinese;12.0;2.0;6.0;52.0;23.0;4;1;8.0;2.0;6.0;1;0;8.0
0;Genoa;N;Hellas Verona;10.0;3.0;3.0;49.0;15.0;3;0;11.0;6.0;2.0;1;0;15.0
0;Inter;N;Atalanta;17.0;6.0;4.0;50.0;16.0;3;0;21.0;5.0;11.0;5;0;12.0
0;Spezia;P;Milan;8.0;2.0;2.0;36.0;13.0;2;0;18.0;5.0;4.0;2;0;12.0
0;Napoli;V;Cagliari;16.0;6.0;6.0;67.0;11.0;2;0;6.0;0.0;4.0;1;0;13.0
0;Sassuolo;V;Salernitana;17.0;6.0;4.0;57.0;17.0;3;0;12.0;4.0;8.0;3;0;18.0
0;Lazio;V;Roma;10.0;4.0;1.0;50.0;16.0;2;0;19.0;6.0;9.0;4;0;14.0
0;Empoli;V;Bologna;14.0;6.0;2.0;37.0;16.0;2;0;20.0;5.0;10.0;2;0;22.0
0;Udinese;P;Fiorentina;12.0;5.0;4.0;46.0;17.0;2;0;7.0;1.0;1.0;3;0;14.0
0;Juventus;V;Sampdoria;15.0;5.0;4.0;50.0;24.0;4;0;6.0;3.0;2.0;3;0;18.0
0;Venezia;N;Torino;6.0;0.0;4.0;44.0;9.0;1;0;8.0;3.0;1.0;4;1;20.0
0;Cagliari;N;Venezia;9.0;3.0;2.0;42.0;16.0;2;0;12.0;4.0;4.0;5;0;20.0
0;Salernitana;V;Genoa;10.0;4.0;9.0;50.0;20.0;2;0;18.0;3.0;8.0;2;0;19.0
0;Sassuolo;P;Inter;11.0;7.0;6.0;55.0;11.0;4;0;16.0;2.0;8.0;2;0;21.0
0;Torino;P;Juventus;13.0;2.0;4.0;48.0;23.0;3;0;10.0;3.0;6.0;1;0;16.0
0;Roma;V;Empoli;18.0;5.0;5.0;64.0;13.0;2;0;12.0;3.0;5.0;3;0;17.0
0;Bologna;V;Lazio;10.0;3.0;3.0;41.0;7.0;2;0;8.0;4.0;3.0;5;1;18.0
0;Hellas Verona;V;Spezia;6.0;4.0;1.0;45.0;17.0;1;0;12.0;4.0;5.0;1;1;12.0
0;Fiorentina;P;Napoli;10.0;3.0;8.0;55.0;18.0;3;0;11.0;4.0;2.0;3;0;13.0
0;Atalanta;P;Milan;16.0;4.0;9.0;56.0;13.0;1;0;13.0;7.0;5.0;4;0;16.0
0;Sampdoria;N;Udinese;11.0;2.0;6.0;54.0;14.0;4;0;18.0;7.0;8.0;5;0;19.0
0;Spezia;V;Salernitana;18.0;5.0;10.0;59.0;16.0;2;0;15.0;4.0;2.0;3;0;17.0
0;Lazio;V;Inter;18.0;7.0;7.0;52.0;13.0;3;1;11.0;3.0;3.0;6;0;12.0
0;Milan;V;Hellas Verona;16.0;3.0;5.0;53.0;11.0;1;0;9.0;4.0;4.0;4;0;21.0
0;Napoli;V;Torino;10.0;2.0;3.0;51.0;6.0;2;0;11.0;3.0;4.0;4;0;25.0
0;Juventus;V;Roma;7.0;3.0;0.0;47.0;20.0;3;0;14.0;3.0;6.0;5;0;15.0
0;Genoa;N;Sassuolo;19.0;4.0;6.0;43.0;12.0;3;0;15.0;5.0;1.0;4;0;22.0
0;Empoli;P;Atalanta;13.0;4.0;5.0;48.0;11.0;3;0;21.0;7.0;4.0;2;0;17.0
0;Cagliari;V;Sampdoria;12.0;5.0;5.0;39.0;15.0;4;0;17.0;3.0;9.0;2;0;18.0
0;Udinese;N;Bologna;10.0;2.0;2.0;41.0;16.0;3;1;24.0;11.0;8.0;7;0;11.0
0;Venezia;V;Fiorentina;4.0;2.0;2.0;39.0;16.0;2;0;11.0;3.0;5.0;5;1;11.0
0;Sampdoria;V;Spezia;6.0;2.0;0.0;30.0;10.0;3;0;17.0;7.0;8.0;1;0;9.0
0;Torino;V;Genoa;17.0;6.0;2.0;58.0;19.0;2;0;14.0;4.0;4.0;3;0;24.0
