;h_team;Risultato;a_team;h_total_shots;h_shots_on_target;h_corners;h_percentage_possession;h_fouls;h_yellow_cards;h_red_cards;a_total_shots;a_shots_on_target;a_corners;a_yellow_cards;a_red_cards;a_fouls
0;Torino;V;Hellas Verona;8.0;1.0;5.0;66.0;15.0;1;0;8.0;2.0;3.0;2;1;6.0
0;Sampdoria;N;Venezia;18.0;7.0;4.0;50.0;10.0;2;0;12.0;1.0;3.0;1;0;20.0
0;Juventus;V;Cagliari;15.0;4.0;7.0;63.0;18.0;0;0;6.0;1.0;1.0;3;0;18.0
0;Genoa;N;Atalanta;1.0;0.0;3.0;33.0;16.0;2;0;17.0;3.0;8.0;1;0;16.0
0;Venezia;P;Lazio;10.0;2.0;4.0;47.0;13.0;3;1;7.0;4.0;4.0;3;0;12.0
0;Roma;N;Sampdoria;15.0;4.0;10.0;54.0;6.0;0;0;9.0;2.0;2.0;3;0;10.0
0;Napoli;P;Spezia;27.0;6.0;10.0;65.0;15.0;2;0;8.0;0.0;5.0;3;0;13.0
0;Sassuolo;P;Bologna;13.0;5.0;5.0;59.0;15.0;1;0;9.0;5.0;5.0;3;0;14.0
0;Inter;V;Torino;15.0;3.0;7.0;54.0;12.0;1;0;12.0;3.0;4.0;0;0;19.0
0;Empoli;P;Milan;15.0;4.0;6.0;56.0;18.0;1;0;18.0;8.0;3.0;2;0;16.0
0;Hellas Verona;N;Fiorentina;7.0;2.0;3.0;40.0;16.0;2;0;11.0;1.0;8.0;1;0;5.0
0;Lazio;N;Empoli;22.0;8.0;9.0;62.0;14.0;4;0;10.0;3.0;2.0;4;0;12.0
0;Sampdoria;P;Cagliari;4.0;2.0;0.0;49.0;14.0;1;1;15.0;7.0;5.0;3;0;17.0
0;Milan;V;Roma;17.0;3.0;3.0;55.0;6.0;2;0;11.0;5.0;9.0;7;2;20.0
0;Sassuolo;N;Genoa;28.0;7.0;7.0;74.0;8.0;3;0;4.0;1.0;4.0;0;0;12.0
0;Juventus;N;Napoli;22.0;5.0;4.0;44.0;8.0;2;0;16.0;4.0;3.0;1;0;12.0
0;Spezia;P;Hellas Verona;9.0;3.0;6.0;40.0;13.0;3;1;22.0;5.0;7.0;2;0;11.0
0;Roma;P;Juventus;19.0;6.0;8.0;53.0;13.0;3;0;14.0;5.0;1.0;4;1;12.0
0;Napoli;V;Sampdoria;22.0;5.0;13.0;69.0;13.0;0;0;11.0;1.0;0.0;2;0;12.0
0;Udinese;P;Atalanta;8.0;4.0;2.0;40.0;10.0;2;0;21.0;7.0;5.0;2;0;12.0
0;Venezia;P;Milan;10.0;3.0;1.0;38.0;11.0;1;1;17.0;6.0;7.0;3;0;15.0
0;Hellas Verona;P;Salernitana;24.0;7.0;17.0;70.0;13.0;1;1;8.0;4.0;4.0;3;0;12.0
0;Inter;V;Lazio;17.0;5.0;4.0;60.0;11.0;1;0;5.0;2.0;3.0;4;0;17.0
0;Empoli;P;Sassuolo;15.0;4.0;5.0;45.0;13.0;2;1;24.0;12.0;5.0;3;0;17.0
0;Genoa;P;Spezia;15.0;2.0;7.0;54.0;17.0;3;0;17.0;9.0;4.0;3;0;17.0
0;Torino;V;Fiorentina;9.0;6.0;1.0;45.0;19.0;2;0;11.0;4.0;5.0;2;0;12.0
0;Cagliari;V;Bologna;13.0;4.0;5.0;53.0;14.0;3;0;10.0;3.0;5.0;2;0;19.0
0;Sampdoria;P;Torino;11.0;3.0;3.0;37.0;13.0;0;0;20.0;12.0;10.0;2;0;14.0
0;Juventus;V;Udinese;14.0;4.0;7.0;66.0;14.0;1;0;16.0;3.0;6.0;2;0;10.0
0;Salernitana;P;Lazio;7.0;1.0;3.0;27.0;12.0;2;0;15.0;8.0;7.0;3;0;16.0
0;Atalanta;N;Inter;12.0;6.0;6.0;37.0;15.0;2;0;11.0;3.0;4.0;2;0;12.0
0;Sassuolo;P;Hellas Verona;14.0;5.0;9.0;55.0;6.0;2;0;20.0;5.0;7.0;4;0;18.0
0;Roma;V;Cagliari;14.0;6.0;1.0;56.0;15.0;3;0;8.0;2.0;1.0;4;0;20.0
0;Venezia;N;Empoli;14.0;3.0;6.0;50.0;16.0;3;0;18.0;6.0;5.0;5;0;19.0
0;Bologna;P;Napoli;12.0;5.0;1.0;39.0;10.0;3;0;14.0;5.0;4.0;1;0;11.0
0;Fiorentina;V;Genoa;21.0;11.0;4.0;73.0;12.0;1;0;3.0;0.0;0.0;3;0;19.0
0;Milan;P;Spezia;24.0;8.0;10.0;60.0;13.0;2;0;10.0;6.0;1.0;5;0;18.0
0;Hellas Verona;V;Bologna;14.0;6.0;7.0;57.0;21.0;2;0;8.0;2.0;2.0;4;0;9.0
0;Inter;V;Venezia;24.0;12.0;6.0;71.0;14.0;3;0;3.0;3.0;0.0;4;0;10.0
0;Lazio;N;Atalanta;9.0;1.0;4.0;61.0;10.0;0;0;6.0;2.0;1.0;3;0;17.0
0;Genoa;N;Udinese;10.0;2.0;10.0;52.0;26.0;4;1;2.0;0.0;4.0;4;0;18.0
0;Napoli;V;Salernitana;24.0;12.0;10.0;81.0;9.0;0;0;1.0;1.0;0.0;4;1;14.0
0;Torino;N;Sassuolo;21.0;6.0;4.0;50.0;25.0;3;0;6.0;1.0;3.0;3;0;18.0
0;Spezia;V;Sampdoria;7.0;2.0;2.0;40.0;25.0;2;0;8.0;0.0;4.0;4;1;11.0
0;Empoli;P;Roma;16.0;7.0;2.0;58.0;14.0;2;0;16.0;7.0;3.0;2;0;17.0
0;Milan;N;Juventus;14.0;4.0;4.0;47.0;18.0;2;0;8.0;0.0;1.0;2;0;22.0
0;Cagliari;N;Fiorentina;11.0;1.0;6.0;41.0;24.0;3;0;14.0;5.0;4.0;3;1;15.0
0;Roma;N;Genoa;23.0;3.0;6.0;62.0;10.0;3;1;10.0;3.0;4.0;2;1;23.0
0;Inter;P;Milan;12.0;5.0;6.0;46.0;22.0;2;0;10.0;3.0;4.0;4;1;14.0
0;Fiorentina;P;Lazio;9.0;3.0;4.0;50.0;15.0;3;1;12.0;7.0;3.0;5;0;16.0
