,calciatore,data,giorno,competizione,girone,stadio,risultato,squadra,avversario,f inz,ruolo,min,reti,assist,rigori,rig t,tiri,tiri.1,amm.,esp.,tocchi,press,cntrs,int,blocchi,xg,npxg,xa,sca,gca,compl.,"tent,",% compl.,prog.,controlli palla,prog.,vinti,tent.,report partita
35,José Luis Palomino,13-03-2022,Dom,Serie A,Giornata n. 29,Casa,N 0–0,Atalanta,Genoa,Sì*,CB,90,0,0,0,0,0,0,0,0,87,17,2,2,2,0.0,0.0,0.0,1,0,56,76,737,5,38,1,0,0,Report partita
37,José Luis Palomino,20-03-2022,Dom,Serie A,Giornata n. 30,Ospiti,V 1–0,Atalanta,Bologna,No,CB,45,0,0,0,0,0,0,0,0,20,3,0,0,1,0.0,0.0,0.0,0,0,4,13,308,1,8,1,0,1,Report partita
38,José Luis Palomino,03-04-2022,Dom,Serie A,Giornata n. 31,Casa,P 1–3,Atalanta,Napoli,Sì,CB,90,0,0,0,0,1,0,1,0,62,11,2,2,1,0.1,0.1,0.0,1,0,45,56,804,1,38,3,0,0,Report partita
40,José Luis Palomino,10-04-2022,Dom,Serie A,Giornata n. 32,Ospiti,P 1–2,Atalanta,Sassuolo,No,CB,34,0,0,0,0,0,0,0,0,24,7,1,0,1,0.0,0.0,0.0,0,0,16,21,762,4,13,2,0,0,Report partita
42,José Luis Palomino,18-04-2022,Lun,Serie A,Giornata n. 33,Casa,P 1–2,Atalanta,Hellas Verona,Sì,CB,90,0,0,0,0,1,1,1,0,71,15,3,6,4,0.0,0.0,0.1,1,0,42,59,712,2,39,3,0,0,Report partita
43,José Luis Palomino,23-04-2022,Sab,Serie A,Giornata n. 34,Ospiti,V 3–1,Atalanta,Venezia,Sì,CB,90,0,0,0,0,1,0,0,0,79,16,3,2,0,0.6,0.6,0.0,1,0,60,69,870,1,50,1,0,1,Report partita
44,José Luis Palomino,27-04-2022,Mer,Serie A,Giornata n. 20,Casa,N 4–4,Atalanta,Torino,Sì,CB,90,0,0,0,0,0,0,0,0,48,11,1,3,2,0.0,0.0,0.0,0,0,35,42,833,3,19,1,0,0,Report partita
45,José Luis Palomino,02-05-2022,Lun,Serie A,Giornata n. 35,Casa,N 1–1,Atalanta,Salernitana,Sì,CB,90,0,0,0,0,1,0,1,0,73,17,6,3,1,0.1,0.1,0.0,1,0,46,57,807,3,41,2,0,0,Report partita
46,José Luis Palomino,08-05-2022,Dom,Serie A,Giornata n. 36,Ospiti,V 3–1,Atalanta,Spezia,Sì,CB,45,0,0,0,0,0,0,0,0,45,3,2,1,0,0.0,0.0,0.0,0,0,39,41,951,0,35,4,0,0,Report partita
47,José Luis Palomino,15-05-2022,Dom,Serie A,Giornata n. 37,Ospiti,P 0–2,Atalanta,Milan,Sì,CB,78,0,0,0,0,1,0,0,0,37,6,1,3,3,0.1,0.1,0.0,0,0,23,27,852,3,15,0,0,0,Report partita
