,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
114,empoli,2018-11-11,V,0.4,udinese,3.200000000000001,1.0,0.0,0.2,6.0,-2.5999999999999996,-1.0,-0.2,2018-2019,1.0,3.0
115,sassuolo,2018-11-11,N,-0.6000000000000001,lazio,-6.400000000000002,-2.8,0.0,0.0,6.199999999999996,2.400000000000002,-0.6000000000000001,0.2,2018-2019,0.0,4.0
116,atalanta,2018-11-11,V,-0.6000000000000001,inter,5.600000000000001,0.20000000000000018,0.0,0.0,7.0,-1.4000000000000004,-0.3999999999999999,0.0,2018-2019,1.0,2.0
117,chievo,2018-11-11,N,-0.7999999999999999,bologna,-5.800000000000001,-3.2,0.2,0.2,3.200000000000003,4.4,0.8000000000000003,0.4,2018-2019,1.0,2.0
118,roma,2018-11-11,V,0.19999999999999996,sampdoria,3.799999999999999,1.2000000000000002,0.0,-0.2,3.200000000000003,1.4000000000000004,0.3999999999999999,0.0,2018-2019,1.0,2.0
119,milan,2018-11-11,P,-0.40000000000000013,juventus,-0.8000000000000007,1.0,-0.2,-0.2,-3.1999999999999957,-4.0,0.9999999999999998,0.0,2018-2019,1.0,3.0
120,inter,2018-11-24,V,0.5999999999999999,frosinone,5.4,1.3999999999999995,0.0,0.0,12.800000000000004,1.0,-1.0,0.2,2018-2019,4.0,0.0
121,udinese,2018-11-24,V,-1.0,roma,1.5999999999999996,0.0,0.0,0.2,-4.800000000000004,1.4000000000000004,0.3999999999999999,0.2,2018-2019,0.0,4.0
122,juventus,2018-11-24,V,0.8,spal,7.799999999999999,1.4,0.0,-0.2,8.399999999999999,1.5999999999999996,-2.2,-0.2,2018-2019,3.0,0.0
123,bologna,2018-11-25,N,0.5999999999999999,fiorentina,-2.200000000000001,-0.7999999999999998,-0.4,-0.4,-9.600000000000001,0.6000000000000014,0.6000000000000001,0.0,2018-2019,0.0,4.0
124,genoa,2018-11-25,N,0.0,sampdoria,0.40000000000000036,0.20000000000000018,0.2,0.0,-12.0,5.600000000000001,1.1999999999999997,0.2,2018-2019,0.0,3.0
125,empoli,2018-11-25,V,-1.4,atalanta,-7.0,-2.4000000000000004,0.0,0.2,-11.799999999999997,-0.8000000000000007,0.6000000000000001,0.0,2018-2019,0.0,4.0
126,parma,2018-11-25,V,0.0,sassuolo,-2.0,-0.7999999999999998,-0.2,-0.2,-18.199999999999996,-5.399999999999999,-0.6000000000000001,0.0,2018-2019,0.0,4.0
127,napoli,2018-11-25,N,1.6,chievo,9.599999999999998,4.6000000000000005,-0.2,-0.2,10.799999999999997,-8.4,-1.6,-0.4,2018-2019,3.0,0.0
128,lazio,2018-11-25,N,0.40000000000000013,milan,1.8000000000000007,0.7999999999999998,0.2,0.0,-1.2000000000000028,2.1999999999999993,-0.20000000000000018,-0.2,2018-2019,1.0,2.0
129,cagliari,2018-11-26,N,-0.6000000000000001,torino,-5.199999999999999,-2.0000000000000004,-0.2,-0.2,-7.399999999999999,-3.5999999999999996,0.19999999999999973,0.0,2018-2019,0.0,4.0
130,spal,2018-12-01,N,-1.0,empoli,-4.6,-3.1999999999999997,0.2,0.0,3.5999999999999943,-1.0,0.7999999999999998,0.2,2018-2019,2.0,2.0
131,fiorentina,2018-12-01,P,-1.2,juventus,-1.6000000000000014,0.20000000000000018,0.2,0.2,-5.399999999999999,0.6000000000000014,0.20000000000000018,0.0,2018-2019,1.0,3.0
132,sampdoria,2018-12-01,V,-0.3999999999999999,bologna,-2.0,-1.4,0.0,0.2,12.799999999999997,-2.5999999999999996,-0.7999999999999998,0.0,2018-2019,2.0,2.0
133,chievo,2018-12-02,N,-0.8,lazio,-9.8,-3.8,0.2,0.2,-4.0,3.6000000000000014,1.1999999999999997,0.4,2018-2019,1.0,2.0
134,milan,2018-12-02,V,0.5999999999999999,parma,3.4000000000000004,2.2,0.0,0.2,14.399999999999999,0.8000000000000007,0.0,0.0,2018-2019,4.0,0.0
135,sassuolo,2018-12-02,N,0.3999999999999999,udinese,-3.8000000000000007,-1.5999999999999996,0.4,0.2,12.600000000000001,3.0,0.20000000000000018,-0.2,2018-2019,3.0,1.0
136,roma,2018-12-02,N,-1.4000000000000001,inter,-0.1999999999999993,-1.0,-0.2,-0.2,-3.8000000000000043,0.40000000000000036,0.0,-0.2,2018-2019,2.0,1.0
137,torino,2018-12-02,V,0.6000000000000001,genoa,4.199999999999999,1.1999999999999997,-0.2,-0.2,15.0,2.3999999999999986,-1.6,-0.2,2018-2019,2.0,1.0
138,frosinone,2018-12-02,N,0.19999999999999996,cagliari,-1.4000000000000004,0.6000000000000001,0.2,0.2,-7.599999999999994,-3.0,1.2000000000000002,0.0,2018-2019,0.0,4.0
139,atalanta,2018-12-03,P,1.0,napoli,-0.1999999999999993,1.0,-0.2,-0.2,-2.200000000000003,3.5999999999999996,0.19999999999999996,0.2,2018-2019,2.0,2.0
140,juventus,2018-12-07,V,-0.3999999999999999,inter,-2.9999999999999982,-2.2,0.2,0.2,-5.799999999999997,3.0,-0.40000000000000013,-0.2,2018-2019,2.0,1.0
141,cagliari,2018-12-08,N,-0.40000000000000013,roma,-4.600000000000001,-2.0,-0.2,-0.2,-1.1999999999999957,2.1999999999999993,1.2000000000000002,0.2,2018-2019,0.0,3.0
142,lazio,2018-12-08,N,-0.40000000000000013,sampdoria,9.6,1.6,0.0,-0.2,-1.5999999999999943,0.0,0.19999999999999996,0.0,2018-2019,4.0,0.0
143,napoli,2018-12-08,V,1.0,frosinone,8.6,2.6000000000000005,0.0,0.0,17.4,-4.0,-2.2,0.0,2018-2019,4.0,0.0
144,empoli,2018-12-09,V,0.6000000000000001,bologna,1.5999999999999996,0.7999999999999998,0.0,0.2,2.799999999999997,-1.8000000000000007,-0.3999999999999999,0.0,2018-2019,1.0,2.0
145,parma,2018-12-09,N,0.19999999999999996,chievo,2.200000000000001,1.0,-0.2,-0.2,-8.799999999999997,-3.6000000000000014,-1.4,0.0,2018-2019,0.0,4.0
146,udinese,2018-12-09,P,-1.5999999999999999,atalanta,-5.799999999999999,-2.3999999999999995,0.0,0.2,-12.799999999999997,2.799999999999999,0.8,0.0,2018-2019,2.0,1.0
147,genoa,2018-12-09,N,-0.19999999999999996,spal,-0.20000000000000107,0.20000000000000018,0.2,0.2,-16.0,5.200000000000001,0.0,0.0,2018-2019,2.0,1.0
148,sassuolo,2018-12-09,N,0.6,fiorentina,-2.1999999999999993,-2.1999999999999997,0.2,0.2,14.200000000000003,-0.5999999999999979,0.20000000000000018,0.0,2018-2019,1.0,2.0
149,milan,2018-12-09,N,-0.40000000000000013,torino,-2.5999999999999996,-0.40000000000000036,-0.2,0.0,-4.799999999999997,-6.600000000000001,0.40000000000000013,0.2,2018-2019,1.0,0.0
150,torino,2018-12-15,P,-0.8000000000000003,juventus,1.3999999999999986,0.7999999999999998,0.2,0.2,2.0,3.5999999999999996,0.3999999999999999,0.0,2018-2019,0.0,3.0
151,inter,2018-12-15,V,1.6,udinese,4.6,2.8000000000000003,0.2,0.0,17.599999999999994,0.40000000000000036,0.0,0.0,2018-2019,3.0,1.0
152,spal,2018-12-16,N,0.3999999999999999,chievo,2.0,1.5999999999999999,-0.2,-0.2,12.200000000000003,-5.199999999999999,0.0,-0.2,2018-2019,0.0,3.0
153,fiorentina,2018-12-16,V,-1.0,empoli,4.0,0.39999999999999947,0.2,0.0,3.6000000000000014,4.799999999999999,0.5999999999999996,0.2,2018-2019,3.0,1.0
154,sampdoria,2018-12-16,V,0.6000000000000001,parma,-4.0,0.0,0.0,0.2,11.600000000000001,-2.5999999999999996,-0.5999999999999996,0.0,2018-2019,4.0,0.0
