,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
9,juventus,2018-10-27,Giornata n. 10,Ospiti,V,2.0,empoli,19.0,6.0,1,1,57.0,22.0,3,0,2018-2019
9,torino,2018-10-27,Giornata n. 10,Casa,N,1.0,fiorentina,21.0,2.0,0,0,55.0,17.0,2,0,2018-2019
9,fiorentina,2018-10-27,Giornata n. 10,Ospiti,N,1.0,torino,9.0,5.0,0,0,45.0,23.0,4,0,2018-2019
9,parma,2018-10-27,Giornata n. 10,Ospiti,P,0.0,atalanta,12.0,3.0,0,0,35.0,8.0,2,0,2018-2019
9,empoli,2018-10-27,Giornata n. 10,Casa,P,1.0,juventus,10.0,3.0,0,0,43.0,14.0,2,0,2018-2019
9,atalanta,2018-10-27,Giornata n. 10,Casa,V,3.0,parma,29.0,12.0,0,0,65.0,8.0,0,0,2018-2019
9,cagliari,2018-10-28,Giornata n. 10,Casa,V,2.0,chievo,16.0,3.0,0,0,49.0,18.0,1,0,2018-2019
9,napoli,2018-10-28,Giornata n. 10,Casa,N,1.0,roma,26.0,5.0,0,0,63.0,8.0,0,0,2018-2019
9,roma,2018-10-28,Giornata n. 10,Ospiti,N,1.0,napoli,9.0,3.0,0,0,37.0,8.0,5,0,2018-2019
9,sampdoria,2018-10-28,Giornata n. 10,Ospiti,P,2.0,milan,9.0,2.0,0,0,54.0,11.0,2,0,2018-2019
9,sassuolo,2018-10-28,Giornata n. 10,Casa,N,2.0,bologna,13.0,5.0,1,1,74.0,22.0,2,0,2018-2019
9,frosinone,2018-10-28,Giornata n. 10,Ospiti,V,3.0,spal,8.0,4.0,0,0,37.0,13.0,6,0,2018-2019
8,genoa,2018-10-28,Giornata n. 10,Casa,N,2.0,udinese,12.0,4.0,1,1,41.0,17.0,5,1,2018-2019
9,chievo,2018-10-28,Giornata n. 10,Ospiti,P,1.0,cagliari,11.0,3.0,0,0,51.0,20.0,6,0,2018-2019
8,milan,2018-10-28,Giornata n. 10,Casa,V,3.0,sampdoria,14.0,6.0,0,0,46.0,16.0,3,0,2018-2019
9,udinese,2018-10-28,Giornata n. 10,Ospiti,N,2.0,genoa,15.0,5.0,0,0,59.0,19.0,4,0,2018-2019
9,spal,2018-10-28,Giornata n. 10,Casa,P,0.0,frosinone,14.0,2.0,0,0,63.0,18.0,3,0,2018-2019
9,bologna,2018-10-28,Giornata n. 10,Ospiti,N,2.0,sassuolo,14.0,5.0,0,0,26.0,19.0,3,0,2018-2019
9,lazio,2018-10-29,Giornata n. 10,Casa,P,0.0,inter,20.0,4.0,0,0,40.0,15.0,3,0,2018-2019
9,inter,2018-10-29,Giornata n. 10,Ospiti,V,3.0,lazio,18.0,7.0,0,0,60.0,12.0,3,0,2018-2019
9,milan,2018-10-31,Giornata n. 1,Casa,V,2.0,genoa,29.0,9.0,0,0,58.0,11.0,2,0,2018-2019
9,genoa,2018-10-31,Giornata n. 1,Ospiti,P,1.0,milan,10.0,2.0,0,0,42.0,20.0,2,0,2018-2019
10,napoli,2018-11-02,Giornata n. 11,Casa,V,5.0,empoli,19.0,13.0,0,0,48.0,8.0,0,0,2018-2019
10,empoli,2018-11-02,Giornata n. 11,Ospiti,P,1.0,napoli,11.0,4.0,0,0,52.0,8.0,2,0,2018-2019
10,genoa,2018-11-03,Giornata n. 11,Ospiti,P,0.0,inter,9.0,3.0,0,0,38.0,17.0,3,0,2018-2019
