,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
5,Torino,2020-11-04,Giornata n. 3,Ospiti,V,2,Genoa,7,1,0,0,48.0,20,4,0
6,Sassuolo,2020-11-06,Giornata n. 7,Casa,N,0,Udinese,4,1,0,0,62.0,18,2,0
6,Udinese,2020-11-06,Giornata n. 7,Ospiti,N,0,Sassuolo,2,0,0,0,38.0,17,2,0
6,Spezia,2020-11-07,Giornata n. 7,Ospiti,V,3,Benevento,11,6,0,0,61.0,20,3,0
6,Sampdoria,2020-11-07,Giornata n. 7,Ospiti,P,0,Cagliari,5,1,0,0,44.0,16,2,1
6,Parma,2020-11-07,Giornata n. 7,Casa,N,0,Fiorentina,5,0,0,0,36.0,30,1,0
6,Benevento,2020-11-07,Giornata n. 7,Casa,P,0,Spezia,3,1,0,0,39.0,15,3,0
6,Cagliari,2020-11-07,Giornata n. 7,Casa,V,2,Sampdoria,12,4,1,1,56.0,14,0,0
6,Fiorentina,2020-11-07,Giornata n. 7,Ospiti,N,0,Parma,7,4,0,0,64.0,18,2,0
6,Hellas Verona,2020-11-08,Giornata n. 7,Ospiti,N,2,Milan,7,2,0,0,34.0,23,3,0
6,Genoa,2020-11-08,Giornata n. 7,Casa,P,1,Roma,7,5,0,0,50.0,11,1,0
6,Bologna,2020-11-08,Giornata n. 7,Casa,P,0,Napoli,9,3,0,0,47.0,12,3,0
6,Inter,2020-11-08,Giornata n. 7,Ospiti,N,1,Atalanta,10,3,0,0,48.0,13,3,0
6,Crotone,2020-11-08,Giornata n. 7,Ospiti,N,0,Torino,8,2,0,0,50.0,15,4,1
5,Juventus,2020-11-08,Giornata n. 7,Ospiti,N,1,Lazio,11,5,0,0,46.0,18,2,0
6,Roma,2020-11-08,Giornata n. 7,Ospiti,V,3,Genoa,18,9,0,0,50.0,12,0,0
6,Lazio,2020-11-08,Giornata n. 7,Casa,N,1,Juventus,14,3,0,0,54.0,15,2,0
6,Milan,2020-11-08,Giornata n. 7,Casa,N,2,Hellas Verona,33,8,0,1,66.0,18,1,0
6,Torino,2020-11-08,Giornata n. 7,Casa,N,0,Crotone,4,0,0,0,50.0,15,3,0
6,Atalanta,2020-11-08,Giornata n. 7,Casa,N,1,Inter,9,2,0,0,52.0,17,1,0
5,Napoli,2020-11-08,Giornata n. 7,Ospiti,V,1,Bologna,19,4,0,0,53.0,12,0,0
7,Spezia,2020-11-21,Giornata n. 8,Casa,N,0,Atalanta,9,2,0,0,55.0,22,3,0
7,Cagliari,2020-11-21,Giornata n. 8,Ospiti,P,0,Juventus,4,0,0,0,34.0,7,2,0
7,Crotone,2020-11-21,Giornata n. 8,Casa,P,0,Lazio,13,4,0,0,52.0,12,3,0
7,Atalanta,2020-11-21,Giornata n. 8,Ospiti,N,0,Spezia,11,4,0,0,45.0,19,3,0
7,Lazio,2020-11-21,Giornata n. 8,Ospiti,V,2,Crotone,15,9,0,0,48.0,11,4,0
6,Juventus,2020-11-21,Giornata n. 8,Casa,V,2,Cagliari,24,6,0,0,66.0,15,3,0
7,Roma,2020-11-22,Giornata n. 8,Casa,V,3,Parma,20,7,0,0,58.0,12,0,0
7,Benevento,2020-11-22,Giornata n. 8,Ospiti,V,1,Fiorentina,13,4,0,0,38.0,17,3,0
7,Milan,2020-11-22,Giornata n. 8,Ospiti,V,3,Napoli,15,7,0,0,38.0,18,4,0
7,Udinese,2020-11-22,Giornata n. 8,Casa,V,1,Genoa,8,2,0,0,47.0,18,2,0
6,Napoli,2020-11-22,Giornata n. 8,Casa,P,1,Milan,19,7,0,0,62.0,7,3,1
7,Inter,2020-11-22,Giornata n. 8,Casa,V,4,Torino,12,3,1,1,56.0,26,3,0
7,Sampdoria,2020-11-22,Giornata n. 8,Casa,P,1,Bologna,10,4,0,0,45.0,12,2,0
7,Genoa,2020-11-22,Giornata n. 8,Ospiti,P,0,Udinese,11,1,0,0,53.0,15,3,1
7,Hellas Verona,2020-11-22,Giornata n. 8,Casa,P,0,Sassuolo,19,3,0,0,52.0,16,1,0
7,Sassuolo,2020-11-22,Giornata n. 8,Ospiti,V,2,Hellas Verona,11,4,0,0,48.0,20,3,0
7,Parma,2020-11-22,Giornata n. 8,Ospiti,P,0,Roma,1,1,0,0,42.0,6,0,0
7,Fiorentina,2020-11-22,Giornata n. 8,Casa,P,0,Benevento,7,2,0,0,62.0,16,2,0
7,Torino,2020-11-22,Giornata n. 8,Ospiti,P,2,Inter,12,5,1,1,44.0,19,2,0
7,Bologna,2020-11-22,Giornata n. 8,Ospiti,V,2,Sampdoria,11,3,0,0,55.0,9,2,0
8,Sassuolo,2020-11-28,Giornata n. 9,Casa,P,0,Inter,13,3,0,0,66.0,15,3,0
8,Inter,2020-11-28,Giornata n. 9,Ospiti,V,3,Sassuolo,11,4,0,0,34.0,17,1,0
8,Benevento,2020-11-28,Giornata n. 9,Casa,N,1,Juventus,8,3,0,0,37.0,20,6,0
8,Atalanta,2020-11-28,Giornata n. 9,Casa,P,0,Hellas Verona,19,5,0,0,58.0,14,2,0
7,Juventus,2020-11-28,Giornata n. 9,Ospiti,N,1,Benevento,16,5,0,0,63.0,14,1,1
8,Hellas Verona,2020-11-28,Giornata n. 9,Ospiti,V,2,Atalanta,6,1,1,1,42.0,20,3,0
8,Fiorentina,2020-11-29,Giornata n. 9,Ospiti,P,0,Milan,5,2,0,0,55.0,17,4,0
8,Bologna,2020-11-29,Giornata n. 9,Casa,V,1,Crotone,14,7,0,0,51.0,17,2,0
8,Spezia,2020-11-29,Giornata n. 9,Ospiti,N,2,Cagliari,14,4,1,1,60.0,19,4,0
8,Cagliari,2020-11-29,Giornata n. 9,Casa,N,2,Spezia,12,5,0,0,40.0,16,0,0
7,Napoli,2020-11-29,Giornata n. 9,Casa,V,4,Roma,14,8,0,0,55.0,3,1,0
8,Milan,2020-11-29,Giornata n. 9,Casa,V,2,Fiorentina,15,2,1,2,45.0,17,2,0
8,Lazio,2020-11-29,Giornata n. 9,Casa,P,1,Udinese,10,5,1,1,55.0,18,3,0
8,Roma,2020-11-29,Giornata n. 9,Ospiti,P,0,Napoli,8,1,0,0,45.0,12,2,0
8,Udinese,2020-11-29,Giornata n. 9,Ospiti,V,3,Lazio,9,4,0,0,45.0,12,4,0
8,Crotone,2020-11-29,Giornata n. 9,Ospiti,P,0,Bologna,8,1,0,0,49.0,18,4,0
8,Parma,2020-11-30,Giornata n. 9,Ospiti,V,2,Genoa,9,3,0,0,49.0,20,2,0
8,Torino,2020-11-30,Giornata n. 9,Casa,N,2,Sampdoria,14,7,0,0,53.0,19,1,0
8,Sampdoria,2020-11-30,Giornata n. 9,Ospiti,N,2,Torino,11,2,0,0,47.0,17,2,0
8,Genoa,2020-11-30,Giornata n. 9,Casa,P,1,Parma,14,5,0,0,51.0,14,2,0
9,Torino,2020-12-05,Giornata n. 10,Ospiti,P,1,Juventus,7,2,0,0,35.0,16,3,0
9,Spezia,2020-12-05,Giornata n. 10,Casa,P,1,Lazio,15,4,0,0,65.0,15,3,0
9,Inter,2020-12-05,Giornata n. 10,Casa,V,3,Bologna,14,7,0,0,46.0,13,1,0
9,Lazio,2020-12-05,Giornata n. 10,Ospiti,V,2,Spezia,4,2,0,0,35.0,13,1,0
9,Bologna,2020-12-05,Giornata n. 10,Ospiti,P,1,Inter,14,7,0,0,54.0,15,2,0
8,Juventus,2020-12-05,Giornata n. 10,Casa,V,2,Torino,17,4,0,0,65.0,19,3,1
9,Cagliari,2020-12-06,Giornata n. 10,Ospiti,N,1,Hellas Verona,13,3,0,0,49.0,16,0,0
9,Hellas Verona,2020-12-06,Giornata n. 10,Casa,N,1,Cagliari,18,3,0,0,51.0,13,2,0
9,Roma,2020-12-06,Giornata n. 10,Casa,N,0,Sassuolo,16,1,0,0,44.0,13,5,1
9,Parma,2020-12-06,Giornata n. 10,Casa,N,0,Benevento,10,0,0,0,56.0,14,4,0
9,Sampdoria,2020-12-06,Giornata n. 10,Casa,P,1,Milan,11,3,0,0,39.0,12,2,0
9,Sassuolo,2020-12-06,Giornata n. 10,Ospiti,N,0,Roma,5,1,0,0,56.0,15,3,0
9,Milan,2020-12-06,Giornata n. 10,Ospiti,V,2,Sampdoria,13,4,1,1,61.0,17,1,0
9,Benevento,2020-12-06,Giornata n. 10,Ospiti,N,0,Parma,8,2,0,0,44.0,12,4,0
9,Crotone,2020-12-06,Giornata n. 10,Casa,P,0,Napoli,6,1,0,0,39.0,13,3,1
8,Napoli,2020-12-06,Giornata n. 10,Ospiti,V,4,Crotone,14,6,0,0,61.0,10,3,0
9,Genoa,2020-12-07,Giornata n. 10,Ospiti,N,1,Fiorentina,7,3,0,0,39.0,20,2,0
9,Fiorentina,2020-12-07,Giornata n. 10,Casa,N,1,Genoa,19,6,0,0,61.0,7,2,0
10,Sassuolo,2020-12-11,Giornata n. 11,Casa,V,1,Benevento,5,1,1,1,48.0,12,2,1
10,Benevento,2020-12-11,Giornata n. 11,Ospiti,P,0,Sassuolo,30,4,0,0,52.0,15,4,0
10,Lazio,2020-12-12,Giornata n. 11,Casa,P,1,Hellas Verona,12,4,0,0,58.0,14,5,0
10,Hellas Verona,2020-12-12,Giornata n. 11,Ospiti,V,2,Lazio,6,4,0,0,42.0,17,3,0
10,Spezia,2020-12-12,Giornata n. 11,Ospiti,P,1,Crotone,10,5,0,0,59.0,15,3,0
10,Torino,2020-12-12,Giornata n. 11,Casa,P,2,Udinese,8,3,0,0,61.0,11,3,0
9,Udinese,2020-12-12,Giornata n. 11,Ospiti,V,3,Torino,10,3,0,0,39.0,26,3,0
10,Crotone,2020-12-12,Giornata n. 11,Casa,V,4,Spezia,9,7,0,0,41.0,17,3,0
10,Milan,2020-12-13,Giornata n. 11,Casa,N,2,Parma,26,6,0,0,65.0,12,3,0
10,Genoa,2020-12-13,Giornata n. 11,Casa,P,1,Juventus,3,2,0,0,30.0,18,3,0
10,Roma,2020-12-13,Giornata n. 11,Ospiti,V,5,Bologna,15,7,0,0,47.0,9,2,0
9,Juventus,2020-12-13,Giornata n. 11,Ospiti,V,3,Genoa,16,8,2,2,70.0,15,3,0
9,Napoli,2020-12-13,Giornata n. 11,Casa,V,2,Sampdoria,18,6,0,0,66.0,13,3,0
10,Parma,2020-12-13,Giornata n. 11,Ospiti,N,2,Milan,4,2,0,0,35.0,16,3,0
10,Bologna,2020-12-13,Giornata n. 11,Casa,P,1,Roma,7,1,0,0,53.0,15,4,0
9,Atalanta,2020-12-13,Giornata n. 11,Casa,V,3,Fiorentina,21,7,0,0,53.0,18,1,0
10,Inter,2020-12-13,Giornata n. 11,Ospiti,V,3,Cagliari,21,10,0,0,58.0,20,1,0
10,Sampdoria,2020-12-13,Giornata n. 11,Ospiti,P,1,Napoli,8,3,0,0,34.0,16,4,0
10,Cagliari,2020-12-13,Giornata n. 11,Casa,P,1,Inter,11,3,0,0,42.0,15,2,0
10,Fiorentina,2020-12-13,Giornata n. 11,Ospiti,P,0,Atalanta,5,2,0,0,47.0,15,2,0
11,Lazio,2020-12-15,Giornata n. 12,Ospiti,N,1,Benevento,13,2,0,0,63.0,16,2,0
