,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
111,SPAL,2018-11-10,N,0.0,Cagliari,-3.0,0.0,0,0,-6.0,0.0,-2,0,2018-2019
112,Torino,2018-11-10,P,-1.0,Parma,1.0,-2.0,0,0,34.0,-3.0,-2,0,2018-2019
113,Genoa,2018-11-10,P,-1.0,Napoli,-14.0,0.0,0,0,-34.0,8.0,2,0,2018-2019
114,Empoli,2018-11-11,V,1.0,Udinese,-19.0,-5.0,0,-1,-22.0,0.0,0,0,2018-2019
115,Sassuolo,2018-11-11,N,0.0,Lazio,2.0,3.0,0,0,16.0,-10.0,1,0,2018-2019
116,Atalanta,2018-11-11,V,3.0,Inter,11.0,9.0,-1,-1,-4.0,-1.0,-1,-1,2018-2019
117,Chievo,2018-11-11,N,0.0,Bologna,3.0,-1.0,1,1,-2.0,-2.0,0,0,2018-2019
118,Roma,2018-11-11,V,3.0,Sampdoria,7.0,2.0,0,0,0.0,-4.0,0,0,2018-2019
119,Milan,2018-11-11,P,-2.0,Juventus,-11.0,-5.0,0,1,-20.0,8.0,2,1,2018-2019
120,Inter,2018-11-24,V,3.0,Frosinone,23.0,9.0,0,0,42.0,0.0,-2,0,2018-2019
121,Udinese,2018-11-24,V,1.0,Roma,-17.0,-5.0,0,0,-44.0,0.0,2,0,2018-2019
122,Juventus,2018-11-24,V,2.0,SPAL,4.0,5.0,0,0,-8.0,10.0,-2,0,2018-2019
123,Bologna,2018-11-25,N,0.0,Fiorentina,-12.0,-2.0,0,0,-12.0,-7.0,2,0,2018-2019
124,Empoli,2018-11-25,V,1.0,Atalanta,2.0,2.0,0,1,-16.0,0.0,-1,-1,2018-2019
125,Genoa,2018-11-25,N,0.0,Sampdoria,8.0,3.0,1,1,-16.0,2.0,1,0,2018-2019
126,Lazio,2018-11-25,N,0.0,Milan,12.0,3.0,0,0,8.0,7.0,0,0,2018-2019
127,Parma,2018-11-25,V,1.0,Sassuolo,2.0,2.0,-1,-1,-46.0,-1.0,-1,0,2018-2019
128,Napoli,2018-11-25,N,0.0,Chievo,13.0,6.0,0,0,38.0,-1.0,0,0,2018-2019
129,Cagliari,2018-11-26,N,0.0,Torino,-10.0,-5.0,0,0,2.0,-9.0,2,0,2018-2019
130,SPAL,2018-12-01,N,0.0,Empoli,-8.0,-2.0,0,0,4.0,-5.0,0,1,2018-2019
131,Fiorentina,2018-12-01,P,-3.0,Juventus,3.0,1.0,-1,-1,-8.0,8.0,3,0,2018-2019
132,Sampdoria,2018-12-01,V,3.0,Bologna,0.0,2.0,0,0,-10.0,4.0,0,0,2018-2019
133,Torino,2018-12-02,V,1.0,Genoa,15.0,8.0,1,1,32.0,-8.0,0,-1,2018-2019
134,Roma,2018-12-02,N,0.0,Inter,-4.0,-2.0,1,1,-8.0,-1.0,0,0,2018-2019
135,Frosinone,2018-12-02,N,0.0,Cagliari,4.0,4.0,0,0,-22.0,-2.0,-5,-1,2018-2019
136,Milan,2018-12-02,V,1.0,Parma,11.0,3.0,1,1,24.0,-9.0,0,0,2018-2019
137,Chievo,2018-12-02,N,0.0,Lazio,-13.0,-4.0,0,0,-36.0,4.0,2,0,2018-2019
138,Sassuolo,2018-12-02,N,0.0,Udinese,17.0,1.0,0,0,30.0,-1.0,1,0,2018-2019
139,Atalanta,2018-12-03,P,-1.0,Napoli,6.0,-4.0,0,0,10.0,2.0,-1,0,2018-2019
140,Juventus,2018-12-07,V,1.0,Inter,5.0,4.0,0,0,0.0,-5.0,0,0,2018-2019
141,Cagliari,2018-12-08,N,0.0,Roma,-7.0,-2.0,0,0,12.0,-1.0,2,2,2018-2019
142,Lazio,2018-12-08,N,0.0,Sampdoria,24.0,6.0,1,1,8.0,2.0,-1,-1,2018-2019
143,Napoli,2018-12-08,V,4.0,Frosinone,13.0,5.0,0,0,32.0,-8.0,-1,0,2018-2019
144,Milan,2018-12-09,N,0.0,Torino,3.0,-1.0,0,0,14.0,-8.0,-1,0,2018-2019
145,Empoli,2018-12-09,V,1.0,Bologna,-8.0,-2.0,0,0,-16.0,-2.0,0,0,2018-2019
146,Parma,2018-12-09,N,0.0,Chievo,1.0,5.0,0,0,4.0,0.0,1,-1,2018-2019
147,Udinese,2018-12-09,P,-2.0,Atalanta,-13.0,-3.0,0,0,-36.0,10.0,0,0,2018-2019
148,Genoa,2018-12-09,N,0.0,SPAL,-18.0,-4.0,1,1,-44.0,0.0,-4,1,2018-2019
149,Sassuolo,2018-12-09,N,0.0,Fiorentina,3.0,2.0,0,0,12.0,-3.0,0,0,2018-2019
150,Inter,2018-12-15,V,1.0,Udinese,14.0,2.0,1,1,28.0,0.0,2,0,2018-2019
151,Torino,2018-12-15,P,-1.0,Juventus,1.0,0.0,-1,-1,-14.0,4.0,-2,0,2018-2019
152,Frosinone,2018-12-16,P,-2.0,Sassuolo,-8.0,1.0,0,0,-28.0,7.0,1,0,2018-2019
153,Cagliari,2018-12-16,P,-1.0,Napoli,-9.0,-3.0,0,0,-20.0,8.0,0,0,2018-2019
154,Roma,2018-12-16,V,1.0,Genoa,-2.0,-3.0,0,0,8.0,-6.0,0,0,2018-2019
155,Sampdoria,2018-12-16,V,2.0,Parma,9.0,8.0,0,0,40.0,3.0,1,0,2018-2019
156,Fiorentina,2018-12-16,V,2.0,Empoli,12.0,5.0,0,0,20.0,0.0,1,0,2018-2019
157,SPAL,2018-12-16,N,0.0,Chievo,7.0,-4.0,0,0,16.0,-6.0,-2,0,2018-2019
158,Atalanta,2018-12-17,V,1.0,Lazio,-7.0,0.0,0,0,-12.0,-7.0,-2,0,2018-2019
159,Bologna,2018-12-18,N,0.0,Milan,-10.0,0.0,0,0,-40.0,4.0,-2,-1,2018-2019
160,Parma,2018-12-22,N,0.0,Bologna,6.0,-1.0,0,0,26.0,-1.0,0,0,2018-2019
161,Empoli,2018-12-22,P,-2.0,Sampdoria,-6.0,-9.0,1,1,-42.0,0.0,-1,0,2018-2019
162,Milan,2018-12-22,P,-1.0,Fiorentina,5.0,4.0,0,0,10.0,-8.0,-1,0,2018-2019
163,Juventus,2018-12-22,V,1.0,Roma,14.0,2.0,0,0,2.0,-1.0,-3,0,2018-2019
164,Chievo,2018-12-22,N,0.0,Inter,-3.0,0.0,0,0,-26.0,1.0,1,0,2018-2019
165,Napoli,2018-12-22,V,1.0,SPAL,13.0,-1.0,0,0,24.0,4.0,0,0,2018-2019
166,Sassuolo,2018-12-22,N,0.0,Torino,13.0,3.0,0,0,16.0,-1.0,-1,0,2018-2019
167,Lazio,2018-12-22,V,2.0,Cagliari,13.0,6.0,-1,-1,2.0,6.0,1,0,2018-2019
168,Genoa,2018-12-22,V,2.0,Atalanta,9.0,4.0,-1,-2,-26.0,3.0,2,-2,2018-2019
169,Udinese,2018-12-22,N,0.0,Frosinone,-3.0,-2.0,-1,-1,2.0,-3.0,-2,0,2018-2019
170,Inter,2018-12-26,V,1.0,Napoli,-1.0,0.0,0,0,0.0,2.0,0,-2,2018-2019
