,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,rank_h,rank_a,prediction
129,Hellas Verona,2021-11-22,V,0.19999999999999996,Empoli,-0.40000000000000036,1.0,0.0,0.0,6.599999999999994,3.3999999999999986,1.9999999999999998,0.2,6.0,2.0,1.0
130,Cagliari,2021-11-26,N,0.0,Salernitana,-5.8,-1.0,0.2,0.2,-9.399999999999999,0.40000000000000036,0.8,0.0,8.0,0.0,1.0
131,Empoli,2021-11-27,V,-0.19999999999999996,Fiorentina,-4.0,-1.6000000000000005,0.0,0.0,-10.800000000000004,3.5999999999999996,-0.5999999999999999,0.0,1.0,7.0,2.0
132,Sampdoria,2021-11-27,V,-0.8,Hellas Verona,-4.6,-0.7999999999999998,-0.2,-0.2,-11.800000000000004,-0.7999999999999989,0.3999999999999999,-0.2,6.0,1.0,0.0
133,Juventus,2021-11-27,P,-1.4000000000000001,Atalanta,-1.8000000000000007,-2.2,0.39999999999999997,0.39999999999999997,-7.799999999999997,2.3999999999999986,0.0,0.0,2.0,1.0,0.0
134,Venezia,2021-11-27,P,-0.6000000000000001,Inter,-6.600000000000001,-0.6000000000000005,-0.2,-0.39999999999999997,-17.0,0.5999999999999996,0.8,0.2,0.0,8.0,2.0
135,Udinese,2021-11-28,N,0.19999999999999996,Genoa,1.8000000000000007,1.2000000000000002,-0.4,-0.4,-11.399999999999999,-1.5999999999999979,-0.7999999999999998,0.2,5.0,0.0,1.0
136,Roma,2021-11-28,V,-0.20000000000000018,Torino,7.199999999999999,0.8000000000000003,0.0,0.0,-4.199999999999996,-2.0,1.0,0.0,6.0,2.0,1.0
137,Spezia,2021-11-28,P,-0.19999999999999996,Bologna,-2.5999999999999996,-0.3999999999999999,0.0,0.0,0.6000000000000014,5.6,1.2,-0.4,0.0,7.0,0.0
138,Napoli,2021-11-28,V,0.0,Lazio,4.6,-0.6000000000000001,0.4,0.4,8.399999999999999,1.799999999999999,-0.5999999999999999,0.2,6.0,2.0,1.0
139,Milan,2021-11-28,P,0.20000000000000018,Sassuolo,-0.3999999999999986,-0.39999999999999947,0.0,0.0,-4.200000000000003,-0.8000000000000007,0.20000000000000018,0.2,5.0,1.0,1.0
140,Atalanta,2021-11-30,V,1.6,Venezia,6.800000000000001,1.0,0.0,0.0,14.0,1.0,-0.20000000000000018,-0.2,8.0,0.0,1.0
141,Hellas Verona,2021-11-30,N,0.3999999999999999,Cagliari,2.4000000000000004,0.6000000000000001,0.0,0.0,9.0,1.8000000000000007,0.7999999999999998,0.2,3.0,3.0,1.0
142,Fiorentina,2021-11-30,V,0.20000000000000018,Sampdoria,3.0,1.0,0.2,0.2,7.799999999999997,-4.199999999999999,-1.1999999999999997,0.0,2.0,4.0,1.0
143,Salernitana,2021-11-30,P,-0.4,Juventus,-1.0,0.0,-0.4,-0.4,-6.599999999999994,-3.4000000000000004,-1.0000000000000002,0.2,0.0,8.0,2.0
144,Inter,2021-12-01,V,1.2,Spezia,8.6,2.6,0.6,0.8,11.599999999999994,-4.0,-1.4,0.0,7.0,0.0,1.0
145,Bologna,2021-12-01,V,-0.6000000000000001,Roma,-6.600000000000001,-0.40000000000000036,0.2,0.2,1.7999999999999972,-6.600000000000001,-1.5999999999999999,0.0,2.0,5.0,0.0
146,Sassuolo,2021-12-01,N,-0.20000000000000018,Napoli,-2.0,0.20000000000000018,-0.2,-0.2,-6.600000000000001,-1.1999999999999993,1.0,-0.2,1.0,4.0,0.0
147,Genoa,2021-12-01,P,-1.0,Milan,-2.6000000000000014,-0.40000000000000036,0.2,0.2,2.0,0.7999999999999989,0.0,-0.4,1.0,5.0,2.0
148,Lazio,2021-12-02,N,0.19999999999999996,Udinese,-5.6,-1.4000000000000004,0.0,0.0,10.0,-3.5999999999999996,0.3999999999999999,-0.2,6.0,1.0,1.0
149,Torino,2021-12-02,N,-0.3999999999999999,Empoli,2.5999999999999996,-0.20000000000000018,-0.2,-0.2,15.0,2.799999999999999,0.6000000000000001,-0.2,7.0,1.0,0.0
150,Milan,2021-12-04,V,1.8,Salernitana,5.6,2.4,0.2,0.2,12.199999999999996,2.8000000000000007,1.9999999999999998,0.2,8.0,0.0,1.0
151,Napoli,2021-12-04,P,-0.7999999999999998,Atalanta,-2.0,-1.2000000000000002,-0.2,-0.2,4.200000000000003,2.0,0.40000000000000013,0.2,4.0,3.0,0.0
