,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
918,Cagliari,2021-12-06,N,-0.5999999999999999,Torino,-2.1999999999999993,-0.6000000000000001,0.2,0.2,-108.39999999999998,-110.0,-0.8000000000000003,-14.0,-2.1999999999999993,0.3999999999999999,0.0,21_22,3.0,3.0
919,Empoli,2021-12-06,V,0.19999999999999996,Udinese,-0.6000000000000014,-0.6000000000000005,0.2,0.2,32.60000000000002,52.39999999999998,1.6000000000000005,9.600000000000001,-1.799999999999999,-1.4000000000000001,-0.6,21_22,2.0,8.0
920,Genoa,2021-12-10,P,-1.2000000000000002,Sampdoria,-6.4,-2.6,0.2,0.2,18.0,-3.599999999999966,-3.0,-1.0,-3.799999999999999,-0.8000000000000003,0.0,21_22,1.0,6.0
921,Udinese,2021-12-11,N,-0.19999999999999996,Milan,-1.5999999999999979,0.20000000000000018,0.0,0.0,-154.8,-148.60000000000002,-1.2000000000000002,-14.599999999999994,2.799999999999999,1.7999999999999998,0.39999999999999997,21_22,2.0,4.0
922,Venezia,2021-12-11,N,0.0,Juventus,-7.6,-1.0,-0.2,-0.39999999999999997,-226.00000000000006,-223.19999999999993,-2.2,-18.6,-2.8000000000000007,-0.20000000000000018,0.2,21_22,0.0,9.0
923,Fiorentina,2021-12-11,V,2.0,Salernitana,2.1999999999999993,3.0000000000000004,0.2,0.2,121.60000000000002,119.39999999999998,-1.7999999999999998,14.399999999999999,-1.0,0.6000000000000001,0.2,21_22,9.0,1.0
924,Hellas Verona,2021-12-12,P,-1.4,Atalanta,-1.200000000000001,-1.5999999999999996,0.0,0.0,-45.0,-31.0,0.5999999999999996,4.799999999999997,-0.40000000000000036,0.5999999999999996,0.4,21_22,2.0,8.0
925,Sassuolo,2021-12-12,V,0.20000000000000018,Lazio,4.6,1.1999999999999997,0.2,0.2,-66.00000000000006,-63.799999999999955,2.2,3.200000000000003,0.20000000000000107,-0.19999999999999973,-0.4,21_22,3.0,6.0
926,Napoli,2021-12-12,P,0.20000000000000018,Empoli,-1.5999999999999996,-0.5999999999999996,0.0,0.0,146.20000000000005,118.59999999999997,-3.8,3.4000000000000057,2.5999999999999996,0.0,0.0,21_22,7.0,3.0
927,Torino,2021-12-12,V,-0.19999999999999996,Bologna,-1.5999999999999996,-1.8000000000000003,-0.2,-0.2,-43.60000000000002,-36.0,-2.4000000000000004,2.1999999999999957,6.6,0.3999999999999999,0.2,21_22,4.0,1.0
928,Inter,2021-12-12,V,1.2000000000000002,Cagliari,6.0,3.6,0.6000000000000001,0.8,221.60000000000002,186.40000000000003,3.0,11.399999999999999,-1.200000000000001,-0.8,0.0,21_22,9.0,1.0
929,Roma,2021-12-13,V,0.0,Spezia,6.199999999999999,-0.6000000000000005,0.0,0.0,81.39999999999998,74.80000000000001,2.6000000000000005,7.599999999999994,-0.5999999999999996,-0.3999999999999999,0.0,21_22,10.0,0.0
930,Lazio,2021-12-17,V,1.4000000000000001,Genoa,1.2000000000000002,1.4,0.0,0.0,133.60000000000002,120.59999999999997,-0.5999999999999996,5.200000000000003,-0.1999999999999993,0.6000000000000001,0.4,21_22,8.0,2.0
931,Salernitana,2021-12-17,P,-2.5999999999999996,Inter,-11.4,-6.200000000000001,-0.6,-0.8,-315.8,-300.80000000000007,-1.0,-23.799999999999997,-0.1999999999999993,-0.3999999999999999,0.0,21_22,0.0,10.0
932,Atalanta,2021-12-18,P,2.0,Roma,3.1999999999999993,2.3999999999999995,0.2,0.2,-6.0,6.800000000000011,-0.7999999999999998,1.2000000000000028,2.4000000000000004,-0.7999999999999998,-0.2,21_22,5.0,3.0
933,Bologna,2021-12-18,P,-0.3999999999999999,Juventus,-5.400000000000002,-2.0,0.0,-0.19999999999999996,-172.60000000000002,-162.59999999999997,-0.20000000000000018,-10.200000000000003,-2.5999999999999996,0.0,0.0,21_22,0.0,10.0
934,Cagliari,2021-12-18,P,-0.5999999999999999,Udinese,-3.0,-3.1999999999999997,0.2,0.2,-38.0,-22.0,-1.9999999999999996,0.20000000000000284,-5.000000000000002,-1.0,-0.6,21_22,3.0,7.0
935,Fiorentina,2021-12-19,N,0.7999999999999998,Sassuolo,-3.1999999999999993,0.7999999999999998,0.0,0.0,9.200000000000045,15.400000000000091,-2.3999999999999995,1.0,-0.1999999999999993,-1.0000000000000002,-0.2,21_22,3.0,5.0
936,Milan,2021-12-19,P,0.0,Napoli,0.40000000000000213,-0.7999999999999998,0.0,0.0,-7.800000000000068,1.7999999999999545,2.1999999999999993,3.1999999999999957,-2.4000000000000004,0.0,0.2,21_22,2.0,4.0
937,Torino,2021-12-19,V,-0.20000000000000018,Hellas Verona,-4.0,-0.6000000000000005,-0.2,-0.2,-54.400000000000034,-66.60000000000002,-1.5999999999999996,-6.800000000000004,2.8000000000000007,0.0,0.2,21_22,4.0,1.0
938,Spezia,2021-12-19,N,-1.0,Empoli,-5.800000000000001,-1.0,0.0,0.0,-8.800000000000011,-20.80000000000001,-3.3999999999999995,-7.600000000000001,-2.1999999999999993,0.20000000000000018,0.0,21_22,2.0,2.0
939,Sampdoria,2021-12-19,N,1.0,Venezia,5.399999999999999,1.2000000000000002,0.0,0.0,-12.800000000000011,14.0,2.8,3.6000000000000014,4.200000000000001,0.8000000000000003,-0.2,21_22,9.0,0.0
940,Juventus,2021-12-21,V,0.9999999999999999,Cagliari,6.6,4.4,0.0,0.2,263.6,243.0,2.1999999999999997,16.799999999999997,1.1999999999999993,-0.3999999999999999,-0.2,21_22,10.0,1.0
941,Genoa,2021-12-21,N,-1.8000000000000003,Atalanta,-8.399999999999999,-3.4000000000000004,0.0,0.0,-53.39999999999998,-55.99999999999994,-3.4000000000000004,-6.799999999999997,-3.5999999999999996,0.3999999999999999,0.0,21_22,1.0,6.0
942,Sassuolo,2021-12-22,P,1.2000000000000002,Bologna,4.200000000000001,2.0000000000000004,-0.4,-0.4,78.59999999999997,64.99999999999994,1.6,4.600000000000001,-1.200000000000001,0.6000000000000001,0.2,21_22,5.0,4.0
943,Hellas Verona,2021-12-22,N,-1.4000000000000001,Fiorentina,-1.1999999999999993,-2.5999999999999996,0.0,0.0,-146.79999999999995,-115.0,2.2,-6.0,3.8000000000000007,0.3999999999999999,0.0,21_22,3.0,4.0
944,Inter,2021-12-22,V,2.0,Torino,10.399999999999999,5.799999999999999,0.4,0.6,259.0,228.99999999999994,4.0,10.600000000000001,-5.0,-0.8,-0.2,21_22,6.0,2.0
945,Roma,2021-12-22,N,-0.40000000000000013,Sampdoria,-4.799999999999999,-1.8000000000000003,0.0,0.0,26.399999999999977,-11.800000000000011,-1.1999999999999997,-4.200000000000003,-1.5999999999999996,0.20000000000000018,0.2,21_22,5.0,2.0
946,Venezia,2021-12-22,P,-1.2000000000000002,Lazio,1.1999999999999993,-0.7999999999999998,0.0,0.0,-146.8,-136.59999999999997,-0.20000000000000018,-5.600000000000001,4.0,-0.3999999999999999,-0.2,21_22,0.0,10.0
947,Empoli,2021-12-22,P,0.40000000000000013,Milan,2.1999999999999993,2.6,0.0,0.0,-100.60000000000002,-102.19999999999999,0.5999999999999996,-3.799999999999997,1.3999999999999986,0.6000000000000001,-0.2,21_22,0.0,9.0
948,Napoli,2021-12-22,P,1.2000000000000002,Spezia,7.200000000000001,1.1999999999999997,0.0,0.0,212.8,215.0,2.6,16.4,0.40000000000000036,-1.0,0.0,21_22,8.0,3.0
949,Milan,2022-01-06,V,0.6000000000000001,Roma,4.999999999999998,0.5999999999999996,0.0,0.0,100.0,108.79999999999995,0.39999999999999947,11.800000000000004,0.5999999999999996,-1.5999999999999999,-0.2,21_22,6.0,3.0
950,Juventus,2022-01-06,N,0.8,Napoli,-0.3999999999999986,2.8,0.0,0.2,85.80000000000001,82.59999999999991,-1.2000000000000002,5.399999999999999,-1.200000000000001,-0.20000000000000018,0.0,21_22,6.0,4.0
951,Sampdoria,2022-01-06,P,1.2,Cagliari,5.199999999999999,2.5999999999999996,0.0,0.0,75.39999999999998,82.19999999999999,2.2,5.799999999999997,0.0,0.19999999999999973,-0.2,21_22,3.0,5.0
952,Spezia,2022-01-06,P,-0.3999999999999999,Hellas Verona,-4.600000000000001,-1.2000000000000002,-0.2,-0.2,-43.19999999999999,-83.40000000000003,-2.8,-12.400000000000006,1.200000000000001,0.3999999999999999,-0.2,21_22,0.0,8.0
953,Sassuolo,2022-01-06,N,1.2000000000000002,Genoa,7.800000000000001,4.0,0.0,0.0,152.8,130.0,1.5999999999999996,14.400000000000006,-0.40000000000000036,0.7999999999999998,0.2,21_22,4.0,3.0
954,Lazio,2022-01-06,N,0.9999999999999998,Empoli,-9.000000000000002,-1.5999999999999996,-0.2,-0.2,90.19999999999999,81.60000000000002,-3.8,-3.0,-4.399999999999999,0.0,0.4,21_22,10.0,0.0
955,Inter,2022-01-09,V,0.3999999999999999,Lazio,9.799999999999999,3.0,0.2,0.2,119.60000000000002,116.40000000000009,4.4,11.999999999999993,0.40000000000000036,-1.2,-0.2,21_22,6.0,3.0
956,Roma,2022-01-09,P,0.0,Juventus,-8.0,-2.8,0.0,0.0,-144.39999999999998,-146.2,0.6000000000000005,-13.200000000000003,-1.0,1.7999999999999998,0.6,21_22,2.0,7.0
957,Udinese,2022-01-09,P,0.0,Atalanta,-3.8000000000000007,-0.1999999999999993,0.0,0.0,-168.0,-194.60000000000002,-2.4000000000000004,-17.0,3.1999999999999993,1.8,0.6,21_22,1.0,8.0
958,Napoli,2022-01-09,V,-0.5999999999999999,Sampdoria,7.200000000000001,0.20000000000000018,0.0,0.0,149.59999999999997,120.80000000000007,3.5999999999999996,9.800000000000004,1.4000000000000004,-1.0,-0.2,21_22,10.0,1.0
959,Venezia,2022-01-09,P,-0.8,Milan,-5.799999999999999,-1.0,-0.2,-0.4,-114.19999999999999,-116.39999999999998,-2.4,-12.0,3.4000000000000004,0.8000000000000003,0.4,21_22,0.0,11.0
960,Hellas Verona,2022-01-09,P,1.4000000000000001,Salernitana,6.199999999999999,1.0,0.2,0.2,63.80000000000001,103.80000000000001,0.7999999999999998,15.600000000000001,0.5999999999999996,0.8,0.2,21_22,6.0,1.0
961,Empoli,2022-01-09,P,0.6000000000000001,Sassuolo,-1.0,0.0,0.4,0.4,-146.8,-142.39999999999998,-0.40000000000000036,-8.600000000000001,2.1999999999999993,-0.20000000000000018,-0.2,21_22,3.0,8.0
962,Genoa,2022-01-09,P,-0.4,Spezia,-4.3999999999999995,-1.2000000000000002,0.0,0.0,20.399999999999977,32.799999999999955,-0.3999999999999999,-0.7999999999999972,-2.1999999999999993,-1.1999999999999997,-0.2,21_22,9.0,1.0
963,Torino,2022-01-10,V,-1.4000000000000001,Fiorentina,-3.799999999999999,-2.0000000000000004,-0.2,-0.2,-188.39999999999998,-174.60000000000002,-1.1999999999999997,-12.0,8.8,0.0,0.0,21_22,3.0,5.0
964,Cagliari,2022-01-11,V,-0.7999999999999999,Bologna,1.200000000000001,-0.8000000000000003,-0.2,-0.2,-30.80000000000001,-16.80000000000001,-0.20000000000000018,-1.6000000000000014,2.0,0.0,0.2,21_22,5.0,3.0
965,Salernitana,2022-01-15,P,-1.8000000000000003,Lazio,-2.1999999999999993,-1.4000000000000004,0.2,0.0,-240.2,-239.0,-0.40000000000000036,-19.800000000000004,-0.6000000000000014,-1.0,0.0,21_22,0.0,11.0
966,Sampdoria,2022-01-15,P,-0.40000000000000013,Torino,0.5999999999999996,-0.6000000000000001,0.0,0.0,-27.799999999999955,-28.19999999999999,-1.5999999999999999,-6.399999999999999,-7.0,0.19999999999999996,0.2,21_22,4.0,4.0
967,Juventus,2022-01-15,V,-0.3999999999999999,Udinese,4.199999999999999,-0.1999999999999993,0.0,0.0,112.60000000000002,108.99999999999994,1.8000000000000003,11.399999999999999,-1.4000000000000004,-0.9999999999999998,-0.39999999999999997,21_22,9.0,1.0
968,Sassuolo,2022-01-16,P,1.0,Hellas Verona,2.0,3.0,0.2,0.2,182.40000000000003,143.79999999999995,-2.0,6.600000000000001,1.4000000000000004,0.8,-0.2,21_22,8.0,2.0
969,Roma,2022-01-16,V,1.4000000000000001,Cagliari,4.199999999999999,1.7999999999999998,0.0,0.2,25.80000000000001,18.400000000000034,4.2,2.3999999999999986,-1.1999999999999993,0.3999999999999999,0.39999999999999997,21_22,7.0,1.0
970,Venezia,2022-01-16,N,-0.40000000000000013,Empoli,-4.0,-1.5999999999999996,-0.4,-0.4,-43.0,-37.39999999999998,-1.8000000000000003,-5.200000000000003,1.3999999999999986,0.20000000000000018,0.39999999999999997,21_22,2.0,2.0
971,Atalanta,2022-01-16,N,-0.6000000000000001,Inter,0.3999999999999986,-1.0,0.0,-0.2,-132.0,-97.0,0.6000000000000005,-6.0,4.0,0.40000000000000013,0.0,21_22,1.0,3.0
972,Bologna,2022-01-17,P,0.7999999999999999,Napoli,-12.2,-0.9999999999999996,0.2,0.2,-206.0,-195.60000000000002,-4.6,-13.799999999999997,1.0,1.6,0.0,21_22,3.0,7.0
973,Fiorentina,2022-01-17,V,1.4,Genoa,6.2,3.4,0.2,0.2,175.2,160.59999999999997,0.20000000000000018,18.6,-4.199999999999999,0.0,0.2,21_22,3.0,2.0
974,Milan,2022-01-17,P,1.4000000000000001,Spezia,5.0,0.7999999999999998,0.4,0.6,150.59999999999997,150.39999999999998,0.1999999999999993,14.399999999999999,-2.1999999999999993,-0.8,-0.2,21_22,9.0,2.0
975,Hellas Verona,2022-01-21,V,0.6000000000000001,Bologna,6.399999999999999,0.20000000000000018,0.0,0.0,-23.400000000000034,-14.800000000000011,3.6000000000000005,2.799999999999997,-1.5999999999999996,-0.3999999999999999,0.4,21_22,1.0,6.0
976,Inter,2022-01-22,V,1.5999999999999999,Venezia,6.0,3.9999999999999996,0.0,0.2,236.20000000000005,231.40000000000003,3.4,18.4,-4.800000000000001,-1.0,-0.4,21_22,11.0,0.0
977,Genoa,2022-01-22,N,-1.2000000000000002,Udinese,-7.4,-4.2,0.0,0.0,-13.800000000000011,-3.0,-0.5999999999999996,-2.200000000000003,-0.1999999999999993,0.0,-0.2,21_22,0.0,6.0
978,Lazio,2022-01-22,N,0.8,Atalanta,-4.199999999999999,-0.1999999999999993,0.0,0.2,97.20000000000005,54.39999999999998,-1.4000000000000004,0.20000000000000284,0.5999999999999996,1.4,0.0,21_22,1.0,4.0
979,Torino,2022-01-23,N,-0.19999999999999996,Sassuolo,-4.399999999999999,-0.7999999999999998,-0.2,-0.2,-95.39999999999998,-74.39999999999998,-0.7999999999999998,-3.4000000000000057,4.199999999999999,-1.4,0.0,21_22,6.0,1.0
980,Spezia,2022-01-23,V,0.3999999999999999,Sampdoria,0.0,1.0,0.0,0.0,-45.60000000000002,-54.39999999999998,1.9999999999999998,-3.6000000000000014,5.199999999999999,1.7999999999999998,0.0,21_22,3.0,7.0
981,Cagliari,2022-01-23,N,-1.8,Fiorentina,-7.200000000000001,-3.3999999999999995,0.0,-0.2,-183.8,-163.59999999999997,-2.2,-15.0,7.0,1.7999999999999998,0.0,21_22,4.0,3.0
982,Milan,2022-01-23,N,0.0,Juventus,2.400000000000002,0.40000000000000036,0.4,0.8,-32.19999999999999,-20.0,1.1999999999999993,1.1999999999999957,-1.200000000000001,0.19999999999999996,-0.2,21_22,2.0,7.0
983,Napoli,2022-01-23,V,0.6,Salernitana,9.4,1.4000000000000004,-0.2,-0.2,324.0,333.20000000000005,3.4,30.200000000000003,2.8000000000000007,-0.6000000000000001,0.0,21_22,11.0,0.0
984,Empoli,2022-01-23,P,-0.3999999999999999,Roma,2.5999999999999996,-0.40000000000000036,0.2,0.0,23.80000000000001,18.0,-1.0,3.6000000000000014,0.40000000000000036,-0.40000000000000036,-0.2,21_22,0.0,11.0
985,Fiorentina,2022-02-05,P,0.0,Lazio,4.4,1.2000000000000002,0.0,0.2,-101.00000000000006,-88.0,0.5999999999999996,3.0,-3.6000000000000014,-0.7999999999999998,0.4,21_22,1.0,8.0
986,Roma,2022-02-05,N,1.8,Genoa,8.4,4.6,0.2,0.4,126.60000000000002,111.40000000000003,1.4000000000000004,11.600000000000001,-3.8000000000000007,0.6000000000000001,0.2,21_22,6.0,0.0
987,Inter,2022-02-05,P,-0.20000000000000018,Milan,0.0,0.40000000000000036,-0.4,-0.8,149.20000000000005,153.39999999999998,0.7999999999999998,9.0,-1.4000000000000004,-0.40000000000000013,0.0,21_22,7.0,2.0
988,Sampdoria,2022-02-06,V,-1.2000000000000002,Sassuolo,-8.4,-4.4,-0.2,-0.2,-145.8,-133.40000000000003,-4.0,-14.0,-0.8000000000000007,-0.3999999999999999,0.4,21_22,2.0,6.0
989,Bologna,2022-02-06,N,-0.8,Empoli,-4.800000000000001,-1.1999999999999997,-0.4,-0.4,-45.60000000000002,-28.0,0.20000000000000018,-4.0,-2.799999999999999,-0.19999999999999973,-0.2,21_22,7.0,3.0
990,Udinese,2022-02-06,V,-0.20000000000000018,Torino,-4.6,-1.9999999999999996,0.0,0.0,-97.39999999999998,-107.80000000000001,-1.4,-13.799999999999997,-3.599999999999998,0.7999999999999998,0.2,21_22,4.0,6.0
991,Venezia,2022-02-06,P,-0.8,Napoli,-10.8,-4.0,-0.4,-0.4,-316.59999999999997,-312.2,-5.2,-23.60000000000001,2.0,1.5999999999999999,0.4,21_22,0.0,11.0
992,Atalanta,2022-02-06,P,0.3999999999999999,Cagliari,4.0,1.7999999999999998,0.0,-0.2,170.39999999999998,169.20000000000005,2.4,9.599999999999994,-4.400000000000002,-1.4000000000000001,0.0,21_22,5.0,6.0
993,Juventus,2022-02-06,V,-0.19999999999999996,Hellas Verona,-2.799999999999999,-1.4,-0.2,-0.2,115.80000000000001,81.79999999999995,-4.199999999999999,0.20000000000000284,-1.0,-0.40000000000000013,0.0,21_22,7.0,2.0
994,Salernitana,2022-02-07,N,-0.6,Spezia,-2.799999999999999,-1.2000000000000002,0.2,0.2,-59.599999999999966,-79.39999999999998,-1.0,-12.000000000000004,-5.0,-1.0,0.0,21_22,0.0,4.0
995,Lazio,2022-02-12,V,1.0,Bologna,2.4000000000000004,1.8000000000000003,0.0,0.2,232.80000000000007,206.60000000000002,2.0,11.400000000000006,2.0,0.40000000000000036,0.0,21_22,5.0,2.0
996,Torino,2022-02-12,P,0.7999999999999999,Venezia,4.6,2.8,0.0,0.0,33.0,56.60000000000002,1.8000000000000003,12.799999999999997,7.4,-0.20000000000000018,-0.39999999999999997,21_22,8.0,1.0
997,Napoli,2022-02-12,N,0.8,Inter,2.599999999999998,0.8000000000000007,0.4,0.4,158.60000000000002,154.0,1.7999999999999998,7.799999999999997,-3.0,-1.0,0.0,21_22,1.0,6.0
998,Atalanta,2022-02-13,N,-0.40000000000000013,Juventus,-0.6000000000000014,0.0,0.0,0.0,17.0,50.200000000000045,0.7999999999999998,1.5999999999999943,1.200000000000001,-0.19999999999999996,0.0,21_22,2.0,3.0
999,Hellas Verona,2022-02-13,V,0.19999999999999996,Udinese,9.400000000000002,2.0,0.0,0.0,115.19999999999999,119.0,4.199999999999999,15.400000000000006,2.0,-0.6000000000000001,0.2,21_22,2.0,5.0
1000,Sassuolo,2022-02-13,N,0.0,Roma,2.799999999999997,1.3999999999999995,0.0,-0.2,110.39999999999998,105.80000000000001,1.1999999999999993,7.199999999999996,-2.1999999999999993,-1.0,-0.6,21_22,1.0,5.0
1001,Empoli,2022-02-13,N,0.0,Cagliari,4.0,1.1999999999999997,0.2,0.0,34.599999999999966,12.200000000000045,0.19999999999999973,0.7999999999999972,-3.200000000000001,-0.20000000000000018,0.2,21_22,3.0,6.0
1002,Genoa,2022-02-13,N,-0.8,Salernitana,1.2000000000000002,-1.0,-0.2,-0.2,-0.4000000000000057,25.19999999999999,2.0,6.0,6.999999999999998,-0.20000000000000018,0.2,21_22,8.0,2.0
1003,Milan,2022-02-13,V,0.6000000000000001,Sampdoria,7.599999999999998,2.4,0.2,0.6000000000000001,118.59999999999997,103.60000000000002,3.5999999999999996,12.200000000000003,-0.20000000000000107,0.8,-0.2,21_22,6.0,2.0
1004,Spezia,2022-02-14,P,-0.20000000000000018,Fiorentina,-2.3999999999999986,-0.7999999999999998,0.4,0.0,-181.0,-172.40000000000003,-1.2000000000000002,-17.4,7.199999999999999,1.2000000000000002,-0.2,21_22,0.0,9.0
1005,Juventus,2022-02-18,N,0.19999999999999996,Torino,-1.4000000000000004,-0.8000000000000007,0.0,0.0,68.19999999999999,43.400000000000034,-0.6000000000000005,-4.600000000000001,-4.799999999999999,-0.5999999999999996,0.0,21_22,8.0,0.0
1006,Sampdoria,2022-02-19,V,0.0,Empoli,-7.0,-3.2,0.2,0.2,-27.599999999999966,-26.19999999999999,-2.5999999999999996,-4.199999999999996,-2.5999999999999996,-0.9999999999999998,0.0,21_22,10.0,1.0
1007,Salernitana,2022-02-19,N,-0.19999999999999996,Milan,-8.4,-2.5999999999999996,0.0,-0.2,-195.2,-189.39999999999998,-2.5999999999999996,-18.0,-2.4000000000000004,0.0,0.0,21_22,0.0,10.0
1008,Roma,2022-02-19,N,-0.20000000000000018,Hellas Verona,1.4000000000000004,1.0,0.2,0.39999999999999997,18.600000000000023,7.2000000000000455,-3.3999999999999995,-0.6000000000000014,-1.8000000000000007,0.3999999999999999,0.0,21_22,8.0,2.0
1009,Venezia,2022-02-20,N,0.6000000000000001,Genoa,-2.8000000000000007,0.3999999999999999,0.0,0.0,7.199999999999989,-18.599999999999966,-2.6,-7.200000000000003,-8.999999999999998,-0.3999999999999999,0.19999999999999996,21_22,0.0,8.0
1010,Udinese,2022-02-20,N,-1.2,Lazio,1.0,-1.5999999999999996,0.0,0.0,-284.59999999999997,-251.8,1.0,-12.200000000000003,-3.0,-0.3999999999999999,0.0,21_22,1.0,7.0
1011,Fiorentina,2022-02-20,V,0.19999999999999996,Atalanta,1.0,1.0,0.0,0.6,18.399999999999977,6.7999999999999545,0.40000000000000036,11.0,-1.3999999999999986,0.0,0.2,21_22,3.0,4.0
1012,Inter,2022-02-20,P,-0.8,Sassuolo,-1.799999999999999,-0.5999999999999996,-0.2,-0.2,126.40000000000003,123.79999999999995,-1.5999999999999996,5.0,1.0,-0.9999999999999998,-0.2,21_22,5.0,4.0
1013,Cagliari,2022-02-21,N,-0.8,Napoli,-6.400000000000002,-3.2,-0.6,-0.39999999999999997,-352.99999999999994,-329.6,-4.0,-18.800000000000004,7.0,2.5999999999999996,0.0,21_22,2.0,7.0
1014,Bologna,2022-02-21,V,-0.9999999999999999,Spezia,-0.20000000000000107,-0.6000000000000001,-0.4,-0.4,73.19999999999999,84.80000000000001,-0.6000000000000001,5.600000000000001,-7.399999999999999,-0.3999999999999999,0.0,21_22,9.0,0.0
1015,Genoa,2022-02-25,N,-0.4,Inter,-6.600000000000001,-3.4,0.0,0.0,-284.20000000000005,-249.19999999999993,-0.40000000000000036,-14.0,7.0,0.9999999999999998,0.4,21_22,1.0,9.0
1016,Milan,2022-02-25,N,0.6,Udinese,3.0,2.8000000000000003,-0.2,0.0,132.60000000000002,114.59999999999997,0.39999999999999947,10.0,0.20000000000000107,0.3999999999999999,0.2,21_22,4.0,2.0
1017,Sassuolo,2022-02-26,V,-0.6000000000000001,Fiorentina,0.0,-0.6000000000000005,0.0,-0.6,-83.80000000000001,-77.40000000000003,1.1999999999999993,-9.0,-1.1999999999999993,0.6000000000000001,-0.2,21_22,5.0,3.0
1018,Salernitana,2022-02-26,N,0.6,Bologna,-4.6000000000000005,-0.7999999999999998,0.0,0.0,-115.79999999999995,-121.39999999999998,-0.7999999999999998,-10.399999999999999,3.200000000000001,0.20000000000000018,0.2,21_22,0.0,10.0
1019,Empoli,2022-02-26,P,-0.3999999999999999,Juventus,2.8000000000000007,0.7999999999999998,0.0,0.0,-81.19999999999999,-73.20000000000005,-1.0,-1.3999999999999986,0.40000000000000036,1.1999999999999997,0.0,21_22,2.0,9.0
1020,Lazio,2022-02-27,P,0.0,Napoli,-3.1999999999999993,-1.2000000000000002,-0.39999999999999997,-0.39999999999999997,2.3999999999999773,-13.399999999999977,0.40000000000000036,-2.200000000000003,0.8000000000000007,1.2,0.0,21_22,3.0,8.0
1021,Hellas Verona,2022-02-27,V,1.4,Venezia,2.5999999999999996,1.0,0.2,0.2,85.6,94.80000000000001,0.9999999999999996,10.0,3.1999999999999993,-0.3999999999999999,-0.4,21_22,9.0,0.0
1022,Spezia,2022-02-27,P,-0.40000000000000013,Roma,-5.800000000000001,-3.0,0.0,0.0,-138.39999999999998,-158.59999999999997,-0.7999999999999998,-15.0,4.799999999999999,0.0,-0.2,21_22,0.0,10.0
1023,Torino,2022-02-27,P,0.0,Cagliari,2.8000000000000007,1.5999999999999996,0.0,-0.2,99.39999999999998,97.19999999999999,3.8,13.399999999999999,1.3999999999999986,-0.20000000000000018,0.2,21_22,3.0,3.0
1024,Atalanta,2022-02-28,V,-0.9999999999999999,Sampdoria,3.0,0.6000000000000001,-0.2,-0.2,85.0,78.0,1.1999999999999997,2.200000000000003,1.9999999999999982,0.3999999999999999,0.0,21_22,5.0,4.0
1025,Inter,2022-03-04,V,-0.5999999999999999,Salernitana,9.200000000000001,2.4,0.0,0.0,212.0,209.79999999999995,3.4000000000000004,15.0,-0.5999999999999996,-1.0,-0.2,21_22,11.0,0.0
1026,Roma,2022-03-05,V,0.6000000000000001,Atalanta,5.000000000000002,1.6000000000000005,0.4,0.4,-42.60000000000002,-31.0,0.5999999999999996,4.0,-1.799999999999999,0.20000000000000018,0.0,21_22,3.0,5.0
1027,Cagliari,2022-03-05,P,-0.20000000000000018,Lazio,0.8000000000000007,-0.7999999999999998,-0.2,0.0,-261.8,-226.00000000000006,-1.6,-9.600000000000001,6.6,0.6000000000000001,0.0,21_22,0.0,9.0
1028,Udinese,2022-03-05,V,-0.3999999999999999,Sampdoria,3.999999999999999,1.0,0.0,0.0,-92.60000000000002,-80.60000000000002,2.8,-2.200000000000003,2.5999999999999996,0.3999999999999999,-0.2,21_22,3.0,7.0
1029,Napoli,2022-03-06,P,0.8,Milan,2.4000000000000004,1.7999999999999998,0.6,0.6,185.39999999999998,189.59999999999997,1.2000000000000002,6.399999999999999,-1.4000000000000004,-1.6,-0.2,21_22,4.0,2.0
1030,Fiorentina,2022-03-06,N,-1.2000000000000002,Hellas Verona,1.4000000000000004,-1.0,0.0,0.4,37.200000000000045,5.0,1.3999999999999995,4.200000000000003,-0.7999999999999989,0.6000000000000001,0.6,21_22,4.0,3.0
1031,Genoa,2022-03-06,N,-0.6,Empoli,-2.4000000000000004,-1.6,0.0,0.0,-148.6,-117.80000000000001,-0.40000000000000036,-6.799999999999997,4.799999999999999,0.19999999999999973,0.4,21_22,8.0,0.0
1032,Juventus,2022-03-06,V,0.3999999999999999,Spezia,3.1999999999999993,2.8000000000000003,-0.4,-0.4,125.39999999999998,129.40000000000003,2.4,9.600000000000001,-5.0,-1.2000000000000002,-0.2,21_22,11.0,0.0
1033,Bologna,2022-03-06,N,0.0,Torino,-1.4000000000000004,-0.20000000000000018,0.0,0.0,7.199999999999989,-9.0,-1.5999999999999996,-7.200000000000003,-7.0,-0.3999999999999999,-0.2,21_22,1.0,4.0
1034,Venezia,2022-03-06,P,-0.3999999999999999,Sassuolo,-6.4,-1.7999999999999998,0.0,0.0,-146.00000000000003,-114.59999999999997,-1.6,-12.199999999999996,-2.0,0.0,0.2,21_22,0.0,11.0
1035,Sampdoria,2022-03-12,P,-0.20000000000000018,Juventus,-4.8,-2.2,0.2,0.2,-38.799999999999955,-31.0,-3.3999999999999995,-2.0,1.3999999999999986,0.6000000000000001,0.0,21_22,2.0,9.0
