,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,prediction
97,Lazio,2019-10-30,V,1.2000000000000002,Torino,2.0,1.6,0.2,0.6000000000000001,-1.0,-2.1999999999999993,0.6000000000000001,0.0,19_20,4.0,2.0,V
98,Milan,2019-10-31,V,0.7999999999999999,SPAL,1.5999999999999996,0.0,0.4,0.4,10.799999999999997,1.0,0.0,0.6000000000000001,19_20,9.0,0.0,V
99,Roma,2019-11-02,V,0.20000000000000018,Napoli,-3.200000000000001,-1.5999999999999996,0.2,0.4,-2.6000000000000014,3.1999999999999993,0.7999999999999998,0.4,19_20,2.0,5.0,N
100,Bologna,2019-11-02,P,-1.0,Inter,-3.8000000000000007,-0.40000000000000036,-0.39999999999999997,-0.39999999999999997,-4.400000000000006,1.3999999999999986,-0.3999999999999999,0.2,19_20,3.0,6.0,P
101,Torino,2019-11-02,P,-1.2000000000000002,Juventus,-12.2,-4.6,-0.2,-0.2,-12.199999999999996,0.7999999999999989,-0.3999999999999999,0.2,19_20,0.0,7.0,N
102,Fiorentina,2019-11-03,N,-0.6000000000000001,Parma,-2.3999999999999986,0.1999999999999993,0.2,0.2,3.0,1.8000000000000007,1.7999999999999998,0.2,19_20,5.0,2.0,V
103,Atalanta,2019-11-03,P,2.1999999999999997,Cagliari,8.600000000000001,5.6,0.2,0.2,9.0,-0.5999999999999996,-0.7999999999999998,0.0,19_20,5.0,5.0,V
104,Genoa,2019-11-03,P,0.6,Udinese,1.8000000000000007,2.1999999999999997,0.0,0.2,9.199999999999996,1.5999999999999996,0.19999999999999973,0.6000000000000001,19_20,0.0,5.0,P
105,Milan,2019-11-03,P,-1.6,Lazio,-0.1999999999999993,-1.2000000000000002,-0.39999999999999997,-0.8,4.600000000000001,0.40000000000000036,0.20000000000000018,0.39999999999999997,19_20,6.0,3.0,N
106,Lecce,2019-11-03,N,-0.19999999999999996,Sassuolo,-1.1999999999999993,-0.39999999999999947,0.2,0.4,-14.799999999999997,-1.200000000000001,0.0,0.2,19_20,0.0,9.0,V
107,Hellas Verona,2019-11-03,V,0.0,Brescia,-0.6000000000000014,0.3999999999999999,0.0,0.0,9.399999999999999,5.800000000000001,1.2000000000000002,0.0,19_20,7.0,1.0,V
108,SPAL,2019-11-04,P,-0.19999999999999996,Sampdoria,-5.799999999999999,0.19999999999999973,0.0,0.0,-3.3999999999999986,-0.1999999999999993,1.0,0.2,19_20,1.0,9.0,N
109,Sassuolo,2019-11-08,V,0.0,Bologna,0.5999999999999996,0.40000000000000036,-0.2,-0.2,4.399999999999999,-2.5999999999999996,0.7999999999999998,-0.2,19_20,4.0,4.0,N
110,Brescia,2019-11-09,P,0.6000000000000001,Torino,1.0,0.0,0.0,0.0,-3.1999999999999957,-4.000000000000002,0.20000000000000018,0.0,19_20,0.0,10.0,P
111,Inter,2019-11-09,V,1.2000000000000002,Hellas Verona,4.0,1.2000000000000002,0.8,0.8,5.0,1.3999999999999986,0.0,0.0,19_20,9.0,0.0,V
112,Napoli,2019-11-09,N,-0.19999999999999996,Genoa,2.5999999999999996,0.20000000000000018,0.0,-0.2,1.2000000000000028,-2.599999999999998,-0.6000000000000001,-0.8,19_20,7.0,1.0,V
113,Sampdoria,2019-11-10,N,-2.4,Atalanta,-5.800000000000001,-4.3999999999999995,-0.4,-0.4,-10.0,2.1999999999999993,0.5999999999999996,-0.2,19_20,4.0,5.0,P
114,Juventus,2019-11-10,V,0.20000000000000018,Milan,8.2,3.2,0.2,0.2,5.200000000000003,0.1999999999999993,-0.7999999999999998,-0.2,19_20,6.0,2.0,V
115,Parma,2019-11-10,V,-0.19999999999999996,Roma,0.1999999999999993,0.0,-0.4,-0.6,-9.600000000000001,-3.200000000000001,-1.6,-0.6,19_20,2.0,8.0,P
116,Udinese,2019-11-10,N,0.6,SPAL,0.7999999999999989,0.0,0.0,0.0,-4.0,-2.0,-1.4000000000000004,0.0,19_20,6.0,1.0,V
117,Cagliari,2019-11-10,V,0.8,Fiorentina,-2.6000000000000014,-1.0000000000000004,0.2,0.2,-7.799999999999997,-2.200000000000001,0.20000000000000018,-0.2,19_20,3.0,3.0,P
118,Lazio,2019-11-10,V,1.2000000000000002,Lecce,2.5999999999999996,1.2000000000000002,0.39999999999999997,0.6,12.600000000000001,0.5999999999999996,0.7999999999999998,0.0,19_20,9.0,1.0,V
119,Atalanta,2019-11-23,P,1.0,Juventus,-3.799999999999997,-1.7999999999999998,0.0,0.0,-4.200000000000003,-2.0,0.3999999999999999,0.2,19_20,2.0,2.0,P
120,Milan,2019-11-23,N,-0.19999999999999996,Napoli,-2.6000000000000014,-1.0,0.0,0.0,0.0,0.0,1.4,0.0,19_20,2.0,4.0,N
121,Torino,2019-11-23,P,-1.4,Inter,-10.0,-2.6,-0.19999999999999996,-0.19999999999999996,-6.199999999999996,1.3999999999999986,-0.40000000000000036,0.2,19_20,2.0,5.0,P
122,Hellas Verona,2019-11-24,V,-0.3999999999999999,Fiorentina,-3.200000000000001,-2.4,0.2,0.2,-4.0,-1.8000000000000007,-0.3999999999999999,-0.2,19_20,2.0,4.0,N
123,Sassuolo,2019-11-24,P,-1.0,Lazio,-1.3999999999999986,-1.0,-0.8,-1.0,-1.1999999999999957,2.6000000000000014,0.0,0.0,19_20,3.0,5.0,N
124,Bologna,2019-11-24,N,-0.6000000000000001,Parma,-4.800000000000001,-2.1999999999999997,0.2,0.2,7.800000000000004,3.8000000000000007,0.9999999999999998,0.0,19_20,7.0,0.0,V
125,Roma,2019-11-24,V,1.0,Brescia,2.6000000000000014,1.0,0.4,0.6,7.600000000000001,0.1999999999999993,0.0,0.19999999999999996,19_20,10.0,0.0,V
126,Sampdoria,2019-11-24,V,-0.4,Udinese,0.1999999999999993,0.19999999999999973,0.0,0.0,-2.6000000000000014,1.8000000000000007,-0.3999999999999999,-0.2,19_20,6.0,3.0,V
127,Lecce,2019-11-25,N,-1.0,Cagliari,-1.4000000000000004,0.40000000000000036,0.2,0.6,-7.799999999999997,-1.5999999999999996,0.3999999999999999,0.2,19_20,0.0,8.0,P
