,h_team,a_team,date,matchday,result
0,Atalanta,Cagliari,2022-02-06,Giornata n. 24,P
0,Sampdoria,Sassuolo,2022-02-06,Giornata n. 24,V
0,Bologna,Empoli,2022-02-06,Giornata n. 24,N
0,Venezia,Napoli,2022-02-06,Giornata n. 24,P
0,Udinese,Torino,2022-02-06,Giornata n. 24,V
0,Juventus,Hellas Verona,2022-02-06,Giornata n. 24,V
0,Salernitana,Spezia,2022-02-07,Giornata n. 24,N
0,Torino,Venezia,2022-02-12,Giornata n. 25,P
0,Lazio,Bologna,2022-02-12,Giornata n. 25,V
0,Napoli,Inter,2022-02-12,Giornata n. 25,N
0,Sassuolo,Roma,2022-02-13,Giornata n. 25,N
0,Atalanta,Juventus,2022-02-13,Giornata n. 25,N
0,Hellas Verona,Udinese,2022-02-13,Giornata n. 25,V
0,Milan,Sampdoria,2022-02-13,Giornata n. 25,V
0,Genoa,Salernitana,2022-02-13,Giornata n. 25,N
0,Empoli,Cagliari,2022-02-13,Giornata n. 25,N
0,Spezia,Fiorentina,2022-02-14,Giornata n. 25,P
0,Juventus,Torino,2022-02-18,Giornata n. 26,N
0,Sampdoria,Empoli,2022-02-19,Giornata n. 26,V
0,Salernitana,Milan,2022-02-19,Giornata n. 26,N
0,Roma,Hellas Verona,2022-02-19,Giornata n. 26,N
0,Fiorentina,Atalanta,2022-02-20,Giornata n. 26,V
0,Inter,Sassuolo,2022-02-20,Giornata n. 26,P
0,Udinese,Lazio,2022-02-20,Giornata n. 26,N
0,Venezia,Genoa,2022-02-20,Giornata n. 26,N
0,Bologna,Spezia,2022-02-21,Giornata n. 26,V
0,Cagliari,Napoli,2022-02-21,Giornata n. 26,N
0,Milan,Udinese,2022-02-25,Giornata n. 27,N
0,Genoa,Inter,2022-02-25,Giornata n. 27,N
0,Salernitana,Bologna,2022-02-26,Giornata n. 27,N
0,Empoli,Juventus,2022-02-26,Giornata n. 27,P
0,Sassuolo,Fiorentina,2022-02-26,Giornata n. 27,V
0,Lazio,Napoli,2022-02-27,Giornata n. 27,P
0,Hellas Verona,Venezia,2022-02-27,Giornata n. 27,V
0,Spezia,Roma,2022-02-27,Giornata n. 27,P
0,Torino,Cagliari,2022-02-27,Giornata n. 27,P
0,Atalanta,Sampdoria,2022-02-28,Giornata n. 27,V
0,Inter,Salernitana,2022-03-04,Giornata n. 28,V
0,Cagliari,Lazio,2022-03-05,Giornata n. 28,P
0,Roma,Atalanta,2022-03-05,Giornata n. 28,V
0,Udinese,Sampdoria,2022-03-05,Giornata n. 28,V
0,Bologna,Torino,2022-03-06,Giornata n. 28,N
0,Genoa,Empoli,2022-03-06,Giornata n. 28,N
0,Juventus,Spezia,2022-03-06,Giornata n. 28,V
0,Venezia,Sassuolo,2022-03-06,Giornata n. 28,P
0,Fiorentina,Hellas Verona,2022-03-06,Giornata n. 28,N
0,Napoli,Milan,2022-03-06,Giornata n. 28,P
0,Spezia,Cagliari,2022-03-12,Giornata n. 29,V
0,Salernitana,Sassuolo,2022-03-12,Giornata n. 29,N
0,Sampdoria,Juventus,2022-03-12,Giornata n. 29,P
0,Milan,Empoli,2022-03-12,Giornata n. 29,V
0,Fiorentina,Bologna,2022-03-13,Giornata n. 29,V
0,Hellas Verona,Napoli,2022-03-13,Giornata n. 29,P
0,Torino,Inter,2022-03-13,Giornata n. 29,N
0,Atalanta,Genoa,2022-03-13,Giornata n. 29,N
0,Udinese,Roma,2022-03-13,Giornata n. 29,N
0,Lazio,Venezia,2022-03-14,Giornata n. 29,V
0,Genoa,Torino,2022-03-18,Giornata n. 30,V
0,Sassuolo,Spezia,2022-03-18,Giornata n. 30,V
0,Inter,Fiorentina,2022-03-19,Giornata n. 30,N
0,Napoli,Udinese,2022-03-19,Giornata n. 30,V
0,Cagliari,Milan,2022-03-19,Giornata n. 30,P
0,Bologna,Atalanta,2022-03-20,Giornata n. 30,P
0,Empoli,Hellas Verona,2022-03-20,Giornata n. 30,N
0,Venezia,Sampdoria,2022-03-20,Giornata n. 30,P
0,Roma,Lazio,2022-03-20,Giornata n. 30,V
0,Juventus,Salernitana,2022-03-20,Giornata n. 30,V
0,Spezia,Venezia,2022-04-02,Giornata n. 31,V
0,Lazio,Sassuolo,2022-04-02,Giornata n. 31,V
0,Salernitana,Torino,2022-04-02,Giornata n. 31,P
0,Sampdoria,Roma,2022-04-03,Giornata n. 31,P
0,Udinese,Cagliari,2022-04-03,Giornata n. 31,V
0,Atalanta,Napoli,2022-04-03,Giornata n. 31,P
0,Juventus,Inter,2022-04-03,Giornata n. 31,P
0,Fiorentina,Empoli,2022-04-03,Giornata n. 31,V
0,Milan,Bologna,2022-04-04,Giornata n. 31,N
0,Hellas Verona,Genoa,2022-04-04,Giornata n. 31,V
0,Cagliari,Juventus,2022-04-09,Giornata n. 32,P
0,Inter,Hellas Verona,2022-04-09,Giornata n. 32,V
0,Empoli,Spezia,2022-04-09,Giornata n. 32,N
0,Torino,Milan,2022-04-10,Giornata n. 32,N
0,Roma,Salernitana,2022-04-10,Giornata n. 32,V
0,Sassuolo,Atalanta,2022-04-10,Giornata n. 32,V
0,Napoli,Fiorentina,2022-04-10,Giornata n. 32,P
0,Venezia,Udinese,2022-04-10,Giornata n. 32,P
0,Genoa,Lazio,2022-04-10,Giornata n. 32,P
0,Bologna,Sampdoria,2022-04-11,Giornata n. 32,V
0,Milan,Genoa,2022-04-15,Giornata n. 33,V
0,Spezia,Inter,2022-04-15,Giornata n. 33,P
0,Lazio,Torino,2022-04-16,Giornata n. 33,N
0,Juventus,Bologna,2022-04-16,Giornata n. 33,N
0,Cagliari,Sassuolo,2022-04-16,Giornata n. 33,V
0,Sampdoria,Salernitana,2022-04-16,Giornata n. 33,P
0,Udinese,Empoli,2022-04-16,Giornata n. 33,V
0,Fiorentina,Venezia,2022-04-16,Giornata n. 33,V
0,Napoli,Roma,2022-04-18,Giornata n. 33,N
0,Atalanta,Hellas Verona,2022-04-18,Giornata n. 33,P
0,Udinese,Salernitana,2022-04-20,Giornata n. 19,P
0,Hellas Verona,Sampdoria,2022-04-23,Giornata n. 34,N
0,Inter,Roma,2022-04-23,Giornata n. 34,V
0,Torino,Spezia,2022-04-23,Giornata n. 34,V
0,Venezia,Atalanta,2022-04-23,Giornata n. 34,P
0,Genoa,Cagliari,2022-04-24,Giornata n. 34,V
0,Bologna,Udinese,2022-04-24,Giornata n. 34,N
0,Salernitana,Fiorentina,2022-04-24,Giornata n. 34,V
0,Empoli,Napoli,2022-04-24,Giornata n. 34,V
0,Lazio,Milan,2022-04-24,Giornata n. 34,P
0,Sassuolo,Juventus,2022-04-25,Giornata n. 34,P
0,Atalanta,Torino,2022-04-27,Giornata n. 20,N
0,Bologna,Inter,2022-04-27,Giornata n. 20,V
0,Fiorentina,Udinese,2022-04-27,Giornata n. 20,P
0,Cagliari,Hellas Verona,2022-04-30,Giornata n. 35,P
0,Spezia,Lazio,2022-04-30,Giornata n. 35,P
0,Sampdoria,Genoa,2022-04-30,Giornata n. 35,V
0,Napoli,Sassuolo,2022-04-30,Giornata n. 35,V
0,Juventus,Venezia,2022-05-01,Giornata n. 35,V
0,Roma,Bologna,2022-05-01,Giornata n. 35,N
0,Milan,Fiorentina,2022-05-01,Giornata n. 35,V
0,Empoli,Torino,2022-05-01,Giornata n. 35,P
0,Udinese,Inter,2022-05-01,Giornata n. 35,P
0,Atalanta,Salernitana,2022-05-02,Giornata n. 35,N
0,Salernitana,Venezia,2022-05-05,Giornata n. 20,V
0,Inter,Empoli,2022-05-06,Giornata n. 36,V
0,Genoa,Juventus,2022-05-06,Giornata n. 36,V
0,Lazio,Sampdoria,2022-05-07,Giornata n. 36,V
0,Torino,Napoli,2022-05-07,Giornata n. 36,P
0,Sassuolo,Udinese,2022-05-07,Giornata n. 36,N
0,Hellas Verona,Milan,2022-05-08,Giornata n. 36,P
0,Salernitana,Cagliari,2022-05-08,Giornata n. 36,N
0,Venezia,Bologna,2022-05-08,Giornata n. 36,V
0,Spezia,Atalanta,2022-05-08,Giornata n. 36,P
0,Fiorentina,Roma,2022-05-09,Giornata n. 36,V
0,Udinese,Spezia,2022-05-14,Giornata n. 37,P
0,Hellas Verona,Torino,2022-05-14,Giornata n. 37,P
0,Roma,Venezia,2022-05-14,Giornata n. 37,N
0,Empoli,Salernitana,2022-05-14,Giornata n. 37,N
0,Cagliari,Inter,2022-05-15,Giornata n. 37,P
0,Bologna,Sassuolo,2022-05-15,Giornata n. 37,P
0,Napoli,Genoa,2022-05-15,Giornata n. 37,V
0,Milan,Atalanta,2022-05-15,Giornata n. 37,V
0,Juventus,Lazio,2022-05-16,Giornata n. 37,N
0,Sampdoria,Fiorentina,2022-05-16,Giornata n. 37,V
0,Torino,Roma,2022-05-20,Giornata n. 38,P
0,Lazio,Hellas Verona,2022-05-21,Giornata n. 38,N
0,Genoa,Bologna,2022-05-21,Giornata n. 38,P
0,Fiorentina,Juventus,2022-05-21,Giornata n. 38,V
0,Atalanta,Empoli,2022-05-21,Giornata n. 38,P
0,Sassuolo,Milan,2022-05-22,Giornata n. 38,P
0,Salernitana,Udinese,2022-05-22,Giornata n. 38,P
0,Inter,Sampdoria,2022-05-22,Giornata n. 38,V
0,Spezia,Napoli,2022-05-22,Giornata n. 38,P
0,Venezia,Cagliari,2022-05-22,Giornata n. 38,N
