,h_team,Risultato,h_goals,a_team,a_goals,h_total_shots,h_shots_on_target,h_goals_on_penalty,h_total_penalties,h_completed_passings,h_total_passings,h_corners,h_percentage_possession,h_fouls,h_yellow_cards,h_red_cards,a_total_shots,a_shots_on_target,a_goals_on_penalty,a_total_penalties,a_corners,a_yellow_cards,a_red_cards,a_fouls,a_completed_passings,a_total_passings,a_percentage_possession
0,Torino,V,2,Udinese,1,14.0,3.0,0,0,367.0,479.0,4.0,51.0,20.0,1,0,18.0,7.0,0,0,7.0,3,0,21.0,351.0,461.0,49.0
0,Hellas Verona,V,2,Empoli,1,22.0,4.0,0,0,403.0,515.0,1.0,56.0,8.0,1,0,9.0,3.0,0,0,3.0,3,0,14.0,278.0,401.0,44.0
0,Cagliari,N,1,Salernitana,1,19.0,3.0,0,0,401.0,505.0,7.0,57.0,16.0,3,0,8.0,2.0,0,0,6.0,1,0,10.0,273.0,374.0,43.0
0,Sampdoria,V,3,Hellas Verona,1,15.0,6.0,0,0,246.0,365.0,4.0,42.0,16.0,4,0,15.0,4.0,0,0,5.0,1,0,17.0,405.0,495.0,58.0
0,Venezia,P,0,Inter,2,6.0,1.0,0,0,412.0,492.0,3.0,44.0,13.0,2,0,26.0,10.0,1,1,9.0,0,0,8.0,540.0,619.0,56.0
0,Empoli,V,2,Fiorentina,1,17.0,5.0,0,0,374.0,475.0,8.0,51.0,18.0,1,0,16.0,7.0,0,0,5.0,1,0,11.0,372.0,465.0,49.0
0,Juventus,P,0,Atalanta,1,15.0,2.0,0,0,491.0,586.0,6.0,59.0,16.0,4,0,7.0,1.0,0,0,4.0,5,0,23.0,307.0,405.0,41.0
0,Udinese,N,0,Genoa,0,16.0,3.0,0,0,323.0,416.0,8.0,43.0,19.0,3,0,9.0,2.0,0,0,1.0,4,0,11.0,446.0,554.0,57.0
0,Spezia,P,0,Bologna,1,14.0,6.0,0,0,330.0,419.0,3.0,43.0,17.0,3,0,16.0,4.0,1,1,6.0,1,0,12.0,463.0,561.0,57.0
0,Milan,P,1,Sassuolo,3,15.0,2.0,0,0,357.0,452.0,7.0,50.0,15.0,4,1,15.0,5.0,0,0,6.0,2,0,8.0,367.0,458.0,50.0
0,Napoli,V,4,Lazio,0,18.0,8.0,0,0,759.0,822.0,1.0,62.0,12.0,2,0,6.0,2.0,0,0,3.0,4,0,15.0,446.0,514.0,38.0
0,Roma,V,1,Torino,0,10.0,2.0,0,0,227.0,306.0,2.0,32.0,8.0,2,0,18.0,3.0,0,0,9.0,1,0,11.0,540.0,648.0,68.0
0,Atalanta,V,4,Venezia,0,19.0,6.0,0,0,551.0,636.0,4.0,58.0,12.0,0,0,8.0,4.0,0,0,2.0,1,0,12.0,372.0,461.0,42.0
0,Fiorentina,V,3,Sampdoria,1,17.0,7.0,0,0,533.0,612.0,3.0,60.0,6.0,0,0,11.0,4.0,0,0,6.0,3,0,17.0,311.0,411.0,40.0
0,Hellas Verona,N,0,Cagliari,0,15.0,6.0,0,0,524.0,639.0,11.0,68.0,17.0,3,0,12.0,3.0,0,0,1.0,2,0,14.0,174.0,295.0,32.0
0,Salernitana,P,0,Juventus,2,4.0,0.0,0,0,241.0,321.0,4.0,27.0,15.0,1,0,17.0,7.0,0,1,4.0,1,0,11.0,775.0,850.0,73.0
0,Sassuolo,N,2,Napoli,2,9.0,7.0,0,0,441.0,508.0,5.0,50.0,11.0,4,0,9.0,4.0,0,0,4.0,2,0,20.0,413.0,502.0,50.0
