,Data,Casa,Punteggio,Ospiti
330,2017-04-02,napoli,1–1,juventus
331,2017-04-03,inter,1–2,sampdoria
333,2017-04-08,empoli,1–1,pescara
334,2017-04-08,atalanta,1–1,sassuolo
335,2017-04-08,juventus,2–0,chievo
336,2017-04-09,sampdoria,2–2,fiorentina
337,2017-04-09,milan,4–0,palermo
338,2017-04-09,cagliari,2–3,torino
339,2017-04-09,udinese,3–0,genoa
340,2017-04-09,crotone,2–1,inter
341,2017-04-09,bologna,0–3,roma
342,2017-04-09,lazio,0–3,napoli
344,2017-04-15,inter,2–2,milan
345,2017-04-15,cagliari,4–0,chievo
346,2017-04-15,roma,1–1,atalanta
347,2017-04-15,pescara,0–2,juventus
348,2017-04-15,fiorentina,1–2,empoli
349,2017-04-15,palermo,0–0,bologna
350,2017-04-15,torino,1–1,crotone
351,2017-04-15,genoa,2–2,lazio
352,2017-04-15,sassuolo,2–1,sampdoria
353,2017-04-15,napoli,3–0,udinese
355,2017-04-22,atalanta,3–2,bologna
356,2017-04-22,fiorentina,5–4,inter
357,2017-04-23,sassuolo,2–2,napoli
358,2017-04-23,lazio,6–2,palermo
359,2017-04-23,udinese,2–1,cagliari
360,2017-04-23,milan,1–2,empoli
361,2017-04-23,sampdoria,1–2,crotone
362,2017-04-23,chievo,1–3,torino
363,2017-04-23,juventus,4–0,genoa
364,2017-04-24,pescara,1–4,roma
366,2017-04-28,atalanta,2–2,juventus
367,2017-04-29,torino,1–1,sampdoria
368,2017-04-30,roma,1–3,lazio
369,2017-04-30,cagliari,1–0,pescara
370,2017-04-30,bologna,4–0,udinese
371,2017-04-30,genoa,1–2,chievo
372,2017-04-30,empoli,1–3,sassuolo
373,2017-04-30,crotone,1–1,milan
374,2017-04-30,palermo,2–0,fiorentina
375,2017-04-30,inter,0–1,napoli
377,2017-05-06,napoli,3–1,cagliari
378,2017-05-06,juventus,1–1,torino
379,2017-05-07,udinese,1–1,atalanta
380,2017-05-07,empoli,3–1,bologna
381,2017-05-07,sassuolo,2–2,fiorentina
382,2017-05-07,lazio,7–3,sampdoria
383,2017-05-07,chievo,1–1,palermo
384,2017-05-07,genoa,1–0,inter
385,2017-05-07,pescara,0–1,crotone
386,2017-05-07,milan,1–4,roma
388,2017-05-13,fiorentina,3–2,lazio
389,2017-05-13,atalanta,1–1,milan
390,2017-05-14,inter,1–2,sassuolo
391,2017-05-14,palermo,1–0,genoa
