,h_team,h_goals,a_team,a_goals,date,matchday
0,Venezia,1,Empoli,1,2022-01-16,Giornata n. 22
0,Bologna,0,Napoli,2,2022-01-17,Giornata n. 22
0,Fiorentina,6,Genoa,0,2022-01-17,Giornata n. 22
0,Milan,1,Spezia,2,2022-01-17,Giornata n. 22
0,Hellas Verona,2,Bologna,1,2022-01-21,Giornata n. 23
0,Inter,2,Venezia,1,2022-01-22,Giornata n. 23
0,Lazio,0,Atalanta,0,2022-01-22,Giornata n. 23
0,Genoa,0,Udinese,0,2022-01-22,Giornata n. 23
0,Napoli,4,Salernitana,1,2022-01-23,Giornata n. 23
0,Torino,1,Sassuolo,1,2022-01-23,Giornata n. 23
0,Spezia,1,Sampdoria,0,2022-01-23,Giornata n. 23
0,Empoli,2,Roma,4,2022-01-23,Giornata n. 23
0,Milan,0,Juventus,0,2022-01-23,Giornata n. 23
0,Cagliari,1,Fiorentina,1,2022-01-23,Giornata n. 23
0,Roma,0,Genoa,0,2022-02-05,Giornata n. 24
0,Inter,1,Milan,2,2022-02-05,Giornata n. 24
0,Fiorentina,0,Lazio,3,2022-02-05,Giornata n. 24
0,Atalanta,1,Cagliari,2,2022-02-06,Giornata n. 24
0,Sampdoria,4,Sassuolo,0,2022-02-06,Giornata n. 24
0,Bologna,0,Empoli,0,2022-02-06,Giornata n. 24
0,Venezia,0,Napoli,2,2022-02-06,Giornata n. 24
0,Udinese,2,Torino,0,2022-02-06,Giornata n. 24
0,Juventus,2,Hellas Verona,0,2022-02-06,Giornata n. 24
0,Salernitana,2,Spezia,2,2022-02-07,Giornata n. 24
0,Torino,1,Venezia,2,2022-02-12,Giornata n. 25
0,Lazio,3,Bologna,0,2022-02-12,Giornata n. 25
0,Napoli,1,Inter,1,2022-02-12,Giornata n. 25
0,Sassuolo,2,Roma,2,2022-02-13,Giornata n. 25
0,Atalanta,1,Juventus,1,2022-02-13,Giornata n. 25
0,Hellas Verona,4,Udinese,0,2022-02-13,Giornata n. 25
0,Milan,1,Sampdoria,0,2022-02-13,Giornata n. 25
0,Genoa,1,Salernitana,1,2022-02-13,Giornata n. 25
0,Empoli,1,Cagliari,1,2022-02-13,Giornata n. 25
0,Spezia,1,Fiorentina,2,2022-02-14,Giornata n. 25
0,Juventus,1,Torino,1,2022-02-18,Giornata n. 26
0,Sampdoria,2,Empoli,0,2022-02-19,Giornata n. 26
0,Salernitana,2,Milan,2,2022-02-19,Giornata n. 26
0,Roma,2,Hellas Verona,2,2022-02-19,Giornata n. 26
0,Fiorentina,1,Atalanta,0,2022-02-20,Giornata n. 26
0,Inter,0,Sassuolo,2,2022-02-20,Giornata n. 26
0,Udinese,1,Lazio,1,2022-02-20,Giornata n. 26
0,Venezia,1,Genoa,1,2022-02-20,Giornata n. 26
0,Bologna,2,Spezia,1,2022-02-21,Giornata n. 26
0,Cagliari,1,Napoli,1,2022-02-21,Giornata n. 26
0,Milan,1,Udinese,1,2022-02-25,Giornata n. 27
0,Genoa,0,Inter,0,2022-02-25,Giornata n. 27
0,Salernitana,1,Bologna,1,2022-02-26,Giornata n. 27
0,Empoli,2,Juventus,3,2022-02-26,Giornata n. 27
0,Sassuolo,2,Fiorentina,1,2022-02-26,Giornata n. 27
0,Lazio,1,Napoli,2,2022-02-27,Giornata n. 27
0,Hellas Verona,3,Venezia,1,2022-02-27,Giornata n. 27
0,Spezia,0,Roma,1,2022-02-27,Giornata n. 27
0,Torino,1,Cagliari,2,2022-02-27,Giornata n. 27
0,Atalanta,4,Sampdoria,0,2022-02-28,Giornata n. 27
0,Inter,5,Salernitana,0,2022-03-04,Giornata n. 28
0,Cagliari,0,Lazio,3,2022-03-05,Giornata n. 28
0,Roma,1,Atalanta,0,2022-03-05,Giornata n. 28
0,Udinese,2,Sampdoria,1,2022-03-05,Giornata n. 28
0,Bologna,0,Torino,0,2022-03-06,Giornata n. 28
0,Genoa,0,Empoli,0,2022-03-06,Giornata n. 28
0,Juventus,1,Spezia,0,2022-03-06,Giornata n. 28
0,Venezia,1,Sassuolo,4,2022-03-06,Giornata n. 28
0,Fiorentina,1,Hellas Verona,1,2022-03-06,Giornata n. 28
0,Napoli,0,Milan,1,2022-03-06,Giornata n. 28
0,Spezia,2,Cagliari,0,2022-03-12,Giornata n. 29
0,Salernitana,2,Sassuolo,2,2022-03-12,Giornata n. 29
0,Sampdoria,1,Juventus,3,2022-03-12,Giornata n. 29
0,Milan,1,Empoli,0,2022-03-12,Giornata n. 29
0,Fiorentina,1,Bologna,0,2022-03-13,Giornata n. 29
0,Hellas Verona,1,Napoli,2,2022-03-13,Giornata n. 29
0,Torino,1,Inter,1,2022-03-13,Giornata n. 29
0,Atalanta,0,Genoa,0,2022-03-13,Giornata n. 29
0,Udinese,1,Roma,1,2022-03-13,Giornata n. 29
0,Lazio,1,Venezia,0,2022-03-14,Giornata n. 29
0,Genoa,1,Torino,0,2022-03-18,Giornata n. 30
0,Sassuolo,4,Spezia,1,2022-03-18,Giornata n. 30
0,Inter,1,Fiorentina,1,2022-03-19,Giornata n. 30
0,Napoli,2,Udinese,1,2022-03-19,Giornata n. 30
0,Cagliari,0,Milan,1,2022-03-19,Giornata n. 30
0,Bologna,0,Atalanta,1,2022-03-20,Giornata n. 30
0,Empoli,1,Hellas Verona,1,2022-03-20,Giornata n. 30
0,Venezia,0,Sampdoria,2,2022-03-20,Giornata n. 30
0,Roma,3,Lazio,0,2022-03-20,Giornata n. 30
0,Juventus,2,Salernitana,0,2022-03-20,Giornata n. 30
0,Spezia,1,Venezia,0,2022-04-02,Giornata n. 31
0,Lazio,2,Sassuolo,1,2022-04-02,Giornata n. 31
