,id,h_team,h_goals,a_team,a_goals,result,date,matchday,h_total_shots,h_shots_on_target,a_total_shots,a_shots_on_target,h_goals_on_penalty,h_total_penalties,a_goals_on_penalty,a_total_penalties,h_completed_passings,h_total_passings,a_completed_passings,a_total_passings,h_corners,a_corners,h_fouls,h_yellow_cards,h_red_cards,a_yellow_cards,a_red_cards,a_fouls,h_percentage_possession,a_percentage_possession
0,58,Juventus,3,Sampdoria,2,V,2021-09-26,Giornata n. 6,15.0,5.0,6.0,3.0,1,1,0,0,387.0,478.0,391.0,487.0,4.0,2.0,24.0,4,0,3,0,18.0,50.0,50.0
0,59,Venezia,1,Torino,1,N,2021-09-27,Giornata n. 6,6.0,0.0,8.0,3.0,1,1,0,0,300.0,404.0,417.0,521.0,4.0,1.0,9.0,1,0,4,1,20.0,44.0,56.0
0,60,Cagliari,1,Venezia,1,N,2021-10-01,Giornata n. 7,9.0,3.0,12.0,4.0,0,0,0,0,310.0,401.0,455.0,548.0,2.0,4.0,16.0,2,0,5,0,20.0,42.0,58.0
0,61,Salernitana,1,Genoa,0,V,2021-10-02,Giornata n. 7,10.0,4.0,18.0,3.0,0,0,0,0,308.0,419.0,336.0,427.0,9.0,8.0,20.0,2,0,2,0,19.0,50.0,50.0
0,62,Sassuolo,1,Inter,2,P,2021-10-02,Giornata n. 7,11.0,7.0,16.0,2.0,1,1,1,1,432.0,524.0,348.0,436.0,6.0,8.0,11.0,4,0,2,0,21.0,55.0,45.0
0,63,Torino,0,Juventus,1,P,2021-10-02,Giornata n. 7,13.0,2.0,10.0,3.0,0,0,0,0,347.0,452.0,386.0,488.0,4.0,6.0,23.0,3,0,1,0,16.0,48.0,52.0
0,64,Roma,2,Empoli,0,V,2021-10-03,Giornata n. 7,18.0,5.0,12.0,3.0,0,0,0,0,580.0,644.0,304.0,368.0,5.0,5.0,13.0,2,0,3,0,17.0,64.0,36.0
0,65,Bologna,3,Lazio,0,V,2021-10-03,Giornata n. 7,10.0,3.0,8.0,4.0,0,0,0,0,378.0,462.0,570.0,665.0,3.0,3.0,7.0,2,0,5,1,18.0,41.0,59.0
0,66,Hellas Verona,4,Spezia,0,V,2021-10-03,Giornata n. 7,6.0,4.0,12.0,4.0,0,0,0,0,345.0,428.0,444.0,525.0,1.0,5.0,17.0,1,0,1,1,12.0,45.0,55.0
0,67,Fiorentina,1,Napoli,2,P,2021-10-03,Giornata n. 7,10.0,3.0,11.0,4.0,0,0,0,1,424.0,511.0,344.0,418.0,8.0,2.0,18.0,3,0,3,0,13.0,55.0,45.0
