,matchday,date,h_team,a_team,result,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
93,Giornata n. 10,2021-10-27,Udinese,Hellas Verona,N,-1.1111111111111107,2.111111111111109,0.33333333333333304,-0.2222222222222222,-0.2222222222222222,4.666666666666686,-12.777777777777771,0.7777777777777781,-5.6666666666666785,-2.0,-0.3333333333333335,0.0
94,Giornata n. 10,2021-10-27,Juventus,Sassuolo,P,0.11111111111111116,-0.7777777777777803,-0.8888888888888893,0.1111111111111111,0.1111111111111111,-63.22222222222223,-64.55555555555554,-0.22222222222222232,-7.222222222222221,2.7777777777777786,-0.11111111111111116,0.0
95,Giornata n. 10,2021-10-27,Lazio,Fiorentina,V,0.6666666666666667,0.777777777777775,1.2222222222222223,-0.1111111111111111,0.0,38.00000000000006,42.22222222222217,-0.5555555555555554,-0.6666666666666643,-1.4444444444444464,-0.666666666666667,-0.1111111111111111
96,Giornata n. 10,2021-10-27,Sampdoria,Atalanta,P,-0.22222222222222232,-2.5555555555555554,-0.666666666666667,-0.1111111111111111,-0.2222222222222222,-97.88888888888886,-94.88888888888886,-0.7777777777777777,-7.555555555555564,0.4444444444444393,0.11111111111111116,0.0
97,Giornata n. 10,2021-10-27,Empoli,Inter,P,-1.111111111111111,0.0,-1.1111111111111107,0.1111111111111111,0.0,-61.44444444444446,-51.0,-0.1111111111111116,-2.444444444444443,-1.6666666666666643,-0.22222222222222276,0.0
98,Giornata n. 10,2021-10-27,Cagliari,Roma,P,-0.5555555555555554,-6.555555555555554,-1.8888888888888888,0.1111111111111111,0.0,-112.77777777777783,-100.77777777777777,-2.5555555555555554,-10.111111111111107,0.5555555555555554,-0.5555555555555554,-0.1111111111111111
99,Giornata n. 10,2021-10-28,Napoli,Bologna,V,0.4444444444444444,0.7777777777777768,0.8888888888888893,0.1111111111111111,0.33333333333333337,115.0,105.22222222222223,-0.7777777777777777,6.0,-2.3333333333333304,-1.5555555555555554,-0.3333333333333333
100,Giornata n. 11,2021-10-30,Torino,Sampdoria,V,-0.19999999999999996,2.0999999999999996,0.40000000000000036,-0.1,-0.1,24.19999999999999,21.69999999999999,-1.0999999999999996,4.0,5.899999999999999,0.10000000000000009,0.1
101,Giornata n. 11,2021-10-30,Hellas Verona,Juventus,V,0.8000000000000003,-4.100000000000001,-0.39999999999999947,0.2,0.2,-50.80000000000001,-36.0,-1.0,-0.19999999999999574,-1.0,0.6000000000000001,0.1
102,Giornata n. 11,2021-10-30,Atalanta,Lazio,N,-0.19999999999999996,2.9000000000000004,-0.9000000000000004,-0.09999999999999998,-0.10000000000000003,-70.69999999999999,-57.80000000000007,1.7000000000000002,0.0,1.5,0.30000000000000027,-0.2
